t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.000,-52.7994,-86.1499,-107.9557,-160.9225,-68.3987,35.9942,212.4188,-602.1926,371.8220,83.2136,-37.7211,19.4970
0.010,-52.0938,-85.4474,-108.6129,-160.8208,-68.2660,36.0461,224.3329,-603.6007,373.2674,83.5427,-37.9243,19.5871
0.020,-50.4310,-84.6809,-109.4808,-160.8920,-68.0233,36.0868,237.5900,-595.9603,373.6753,83.7899,-38.0367,21.0623
0.030,-48.8870,-84.0790,-110.1056,-160.9629,-67.8124,36.1153,248.7953,-586.3547,373.4261,83.9231,-38.0684,22.5814
0.040,-47.6568,-83.6054,-110.5522,-161.0189,-67.6161,36.1343,256.7680,-577.6180,372.9145,83.9901,-38.0672,23.8041
0.050,-46.7172,-83.2237,-110.8811,-161.0657,-67.4502,36.1466,262.1147,-570.5625,372.4132,84.0243,-38.0572,24.7206
0.060,-46.0223,-82.9169,-111.1306,-161.1055,-67.3224,36.1545,265.5471,-565.1882,372.0035,84.0441,-38.0462,25.3833
0.070,-45.5305,-82.6770,-111.3217,-161.1374,-67.2323,36.1593,267.6173,-561.2728,371.6810,84.0581,-38.0359,25.8441
0.080,-45.1980,-82.4955,-111.4676,-161.1615,-67.1726,36.1623,268.7495,-558.5258,371.4252,84.0696,-38.0269,26.1505
0.090,-44.9861,-82.3633,-111.5775,-161.1787,-67.1365,36.1641,269.2571,-556.6754,371.2186,84.0801,-38.0193,26.3431
0.100,-44.8607,-82.2701,-111.6594,-161.1899,-67.1175,36.1652,269.3703,-555.4804,371.0474,84.0898,-38.0127,26.4557
0.110,-44.7937,-82.2061,-111.7198,-161.1966,-67.1099,36.1658,269.2556,-554.7441,370.9085,84.0983,-38.0075,26.5153
0.120,-44.7643,-82.1635,-111.7637,-161.2001,-67.1094,36.1660,269.0257,-554.3193,370.7946,84.1057,-38.0033,26.5410
0.130,-44.7581,-82.1358,-111.7950,-161.2013,-67.1131,36.1662,268.7463,-554.0964,370.7037,84.1116,-38.0000,26.5464
0.140,-44.7640,-82.1184,-111.8174,-161.2013,-67.1190,36.1662,268.4740,-553.9976,370.6322,84.1165,-37.9975,26.5416
0.150,-44.7752,-82.1076,-111.8332,-161.2005,-67.1256,36.1662,268.2307,-553.9664,370.5785,84.1200,-37.9956,26.5328
0.160,-44.7886,-82.1015,-111.8438,-161.1995,-67.1323,36.1662,268.0203,-553.9780,370.5389,84.1227,-37.9943,26.5224
