t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.000,-52.6401,-86.0379,-108.0820,-160.8956,-68.2654,35.9938,213.1356,-600.9998,371.7956,83.1867,-37.7387,19.5357
0.010,-51.9596,-85.3442,-108.7246,-160.8006,-68.1542,36.0458,224.8840,-602.6849,373.2427,83.5252,-37.9397,19.6086
0.020,-50.3292,-84.5972,-109.5710,-160.8797,-67.9354,36.0866,237.9310,-595.2888,373.6430,83.7801,-38.0492,21.0658
0.030,-48.8137,-84.0150,-110.1748,-160.9560,-67.7457,36.1151,248.9698,-585.8929,373.3932,83.9186,-38.0783,22.5734
0.040,-47.6059,-83.5588,-110.6040,-161.0152,-67.5655,36.1341,256.8380,-577.3130,372.8838,83.9893,-38.0746,23.7898
0.050,-46.6821,-83.1901,-110.9203,-161.0639,-67.4115,36.1465,262.1313,-570.3619,372.3839,84.0257,-38.0627,24.7040
0.060,-45.9979,-82.8927,-111.1608,-161.1044,-67.2917,36.1543,265.5420,-565.0569,371.9747,84.0468,-38.0503,25.3664
0.070,-45.5126,-82.6595,-111.3455,-161.1367,-67.2074,36.1592,267.6095,-561.1821,371.6502,84.0617,-38.0389,25.8283
0.080,-45.1838,-82.4821,-111.4874,-161.1611,-67.1515,36.1622,268.7500,-558.4582,371.3935,84.0738,-38.0292,26.1368
0.090,-44.9735,-82.3527,-111.5951,-161.1781,-67.1177,36.1640,269.2725,-556.6179,371.1825,84.0848,-38.0209,26.3313
0.100,-44.8481,-82.2606,-111.6760,-161.1892,-67.0997,36.1651,269.4026,-555.4222,371.0099,84.0948,-38.0141,26.4460
0.110,-44.7815,-82.1973,-111.7356,-161.1958,-67.0927,36.1657,269.2958,-554.6862,370.8691,84.1033,-38.0087,26.5067
0.120,-44.7526,-82.1552,-111.7791,-161.1992,-67.0930,36.1660,269.0736,-554.2603,370.7542,84.1108,-38.0042,26.5333
0.130,-44.7453,-82.1278,-111.8104,-161.2005,-67.0973,36.1661,268.8090,-554.0307,370.6609,84.1170,-38.0009,26.5406
0.140,-44.7510,-82.1102,-111.8329,-161.2004,-67.1034,36.1661,268.5411,-553.9287,370.5903,84.1217,-37.9983,26.5367
0.150,-44.7622,-82.0995,-111.8485,-161.1996,-67.1101,36.1661,268.2994,-553.8968,370.5360,84.1252,-37.9965,26.5282
0.160,-44.7750,-82.0932,-111.8595,-161.1985,-67.1168,36.1661,268.0988,-553.9052,370.4953,84.1279,-37.9951,26.5184
0.170,-44.7871,-82.0898,-111.8671,-161.1974,-67.1225,36.1661,267.9327,-553.9316,370.4636,84.1301,-37.9941,26.5090
0.180,-44.7986,-82.0880,-111.8721,-161.1963,-67.1279,36.1660,267.7999,-553.9656,370.4417,84.1316,-37.9934,26.5005
0.190,-44.8083,-82.0868,-111.8757,-161.1954,-67.1323,36.1660,267.6982,-553.9976,370.4275,84.1323,-37.9930,26.4937
0.200,-44.8158,-82.0863,-111.8782,-161.1946,-67.1362,36.1660,267.6227,-554.0242,370.4160,84.1330,-37.9926,26.4887
0.210,-44.8217,-82.0861,-111.8799,-161.1941,-67.1395,36.1659,267.5680,-554.0469,370.4090,84.1334,-37.9923,26.4850
0.220,-44.8263,-82.0860,-111.8810,-161.1935,-67.1422,36.1659,267.5278,-554.0658,370.4043,84.1336,-37.9921,26.4824
0.230,-44.8298,-82.0862,-111.8817,-161.1931,-67.1441,36.1659,267.4990,-554.0809,370.4000,84.1339,-37.9920,26.4803
0.240,-44.8322,-82.0864,-111.8821,-161.1928,-67.1454,36.1659,267.4788,-554.0919,370.3969,84.1341,-37.9919,26.4788
0.250,-44.8338,-82.0865,-111.8824,-161.1926,-67.1465,36.1659,267.4657,-554.0989,370.3948,84.1343,-37.9919,26.4779
0.260,-44.8349,-82.0866,-111.8826,-161.1925,-67.1472,36.1659,267.4572,-554.1030,370.3935,84.1344,-37.9918,26.4774
0.270,-44.8357,-82.0866,-111.8828,-161.1924,-67.1477,36.1659,267.4511,-554.1061,370.3927,84.1345,-37.9918,26.4770
0.280,-44.8363,-82.0866,-111.8829,-161.1924,-67.1481,36.1659,267.4473,-554.1084,370.3925,84.1345,-37.9917,26.4767
0.290,-44.8367,-82.0866,-111.8829,-161.1924,-67.1484,36.1659,267.4450,-554.1098,370.3923,84.1345,-37.9917,26.4766
0.300,-44.8370,-82.0867,-111.8830,-161.1924,-67.1486,36.1659,267.4435,-554.1115,370.3918,84.1345,-37.9917,26.4765
0.310,-44.8372,-82.0867,-111.8830,-161.1923,-67.1488,36.1659,267.4426,-554.1125,370.3914,84.1345,-37.9917,26.4764
0.320,-44.8374,-82.0868,-111.8830,-161.1923,-67.1489,36.1659,267.4421,-554.1133,370.3913,84.1346,-37.9916,26.4763
0.330,-44.8373,-82.0867,-111.8830,-161.1923,-67.1489,36.1659,267.4418,-554.1132,370.3912,84.1346,-37.9916,26.4763
