t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.126,-102.920,-70.804,-6.026,57.225,-141.064,320.986,-675.508,683.060,89.730,-39.071,12.269
0.017,-45.126,-102.921,-70.804,-6.026,57.225,-141.064,320.987,-675.509,683.059,89.730,-39.071,12.269
0.027,-45.126,-102.921,-70.804,-6.026,57.225,-141.064,320.990,-675.510,683.055,89.730,-39.071,12.269
0.037,-45.125,-102.921,-70.804,-6.026,57.225,-141.064,320.994,-675.509,683.050,89.731,-39.071,12.269
0.047,-45.125,-102.921,-70.804,-6.026,57.225,-141.063,320.994,-675.509,683.052,89.730,-39.071,12.269
0.057,-45.125,-102.921,-70.804,-6.027,57.225,-141.064,321.000,-675.510,683.043,89.731,-39.070,12.269
0.068,-45.125,-102.921,-70.804,-6.027,57.225,-141.064,321.003,-675.507,683.045,89.731,-39.070,12.270
0.078,-45.125,-102.921,-70.804,-6.027,57.225,-141.064,321.008,-675.504,683.047,89.731,-39.071,12.270
0.088,-45.124,-102.921,-70.804,-6.027,57.225,-141.063,321.010,-675.504,683.045,89.731,-39.071,12.270
0.099,-45.124,-102.921,-70.804,-6.027,57.225,-141.063,321.014,-675.503,683.045,89.731,-39.071,12.270
0.108,-45.124,-102.921,-70.804,-6.027,57.225,-141.064,321.015,-675.501,683.045,89.731,-39.070,12.271
0.118,-45.124,-102.921,-70.805,-6.026,57.225,-141.064,321.016,-675.502,683.042,89.731,-39.070,12.270
0.128,-45.124,-102.921,-70.805,-6.027,57.225,-141.064,321.014,-675.504,683.041,89.732,-39.070,12.270
0.138,-45.124,-102.921,-70.805,-6.026,57.225,-141.064,321.015,-675.505,683.039,89.732,-39.070,12.270
0.148,-45.124,-102.921,-70.805,-6.026,57.225,-141.064,321.012,-675.505,683.040,89.732,-39.070,12.270
0.158,-45.125,-102.921,-70.804,-6.026,57.225,-141.064,321.003,-675.504,683.049,89.731,-39.071,12.270
0.168,-45.125,-102.920,-70.804,-6.026,57.225,-141.063,320.999,-675.504,683.052,89.730,-39.071,12.270
0.178,-45.126,-102.920,-70.804,-6.026,57.225,-141.064,320.984,-675.504,683.064,89.729,-39.071,12.269
0.188,-45.127,-102.920,-70.804,-6.026,57.225,-141.064,320.966,-675.509,683.067,89.729,-39.072,12.268
0.198,-45.127,-102.920,-70.804,-6.026,57.224,-141.064,320.960,-675.513,683.064,89.729,-39.071,12.267
0.208,-45.129,-102.920,-70.805,-6.026,57.225,-141.064,320.951,-675.522,683.054,89.730,-39.071,12.266
