t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.101,-102.917,-70.807,-6.027,57.235,-141.014,321.315,-675.339,683.067,89.729,-39.121,12.304
0.012,-45.102,-102.917,-70.807,-6.027,57.235,-141.014,321.312,-675.346,683.054,89.731,-39.121,12.302
0.022,-45.102,-102.917,-70.808,-6.027,57.235,-141.014,321.307,-675.351,683.048,89.731,-39.120,12.301
0.032,-45.103,-102.917,-70.808,-6.027,57.234,-141.014,321.303,-675.351,683.050,89.731,-39.120,12.301
0.042,-45.103,-102.917,-70.808,-6.027,57.234,-141.014,321.301,-675.349,683.054,89.731,-39.121,12.301
0.052,-45.102,-102.916,-70.808,-6.027,57.235,-141.014,321.302,-675.346,683.058,89.731,-39.121,12.302
0.062,-45.102,-102.916,-70.807,-6.027,57.234,-141.013,321.308,-675.337,683.068,89.729,-39.121,12.303
0.072,-45.101,-102.916,-70.807,-6.027,57.234,-141.014,321.317,-675.331,683.073,89.729,-39.121,12.305
0.082,-45.100,-102.916,-70.807,-6.027,57.234,-141.014,321.327,-675.331,683.067,89.730,-39.121,12.305
0.092,-45.099,-102.917,-70.807,-6.027,57.234,-141.014,321.340,-675.328,683.064,89.730,-39.121,12.305
0.102,-45.098,-102.917,-70.807,-6.027,57.234,-141.014,321.351,-675.324,683.059,89.730,-39.121,12.306
0.111,-45.098,-102.917,-70.807,-6.027,57.234,-141.013,321.356,-675.324,683.055,89.731,-39.121,12.306
0.122,-45.097,-102.917,-70.807,-6.027,57.234,-141.016,321.371,-675.320,683.051,89.731,-39.118,12.307
0.132,-45.096,-102.918,-70.807,-6.028,57.234,-141.024,321.384,-675.319,683.044,89.732,-39.109,12.307
0.142,-45.096,-102.918,-70.807,-6.028,57.235,-141.030,321.389,-675.318,683.042,89.733,-39.103,12.308
0.152,-45.095,-102.918,-70.807,-6.029,57.236,-141.045,321.389,-675.317,683.043,89.733,-39.088,12.308
0.162,-45.095,-102.918,-70.808,-6.029,57.236,-141.057,321.393,-675.323,683.032,89.735,-39.075,12.308
0.172,-45.095,-102.919,-70.808,-6.029,57.236,-141.059,321.398,-675.329,683.019,89.736,-39.072,12.307
0.182,-45.096,-102.921,-70.809,-6.029,57.236,-141.060,321.411,-675.345,682.981,89.740,-39.070,12.304
0.192,-45.096,-102.926,-70.811,-6.030,57.236,-141.060,321.438,-675.383,682.903,89.747,-39.066,12.299
0.201,-45.097,-102.930,-70.811,-6.030,57.236,-141.060,321.460,-675.414,682.849,89.752,-39.064,12.295
0.212,-45.097,-102.942,-70.812,-6.030,57.236,-141.060,321.535,-675.497,682.698,89.766,-39.057,12.287
0.222,-45.097,-102.956,-70.811,-6.030,57.238,-141.060,321.639,-675.587,682.530,89.780,-39.050,12.279
0.232,-45.096,-102.964,-70.811,-6.030,57.239,-141.060,321.708,-675.635,682.434,89.789,-39.046,12.276
0.242,-45.094,-102.978,-70.811,-6.031,57.249,-141.061,321.876,-675.713,682.248,89.806,-39.036,12.277
0.252,-45.090,-102.991,-70.812,-6.033,57.264,-141.060,322.084,-675.767,682.073,89.823,-39.028,12.286
0.262,-45.086,-103.001,-70.811,-6.033,57.277,-141.060,322.253,-675.797,681.961,89.832,-39.024,12.297
0.272,-45.076,-103.032,-70.812,-6.027,57.308,-141.060,322.706,-675.915,681.601,89.860,-39.010,12.320
0.282,-45.073,-103.071,-70.812,-6.012,57.324,-141.059,323.061,-676.134,681.167,89.887,-38.998,12.322
0.292,-45.075,-103.096,-70.813,-5.998,57.326,-141.058,323.191,-676.293,680.915,89.898,-38.993,12.314
0.302,-45.078,-103.152,-70.812,-5.932,57.327,-141.057,323.471,-676.619,680.472,89.888,-38.999,12.319
0.312,-45.074,-103.215,-70.808,-5.779,57.333,-141.054,323.794,-676.840,680.333,89.784,-39.053,12.395
0.321,-45.071,-103.246,-70.805,-5.654,57.338,-141.053,323.931,-676.894,680.440,89.680,-39.106,12.468
0.332,-45.064,-103.311,-70.795,-5.296,57.358,-141.051,324.147,-676.874,681.103,89.350,-39.270,12.704
0.342,-45.054,-103.381,-70.766,-4.776,57.393,-141.049,324.280,-676.642,682.530,88.824,-39.526,13.084
0.351,-45.050,-103.415,-70.740,-4.451,57.418,-141.048,324.271,-676.431,683.611,88.473,-39.693,13.336
0.362,-45.050,-103.474,-70.669,-3.659,57.482,-141.047,323.949,-675.765,686.628,87.577,-40.109,13.975
0.372,-45.055,-103.522,-70.557,-2.686,57.561,-141.047,323.260,-674.726,690.866,86.403,-40.634,14.810
0.382,-45.055,-103.548,-70.486,-2.133,57.600,-141.047,322.812,-674.077,693.373,85.716,-40.930,15.296
0.392,-45.055,-103.611,-70.312,-0.899,57.658,-141.048,321.661,-672.609,699.012,84.149,-41.579,16.387
0.402,-45.055,-103.698,-70.098,0.412,57.681,-141.050,320.256,-671.082,704.981,82.442,-42.250,17.550
0.411,-45.058,-103.757,-69.959,1.199,57.676,-141.052,319.277,-670.177,708.562,81.396,-42.643,18.248
0.422,-45.064,-103.857,-69.716,2.423,57.664,-141.054,317.659,-668.717,714.254,79.721,-43.244,19.372
0.432,-45.072,-103.972,-69.418,3.755,57.656,-141.057,315.776,-667.014,720.641,77.825,-43.880,20.662
0.442,-45.078,-104.036,-69.255,4.420,57.658,-141.058,314.815,-666.151,723.865,76.855,-44.189,21.331
0.452,-45.096,-104.180,-68.893,5.732,57.658,-141.060,312.803,-664.444,730.361,74.879,-44.783,22.698
0.462,-45.124,-104.330,-68.500,7.003,57.654,-141.062,310.608,-662.738,736.854,72.887,-45.336,24.076
0.472,-45.140,-104.402,-68.309,7.625,57.652,-141.065,309.462,-661.859,740.016,71.896,-45.593,24.764
0.481,-45.171,-104.542,-67.941,8.810,57.643,-141.073,307.198,-660.161,745.939,69.989,-46.057,26.090
0.491,-45.193,-104.675,-67.597,9.895,57.618,-141.087,305.061,-658.529,751.294,68.217,-46.454,27.321
0.501,-45.200,-104.734,-67.439,10.385,57.603,-141.098,304.070,-657.739,753.727,67.405,-46.623,27.886
0.512,-45.195,-104.840,-67.155,11.252,57.568,-141.126,302.447,-656.222,758.012,65.957,-46.903,28.906
0.522,-45.190,-104.913,-66.907,11.928,57.538,-141.153,301.016,-654.867,761.676,64.770,-47.115,29.743
0.532,-45.186,-104.930,-66.793,12.212,57.527,-141.164,300.309,-654.144,763.464,64.236,-47.207,30.125
0.542,-45.178,-104.932,-66.582,12.647,57.515,-141.175,298.958,-652.731,766.837,63.323,-47.361,30.789
0.552,-45.171,-104.922,-66.387,12.939,57.512,-141.175,297.862,-651.519,769.757,62.609,-47.480,31.319
0.561,-45.169,-104.918,-66.309,13.023,57.513,-141.176,297.475,-651.101,770.818,62.370,-47.518,31.497
0.572,-45.166,-104.908,-66.114,13.148,57.512,-141.176,296.658,-650.235,773.209,61.897,-47.592,31.849
0.582,-45.167,-104.900,-65.932,13.148,57.513,-141.176,296.081,-649.669,775.094,61.620,-47.635,32.053
0.592,-45.167,-104.894,-65.838,13.127,57.515,-141.177,295.829,-649.405,776.017,61.506,-47.651,32.138
