t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.111,-102.943,-70.812,-6.035,57.198,-141.062,321.218,-675.621,682.661,89.772,-39.052,12.231
0.014,-45.111,-102.943,-70.812,-6.035,57.198,-141.062,321.215,-675.624,682.657,89.773,-39.051,12.230
0.020,-45.111,-102.943,-70.812,-6.035,57.197,-141.062,321.215,-675.622,682.657,89.773,-39.052,12.229
0.032,-45.111,-102.943,-70.812,-6.035,57.197,-141.062,321.216,-675.624,682.654,89.773,-39.051,12.229
0.041,-45.111,-102.944,-70.812,-6.035,57.197,-141.062,321.218,-675.625,682.649,89.774,-39.051,12.229
0.051,-45.111,-102.944,-70.812,-6.035,57.197,-141.062,321.220,-675.628,682.645,89.774,-39.051,12.229
0.061,-45.111,-102.944,-70.812,-6.035,57.197,-141.062,321.222,-675.627,682.643,89.774,-39.051,12.229
0.072,-45.111,-102.944,-70.813,-6.036,57.197,-141.062,321.225,-675.629,682.634,89.775,-39.050,12.228
0.081,-45.110,-102.944,-70.813,-6.036,57.198,-141.062,321.233,-675.629,682.634,89.775,-39.050,12.229
0.091,-45.110,-102.945,-70.813,-6.036,57.198,-141.062,321.239,-675.631,682.624,89.776,-39.050,12.229
0.103,-45.110,-102.945,-70.813,-6.036,57.198,-141.062,321.245,-675.632,682.620,89.777,-39.049,12.229
0.111,-45.110,-102.945,-70.813,-6.036,57.198,-141.062,321.248,-675.633,682.615,89.778,-39.049,12.228
0.120,-45.109,-102.946,-70.813,-6.036,57.199,-141.062,321.259,-675.633,682.608,89.778,-39.049,12.229
0.130,-45.109,-102.946,-70.813,-6.037,57.199,-141.062,321.263,-675.633,682.608,89.779,-39.049,12.229
0.140,-45.109,-102.946,-70.813,-6.037,57.199,-141.062,321.265,-675.633,682.603,89.779,-39.048,12.229
0.151,-45.109,-102.946,-70.813,-6.037,57.199,-141.062,321.271,-675.633,682.599,89.780,-39.048,12.229
0.160,-45.108,-102.946,-70.814,-6.037,57.199,-141.062,321.277,-675.633,682.592,89.781,-39.047,12.229
0.171,-45.108,-102.947,-70.814,-6.038,57.199,-141.062,321.287,-675.634,682.584,89.782,-39.047,12.229
0.182,-45.107,-102.947,-70.814,-6.039,57.200,-141.062,321.300,-675.635,682.571,89.784,-39.046,12.229
0.191,-45.107,-102.948,-70.814,-6.039,57.200,-141.062,321.309,-675.636,682.562,89.785,-39.045,12.228
0.201,-45.107,-102.948,-70.815,-6.040,57.200,-141.062,321.313,-675.637,682.556,89.786,-39.045,12.228
0.211,-45.106,-102.948,-70.815,-6.041,57.200,-141.062,321.327,-675.639,682.541,89.788,-39.044,12.227
0.220,-45.106,-102.948,-70.815,-6.046,57.200,-141.062,321.335,-675.640,682.527,89.793,-39.042,12.225
0.233,-45.106,-102.948,-70.815,-6.048,57.200,-141.062,321.339,-675.644,682.515,89.796,-39.040,12.223
0.241,-45.106,-102.948,-70.814,-6.053,57.200,-141.062,321.335,-675.648,682.506,89.800,-39.038,12.220
0.251,-45.106,-102.947,-70.814,-6.055,57.199,-141.062,321.331,-675.647,682.505,89.802,-39.037,12.218
0.264,-45.106,-102.947,-70.814,-6.056,57.199,-141.062,321.325,-675.649,682.504,89.803,-39.037,12.217
0.271,-45.107,-102.947,-70.814,-6.058,57.199,-141.062,321.317,-675.653,682.501,89.804,-39.036,12.215
0.281,-45.108,-102.947,-70.815,-6.060,57.198,-141.062,321.308,-675.662,682.486,89.807,-39.034,12.212
0.291,-45.108,-102.947,-70.815,-6.061,57.198,-141.062,321.309,-675.666,682.473,89.809,-39.033,12.210
0.301,-45.109,-102.948,-70.816,-6.066,57.198,-141.062,321.313,-675.681,682.436,89.816,-39.030,12.205
0.311,-45.109,-102.948,-70.817,-6.073,57.198,-141.062,321.315,-675.693,682.399,89.825,-39.025,12.199
0.321,-45.110,-102.948,-70.817,-6.078,57.198,-141.062,321.317,-675.700,682.378,89.831,-39.023,12.195
0.331,-45.110,-102.947,-70.817,-6.088,57.198,-141.062,321.319,-675.709,682.350,89.841,-39.017,12.188
0.341,-45.110,-102.947,-70.817,-6.098,57.198,-141.063,321.320,-675.714,682.329,89.849,-39.013,12.182
0.351,-45.110,-102.946,-70.816,-6.102,57.197,-141.063,321.317,-675.719,682.317,89.854,-39.010,12.179
0.361,-45.110,-102.946,-70.816,-6.118,57.195,-141.063,321.317,-675.731,682.273,89.869,-39.002,12.167
0.371,-45.111,-102.946,-70.815,-6.145,57.191,-141.064,321.323,-675.767,682.169,89.899,-38.987,12.144
0.381,-45.111,-102.946,-70.816,-6.163,57.190,-141.064,321.337,-675.789,682.099,89.918,-38.977,12.130
0.391,-45.111,-102.946,-70.816,-6.205,57.190,-141.063,321.375,-675.837,681.935,89.964,-38.955,12.101
0.400,-45.111,-102.946,-70.815,-6.251,57.189,-141.063,321.420,-675.885,681.764,90.014,-38.930,12.069
0.411,-45.111,-102.946,-70.815,-6.277,57.189,-141.064,321.444,-675.910,681.673,90.041,-38.916,12.052
0.421,-45.111,-102.946,-70.814,-6.337,57.189,-141.063,321.503,-675.967,681.460,90.104,-38.884,12.013
0.431,-45.112,-102.944,-70.813,-6.416,57.189,-141.063,321.563,-676.046,681.183,90.187,-38.842,11.959
0.441,-45.113,-102.944,-70.812,-6.467,57.189,-141.063,321.608,-676.095,681.005,90.241,-38.816,11.925
0.451,-45.115,-102.942,-70.811,-6.596,57.188,-141.063,321.695,-676.231,680.540,90.377,-38.747,11.837
0.461,-45.118,-102.942,-70.811,-6.755,57.186,-141.063,321.811,-676.405,679.943,90.546,-38.660,11.726
0.471,-45.119,-102.942,-70.812,-6.840,57.185,-141.063,321.883,-676.502,679.608,90.638,-38.613,11.666
0.481,-45.121,-102.943,-70.813,-7.038,57.182,-141.064,322.045,-676.726,678.830,90.852,-38.503,11.527
