t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.120,-101.688,-70.414,-6.027,57.208,-141.081,311.924,-666.411,702.225,87.950,-39.914,13.390
0.004,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.920,-666.410,702.229,87.949,-39.915,13.390
0.024,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.920,-666.411,702.227,87.949,-39.915,13.389
0.052,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.920,-666.412,702.225,87.950,-39.915,13.389
0.074,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.923,-666.415,702.218,87.950,-39.914,13.389
0.109,-45.121,-101.689,-70.414,-6.027,57.208,-141.081,311.924,-666.415,702.220,87.950,-39.914,13.389
0.110,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.924,-666.414,702.220,87.950,-39.914,13.389
0.120,-45.121,-101.688,-70.414,-6.027,57.208,-141.081,311.924,-666.415,702.218,87.950,-39.914,13.389
0.121,-45.121,-101.689,-70.414,-6.027,57.208,-141.081,311.924,-666.416,702.218,87.950,-39.914,13.389
0.124,-45.120,-101.689,-70.414,-6.027,57.208,-141.081,311.928,-666.415,702.214,87.951,-39.914,13.389
0.126,-45.120,-101.689,-70.414,-6.027,57.208,-141.081,311.929,-666.416,702.212,87.951,-39.914,13.389
0.127,-45.121,-101.689,-70.414,-6.027,57.208,-141.081,311.927,-666.418,702.210,87.951,-39.914,13.388
0.130,-45.120,-101.689,-70.414,-6.027,57.208,-141.081,311.931,-666.417,702.210,87.951,-39.914,13.389
0.131,-45.121,-101.689,-70.414,-6.027,57.208,-141.081,311.928,-666.418,702.210,87.951,-39.914,13.389
0.132,-45.121,-101.688,-70.414,-6.028,57.208,-141.081,311.921,-666.417,702.214,87.951,-39.914,13.388
0.133,-45.121,-101.689,-70.414,-6.028,57.208,-141.081,311.923,-666.419,702.211,87.951,-39.914,13.388
0.134,-45.121,-101.688,-70.414,-6.028,57.208,-141.081,311.920,-666.418,702.213,87.951,-39.914,13.388
0.134,-45.121,-101.688,-70.414,-6.028,57.208,-141.081,311.919,-666.418,702.214,87.951,-39.914,13.388
0.135,-45.121,-101.688,-70.414,-6.028,57.208,-141.081,311.914,-666.420,702.214,87.951,-39.914,13.388
0.136,-45.122,-101.688,-70.414,-6.028,57.208,-141.081,311.905,-666.423,702.215,87.951,-39.914,13.387
0.136,-45.123,-101.688,-70.414,-6.028,57.208,-141.081,311.899,-666.426,702.215,87.951,-39.914,13.386
0.137,-45.123,-101.688,-70.414,-6.028,57.208,-141.081,311.898,-666.424,702.218,87.950,-39.914,13.387
0.138,-45.123,-101.688,-70.415,-6.028,57.208,-141.081,311.896,-666.428,702.213,87.951,-39.914,13.386
0.139,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.896,-666.432,702.208,87.951,-39.914,13.385
0.142,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.897,-666.430,702.209,87.951,-39.914,13.385
0.143,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.896,-666.432,702.207,87.952,-39.913,13.385
0.144,-45.123,-101.688,-70.415,-6.028,57.207,-141.081,311.890,-666.433,702.209,87.952,-39.913,13.385
0.144,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.891,-666.434,702.207,87.952,-39.914,13.384
0.155,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.889,-666.434,702.209,87.952,-39.913,13.384
0.165,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.891,-666.435,702.203,87.952,-39.913,13.384
0.175,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.889,-666.436,702.203,87.952,-39.913,13.384
0.185,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.894,-666.438,702.198,87.953,-39.913,13.384
0.195,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.895,-666.438,702.195,87.953,-39.913,13.383
0.205,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.894,-666.440,702.193,87.953,-39.913,13.383
0.215,-45.123,-101.689,-70.415,-6.028,57.207,-141.081,311.897,-666.442,702.187,87.954,-39.912,13.383
0.226,-45.123,-101.690,-70.416,-6.028,57.207,-141.081,311.900,-666.446,702.179,87.955,-39.912,13.382
0.235,-45.124,-101.690,-70.415,-6.028,57.207,-141.081,311.896,-666.448,702.180,87.955,-39.912,13.382
0.245,-45.124,-101.690,-70.416,-6.028,57.207,-141.081,311.898,-666.450,702.174,87.955,-39.912,13.381
0.254,-45.124,-101.690,-70.416,-6.028,57.207,-141.081,311.897,-666.450,702.174,87.955,-39.911,13.381
0.265,-45.124,-101.690,-70.416,-6.028,57.207,-141.081,311.896,-666.451,702.174,87.955,-39.912,13.381
0.275,-45.124,-101.690,-70.416,-6.028,57.207,-141.081,311.893,-666.455,702.170,87.956,-39.911,13.381
0.284,-45.124,-101.691,-70.417,-6.029,57.207,-141.081,311.898,-666.460,702.156,87.957,-39.911,13.379
0.295,-45.124,-101.691,-70.417,-6.029,57.207,-141.081,311.900,-666.462,702.150,87.958,-39.910,13.379
0.304,-45.125,-101.692,-70.418,-6.029,57.207,-141.081,311.904,-666.470,702.132,87.960,-39.910,13.378
0.315,-45.124,-101.693,-70.419,-6.029,57.207,-141.081,311.918,-666.480,702.103,87.963,-39.908,13.376
0.325,-45.124,-101.694,-70.420,-6.030,57.207,-141.081,311.927,-666.488,702.081,87.965,-39.907,13.374
0.334,-45.124,-101.697,-70.422,-6.031,57.207,-141.081,311.954,-666.511,702.021,87.972,-39.904,13.371
0.345,-45.124,-101.701,-70.424,-6.031,57.208,-141.081,311.996,-666.540,701.945,87.980,-39.900,13.367
0.355,-45.123,-101.704,-70.427,-6.032,57.208,-141.081,312.026,-666.562,701.885,87.986,-39.897,13.363
0.365,-45.122,-101.711,-70.433,-6.035,57.208,-141.081,312.106,-666.624,701.719,88.004,-39.888,13.353
