t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.129,-102.915,-70.812,-6.033,57.219,-141.081,320.902,-675.516,683.011,89.740,-39.049,12.253
0.013,-45.128,-102.916,-70.814,-6.033,57.219,-141.081,320.914,-675.519,682.988,89.742,-39.048,12.253
0.024,-45.128,-102.916,-70.815,-6.033,57.219,-141.081,320.919,-675.522,682.972,89.744,-39.047,12.252
0.036,-45.128,-102.916,-70.817,-6.032,57.219,-141.081,320.926,-675.524,682.952,89.746,-39.046,12.251
0.044,-45.128,-102.916,-70.819,-6.032,57.218,-141.081,320.927,-675.525,682.933,89.747,-39.045,12.249
0.054,-45.128,-102.916,-70.820,-6.031,57.218,-141.081,320.925,-675.527,682.929,89.748,-39.045,12.249
0.064,-45.128,-102.915,-70.820,-6.031,57.216,-141.081,320.915,-675.525,682.933,89.747,-39.046,12.247
0.073,-45.127,-102.916,-70.821,-6.031,57.216,-141.081,320.931,-675.531,682.904,89.750,-39.044,12.246
0.083,-45.127,-102.917,-70.823,-6.031,57.216,-141.081,320.944,-675.534,682.879,89.752,-39.043,12.245
0.094,-45.125,-102.920,-70.828,-6.031,57.216,-141.081,320.988,-675.554,682.786,89.761,-39.038,12.241
0.103,-45.125,-102.924,-70.839,-6.031,57.215,-141.081,321.039,-675.598,682.621,89.778,-39.030,12.230
0.114,-45.124,-102.928,-70.846,-6.032,57.215,-141.081,321.078,-675.633,682.497,89.790,-39.024,12.223
0.124,-45.124,-102.939,-70.864,-6.032,57.215,-141.081,321.181,-675.735,682.169,89.821,-39.008,12.203
0.134,-45.125,-102.952,-70.886,-6.031,57.213,-141.081,321.292,-675.862,681.770,89.859,-38.990,12.177
0.144,-45.125,-102.961,-70.900,-6.030,57.212,-141.081,321.362,-675.939,681.524,89.882,-38.978,12.162
0.153,-45.124,-102.977,-70.925,-6.030,57.209,-141.081,321.501,-676.088,681.056,89.927,-38.956,12.131
0.164,-45.124,-102.990,-70.953,-6.030,57.204,-141.081,321.615,-676.224,680.592,89.971,-38.934,12.098
0.174,-45.124,-102.997,-70.974,-6.029,57.200,-141.080,321.663,-676.304,680.295,90.000,-38.920,12.075
0.183,-45.123,-103.015,-71.021,-6.029,57.190,-141.080,321.821,-676.501,679.578,90.070,-38.885,12.022
0.193,-45.125,-103.030,-71.077,-6.029,57.183,-141.080,321.959,-676.704,678.789,90.147,-38.846,11.966
0.203,-45.125,-103.038,-71.107,-6.029,57.180,-141.080,322.047,-676.805,678.371,90.188,-38.825,11.938
0.213,-45.126,-103.051,-71.183,-6.029,57.178,-141.080,322.226,-677.015,677.404,90.283,-38.778,11.874
0.225,-45.126,-103.066,-71.266,-6.028,57.178,-141.080,322.455,-677.240,676.326,90.389,-38.724,11.809
0.234,-45.126,-103.075,-71.311,-6.029,57.178,-141.080,322.578,-677.369,675.734,90.447,-38.695,11.772
0.244,-45.127,-103.097,-71.409,-6.027,57.178,-141.079,322.855,-677.665,674.426,90.573,-38.631,11.692
0.254,-45.127,-103.119,-71.519,-6.025,57.178,-141.079,323.159,-677.970,672.990,90.712,-38.559,11.606
0.266,-45.128,-103.129,-71.578,-6.025,57.179,-141.079,323.306,-678.124,672.231,90.787,-38.521,11.559
