t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.113,-102.888,-70.786,-6.030,57.198,-141.069,320.771,-675.216,683.640,89.679,-39.091,12.287
0.002,-45.111,-102.888,-70.786,-6.030,57.198,-141.069,320.789,-675.209,683.637,89.679,-39.091,12.288
0.013,-45.109,-102.888,-70.786,-6.030,57.198,-141.069,320.818,-675.190,683.644,89.678,-39.091,12.291
0.023,-45.108,-102.887,-70.785,-6.029,57.197,-141.069,320.823,-675.177,683.662,89.676,-39.092,12.293
0.033,-45.107,-102.886,-70.785,-6.030,57.197,-141.069,320.827,-675.171,683.669,89.676,-39.092,12.294
0.043,-45.106,-102.885,-70.784,-6.030,57.197,-141.069,320.832,-675.158,683.686,89.674,-39.093,12.296
0.053,-45.104,-102.883,-70.783,-6.030,57.197,-141.069,320.831,-675.134,683.725,89.671,-39.095,12.299
0.062,-45.104,-102.882,-70.782,-6.030,57.197,-141.069,320.823,-675.122,683.749,89.669,-39.096,12.301
0.072,-45.104,-102.879,-70.781,-6.031,57.197,-141.069,320.808,-675.097,683.800,89.664,-39.098,12.304
0.082,-45.104,-102.877,-70.777,-6.031,57.197,-141.070,320.789,-675.083,683.859,89.659,-39.100,12.307
0.092,-45.104,-102.878,-70.773,-6.031,57.196,-141.069,320.782,-675.081,683.891,89.656,-39.102,12.309
0.102,-45.105,-102.877,-70.772,-6.031,57.196,-141.069,320.771,-675.079,683.908,89.654,-39.103,12.309
0.112,-45.104,-102.877,-70.772,-6.032,57.196,-141.069,320.772,-675.077,683.913,89.654,-39.103,12.310
0.122,-45.105,-102.877,-70.771,-6.032,57.196,-141.069,320.763,-675.077,683.921,89.653,-39.104,12.309
0.132,-45.105,-102.875,-70.769,-6.032,57.195,-141.069,320.747,-675.066,683.957,89.650,-39.105,12.311
0.142,-45.105,-102.874,-70.767,-6.032,57.195,-141.069,320.726,-675.054,684.002,89.646,-39.107,12.313
0.152,-45.106,-102.873,-70.766,-6.032,57.195,-141.070,320.709,-675.048,684.029,89.643,-39.108,12.313
0.162,-45.106,-102.871,-70.764,-6.034,57.195,-141.069,320.693,-675.038,684.062,89.641,-39.109,12.314
0.172,-45.107,-102.870,-70.762,-6.037,57.194,-141.069,320.678,-675.036,684.080,89.642,-39.109,12.313
0.182,-45.107,-102.869,-70.762,-6.038,57.194,-141.069,320.673,-675.031,684.091,89.641,-39.109,12.313
0.192,-45.107,-102.867,-70.760,-6.040,57.194,-141.069,320.652,-675.018,684.129,89.639,-39.110,12.313
0.202,-45.108,-102.863,-70.757,-6.042,57.193,-141.069,320.613,-674.988,684.207,89.634,-39.113,12.316
0.212,-45.108,-102.858,-70.756,-6.045,57.193,-141.069,320.577,-674.958,684.268,89.630,-39.115,12.318
0.222,-45.109,-102.844,-70.754,-6.052,57.193,-141.069,320.483,-674.875,684.424,89.622,-39.119,12.323
0.232,-45.110,-102.837,-70.750,-6.062,57.193,-141.069,320.424,-674.833,684.527,89.620,-39.120,12.323
0.242,-45.110,-102.833,-70.747,-6.067,57.193,-141.070,320.399,-674.814,684.576,89.619,-39.120,12.323
0.252,-45.111,-102.825,-70.741,-6.073,57.193,-141.070,320.329,-674.764,684.714,89.609,-39.125,12.328
0.262,-45.112,-102.816,-70.731,-6.075,57.193,-141.070,320.240,-674.689,684.931,89.591,-39.134,12.339
0.272,-45.112,-102.810,-70.726,-6.076,57.193,-141.070,320.191,-674.649,685.052,89.580,-39.139,12.345
0.282,-45.114,-102.801,-70.714,-6.080,57.194,-141.070,320.094,-674.576,685.284,89.561,-39.149,12.356
0.293,-45.115,-102.788,-70.703,-6.083,57.193,-141.070,319.983,-674.484,685.537,89.539,-39.160,12.369
0.302,-45.115,-102.781,-70.697,-6.085,57.193,-141.070,319.924,-674.431,685.680,89.527,-39.166,12.376
0.312,-45.116,-102.771,-70.681,-6.089,57.194,-141.070,319.829,-674.349,685.953,89.504,-39.177,12.390
0.322,-45.117,-102.763,-70.657,-6.093,57.194,-141.070,319.723,-674.262,686.303,89.472,-39.193,12.409
0.333,-45.118,-102.759,-70.641,-6.095,57.194,-141.070,319.663,-674.217,686.515,89.452,-39.202,12.421
0.342,-45.119,-102.750,-70.612,-6.096,57.194,-141.070,319.538,-674.114,686.936,89.411,-39.222,12.445
