t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.121,-102.926,-70.800,-6.030,57.217,-141.076,321.028,-675.524,683.026,89.735,-39.056,12.262
0.019,-45.122,-102.924,-70.799,-6.030,57.216,-141.076,321.014,-675.514,683.052,89.733,-39.057,12.263
0.022,-45.122,-102.922,-70.798,-6.030,57.217,-141.076,320.996,-675.505,683.079,89.730,-39.058,12.264
0.032,-45.122,-102.922,-70.798,-6.029,57.217,-141.076,320.992,-675.500,683.088,89.729,-39.059,12.265
0.044,-45.124,-102.922,-70.798,-6.029,57.217,-141.076,320.972,-675.508,683.090,89.729,-39.059,12.263
0.055,-45.125,-102.922,-70.799,-6.029,57.216,-141.076,320.953,-675.516,683.088,89.729,-39.059,12.262
0.061,-45.126,-102.922,-70.799,-6.029,57.216,-141.076,320.944,-675.524,683.080,89.730,-39.059,12.260
0.073,-45.127,-102.922,-70.799,-6.029,57.216,-141.076,320.938,-675.534,683.070,89.731,-39.058,12.258
0.084,-45.127,-102.923,-70.800,-6.030,57.216,-141.076,320.936,-675.539,683.063,89.731,-39.058,12.258
0.093,-45.127,-102.923,-70.799,-6.030,57.216,-141.076,320.941,-675.540,683.060,89.732,-39.057,12.258
0.103,-45.127,-102.923,-70.799,-6.030,57.216,-141.076,320.950,-675.537,683.058,89.732,-39.058,12.258
0.112,-45.125,-102.924,-70.800,-6.030,57.216,-141.076,320.971,-675.535,683.046,89.733,-39.057,12.259
0.122,-45.124,-102.924,-70.800,-6.030,57.216,-141.077,320.982,-675.530,683.045,89.733,-39.056,12.260
0.132,-45.122,-102.925,-70.800,-6.030,57.217,-141.076,321.016,-675.524,683.033,89.735,-39.056,12.261
0.142,-45.120,-102.926,-70.800,-6.030,57.217,-141.076,321.048,-675.516,683.019,89.736,-39.055,12.263
0.153,-45.119,-102.926,-70.800,-6.030,57.216,-141.076,321.058,-675.514,683.014,89.736,-39.055,12.263
0.162,-45.117,-102.926,-70.800,-6.031,57.217,-141.077,321.082,-675.506,683.009,89.737,-39.055,12.265
0.172,-45.116,-102.926,-70.800,-6.030,57.217,-141.077,321.095,-675.497,683.014,89.736,-39.055,12.266
0.181,-45.115,-102.925,-70.800,-6.030,57.217,-141.076,321.102,-675.486,683.025,89.735,-39.056,12.268
0.193,-45.115,-102.924,-70.800,-6.030,57.217,-141.076,321.101,-675.474,683.046,89.733,-39.057,12.270
0.201,-45.115,-102.923,-70.799,-6.030,57.217,-141.076,321.089,-675.465,683.068,89.731,-39.058,12.271
0.212,-45.115,-102.922,-70.799,-6.030,57.217,-141.076,321.083,-675.464,683.075,89.730,-39.058,12.272
0.222,-45.116,-102.922,-70.799,-6.030,57.217,-141.077,321.068,-675.466,683.080,89.730,-39.058,12.271
0.233,-45.117,-102.922,-70.799,-6.030,57.216,-141.077,321.057,-675.473,683.076,89.730,-39.058,12.269
0.242,-45.117,-102.922,-70.799,-6.030,57.216,-141.077,321.050,-675.479,683.071,89.731,-39.058,12.268
0.252,-45.118,-102.922,-70.799,-6.030,57.216,-141.077,321.047,-675.479,683.073,89.731,-39.058,12.268
0.262,-45.118,-102.922,-70.799,-6.030,57.216,-141.076,321.045,-675.480,683.073,89.731,-39.058,12.268
0.273,-45.117,-102.922,-70.799,-6.030,57.216,-141.076,321.049,-675.478,683.075,89.730,-39.058,12.268
0.283,-45.117,-102.922,-70.799,-6.030,57.216,-141.077,321.054,-675.476,683.075,89.730,-39.058,12.269
0.292,-45.116,-102.923,-70.799,-6.030,57.216,-141.077,321.071,-675.480,683.059,89.732,-39.057,12.269
0.302,-45.116,-102.924,-70.800,-6.030,57.217,-141.076,321.084,-675.479,683.050,89.733,-39.057,12.269
0.313,-45.114,-102.925,-70.800,-6.030,57.217,-141.076,321.108,-675.478,683.032,89.735,-39.056,12.269
0.323,-45.112,-102.925,-70.800,-6.030,57.217,-141.077,321.135,-675.473,683.019,89.736,-39.055,12.270
0.332,-45.111,-102.926,-70.800,-6.030,57.217,-141.076,321.158,-675.468,683.013,89.737,-39.055,12.272
0.342,-45.107,-102.926,-70.801,-6.030,57.217,-141.076,321.209,-675.448,683.006,89.737,-39.055,12.275
0.351,-45.100,-102.926,-70.800,-6.030,57.217,-141.076,321.280,-675.410,683.013,89.737,-39.055,12.282
0.362,-45.097,-102.926,-70.800,-6.031,57.217,-141.077,321.325,-675.387,683.014,89.737,-39.055,12.286
0.372,-45.088,-102.925,-70.800,-6.031,57.217,-141.077,321.428,-675.333,683.022,89.736,-39.055,12.295
0.382,-45.076,-102.925,-70.800,-6.030,57.217,-141.076,321.561,-675.262,683.034,89.735,-39.056,12.308
0.392,-45.073,-102.924,-70.800,-6.031,57.217,-141.076,321.596,-675.244,683.035,89.735,-39.056,12.311
0.403,-45.073,-102.925,-70.800,-6.031,57.217,-141.076,321.601,-675.246,683.027,89.735,-39.056,12.311
0.413,-45.073,-102.925,-70.801,-6.031,57.217,-141.076,321.597,-675.255,683.016,89.737,-39.055,12.309
0.422,-45.074,-102.925,-70.801,-6.031,57.217,-141.077,321.591,-675.258,683.012,89.737,-39.055,12.308
0.432,-45.075,-102.926,-70.800,-6.031,57.217,-141.077,321.576,-675.266,683.015,89.737,-39.054,12.307
0.443,-45.074,-102.926,-70.801,-6.031,57.217,-141.077,321.590,-675.264,683.009,89.737,-39.054,12.308
0.453,-45.074,-102.926,-70.801,-6.031,57.217,-141.077,321.597,-675.264,683.003,89.738,-39.054,12.308
0.463,-45.072,-102.927,-70.801,-6.031,57.217,-141.077,321.629,-675.253,683.000,89.738,-39.054,12.311
0.473,-45.070,-102.927,-70.801,-6.031,57.217,-141.077,321.647,-675.250,682.989,89.739,-39.053,12.311
0.482,-45.070,-102.927,-70.801,-6.031,57.217,-141.077,321.653,-675.249,682.986,89.739,-39.053,12.311
0.493,-45.070,-102.928,-70.801,-6.031,57.217,-141.077,321.654,-675.250,682.988,89.739,-39.053,12.311
