t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.122,-102.910,-70.803,-6.033,57.223,-141.083,320.953,-675.421,683.176,89.725,-39.055,12.274
0.010,-45.122,-102.910,-70.804,-6.033,57.223,-141.083,320.953,-675.428,683.163,89.726,-39.054,12.273
0.021,-45.122,-102.910,-70.804,-6.033,57.223,-141.083,320.950,-675.431,683.162,89.726,-39.054,12.273
0.032,-45.123,-102.910,-70.803,-6.033,57.223,-141.083,320.942,-675.433,683.165,89.726,-39.054,12.272
0.041,-45.124,-102.910,-70.803,-6.033,57.223,-141.083,320.929,-675.434,683.174,89.725,-39.055,12.272
0.051,-45.124,-102.909,-70.803,-6.033,57.223,-141.083,320.914,-675.430,683.190,89.723,-39.055,12.272
0.060,-45.125,-102.908,-70.803,-6.033,57.222,-141.083,320.906,-675.431,683.195,89.723,-39.056,12.272
0.070,-45.126,-102.908,-70.802,-6.033,57.222,-141.083,320.884,-675.431,683.207,89.722,-39.056,12.271
0.080,-45.126,-102.908,-70.803,-6.033,57.221,-141.083,320.879,-675.436,683.200,89.723,-39.056,12.269
0.090,-45.127,-102.908,-70.803,-6.034,57.221,-141.083,320.875,-675.439,683.197,89.723,-39.055,12.269
0.101,-45.127,-102.908,-70.803,-6.033,57.221,-141.083,320.875,-675.440,683.194,89.723,-39.055,12.268
0.111,-45.127,-102.908,-70.804,-6.033,57.221,-141.083,320.879,-675.441,683.189,89.723,-39.055,12.269
0.121,-45.126,-102.908,-70.804,-6.033,57.221,-141.083,320.886,-675.442,683.181,89.724,-39.055,12.268
0.130,-45.125,-102.908,-70.804,-6.034,57.221,-141.083,320.896,-675.437,683.182,89.725,-39.055,12.269
0.141,-45.125,-102.909,-70.804,-6.034,57.221,-141.083,320.906,-675.434,683.180,89.725,-39.055,12.270
0.151,-45.124,-102.908,-70.803,-6.033,57.221,-141.083,320.910,-675.429,683.187,89.724,-39.055,12.271
0.161,-45.123,-102.908,-70.803,-6.033,57.221,-141.083,320.919,-675.425,683.185,89.724,-39.055,12.271
0.172,-45.122,-102.908,-70.803,-6.033,57.221,-141.083,320.932,-675.418,683.188,89.724,-39.055,12.273
0.183,-45.122,-102.908,-70.803,-6.034,57.221,-141.083,320.936,-675.416,683.187,89.724,-39.055,12.273
0.192,-45.121,-102.908,-70.803,-6.033,57.221,-141.083,320.940,-675.414,683.187,89.724,-39.055,12.273
0.202,-45.122,-102.908,-70.803,-6.033,57.221,-141.083,320.938,-675.415,683.187,89.724,-39.055,12.273
0.211,-45.122,-102.908,-70.804,-6.033,57.221,-141.083,320.934,-675.414,683.190,89.724,-39.055,12.273
0.220,-45.122,-102.907,-70.803,-6.033,57.221,-141.083,320.928,-675.408,683.203,89.723,-39.056,12.274
0.231,-45.122,-102.906,-70.802,-6.033,57.221,-141.083,320.916,-675.405,683.219,89.721,-39.056,12.274
0.241,-45.123,-102.906,-70.802,-6.033,57.221,-141.083,320.908,-675.403,683.228,89.720,-39.057,12.274
0.250,-45.123,-102.905,-70.802,-6.033,57.221,-141.083,320.892,-675.399,683.246,89.718,-39.058,12.275
0.261,-45.124,-102.904,-70.802,-6.033,57.221,-141.083,320.877,-675.402,683.251,89.718,-39.058,12.274
0.270,-45.125,-102.904,-70.802,-6.033,57.221,-141.083,320.869,-675.404,683.254,89.718,-39.058,12.274
0.281,-45.126,-102.905,-70.802,-6.033,57.221,-141.083,320.863,-675.411,683.247,89.718,-39.058,12.272
0.290,-45.125,-102.905,-70.802,-6.033,57.221,-141.083,320.870,-675.412,683.243,89.718,-39.058,12.273
0.301,-45.125,-102.905,-70.802,-6.033,57.221,-141.083,320.871,-675.410,683.242,89.719,-39.058,12.273
0.311,-45.124,-102.905,-70.802,-6.033,57.221,-141.083,320.886,-675.407,683.238,89.719,-39.057,12.274
