t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.125,-102.922,-70.808,-6.031,57.220,-141.077,320.988,-675.534,682.977,89.741,-39.052,12.257
0.013,-45.125,-102.922,-70.808,-6.031,57.219,-141.077,320.990,-675.534,682.973,89.742,-39.052,12.257
0.027,-45.125,-102.923,-70.809,-6.031,57.219,-141.077,321.001,-675.539,682.953,89.744,-39.051,12.256
0.033,-45.125,-102.923,-70.809,-6.031,57.219,-141.077,321.004,-675.540,682.950,89.744,-39.050,12.256
0.043,-45.125,-102.924,-70.809,-6.031,57.219,-141.077,321.004,-675.542,682.950,89.744,-39.051,12.256
0.053,-45.124,-102.924,-70.808,-6.031,57.220,-141.077,321.010,-675.538,682.955,89.743,-39.051,12.257
0.064,-45.124,-102.923,-70.808,-6.031,57.220,-141.077,321.002,-675.533,682.972,89.742,-39.052,12.258
0.073,-45.124,-102.922,-70.807,-6.031,57.220,-141.077,320.999,-675.528,682.985,89.740,-39.052,12.259
0.083,-45.125,-102.922,-70.807,-6.031,57.220,-141.077,320.983,-675.526,682.999,89.739,-39.053,12.259
0.096,-45.126,-102.922,-70.806,-6.031,57.220,-141.077,320.979,-675.529,683.000,89.739,-39.053,12.259
0.103,-45.126,-102.922,-70.807,-6.031,57.220,-141.077,320.979,-675.532,682.992,89.740,-39.053,12.258
0.113,-45.127,-102.922,-70.807,-6.032,57.220,-141.077,320.977,-675.540,682.981,89.741,-39.052,12.257
0.123,-45.127,-102.923,-70.808,-6.032,57.221,-141.077,320.978,-675.548,682.967,89.743,-39.051,12.255
0.133,-45.127,-102.923,-70.808,-6.032,57.221,-141.077,320.979,-675.551,682.962,89.743,-39.051,12.255
0.143,-45.127,-102.923,-70.807,-6.032,57.222,-141.077,320.978,-675.548,682.971,89.743,-39.051,12.256
0.153,-45.127,-102.922,-70.806,-6.032,57.222,-141.077,320.970,-675.542,682.994,89.740,-39.053,12.258
0.163,-45.127,-102.922,-70.806,-6.032,57.222,-141.077,320.969,-675.537,683.004,89.739,-39.053,12.259
0.173,-45.127,-102.921,-70.804,-6.032,57.222,-141.077,320.959,-675.531,683.027,89.737,-39.054,12.260
0.183,-45.127,-102.920,-70.804,-6.032,57.222,-141.077,320.961,-675.525,683.038,89.736,-39.055,12.261
0.193,-45.127,-102.920,-70.804,-6.032,57.223,-141.077,320.963,-675.524,683.040,89.736,-39.055,12.262
0.203,-45.127,-102.921,-70.804,-6.032,57.223,-141.077,320.971,-675.525,683.030,89.737,-39.054,12.262
0.213,-45.126,-102.922,-70.805,-6.032,57.223,-141.077,320.985,-675.527,683.016,89.738,-39.054,12.262
0.223,-45.126,-102.922,-70.805,-6.032,57.223,-141.077,320.988,-675.527,683.010,89.739,-39.054,12.262
0.233,-45.126,-102.921,-70.805,-6.032,57.223,-141.077,320.985,-675.526,683.013,89.738,-39.054,12.262
0.243,-45.126,-102.920,-70.804,-6.031,57.223,-141.077,320.974,-675.518,683.035,89.736,-39.055,12.263
0.253,-45.126,-102.920,-70.804,-6.031,57.223,-141.077,320.965,-675.514,683.051,89.734,-39.056,12.263
0.263,-45.127,-102.918,-70.803,-6.031,57.222,-141.077,320.947,-675.504,683.081,89.731,-39.057,12.265
0.273,-45.127,-102.917,-70.802,-6.031,57.222,-141.077,320.930,-675.498,683.106,89.729,-39.058,12.265
0.283,-45.127,-102.917,-70.801,-6.031,57.222,-141.077,320.928,-675.494,683.118,89.728,-39.059,12.266
0.293,-45.128,-102.916,-70.801,-6.031,57.222,-141.077,320.917,-675.494,683.124,89.727,-39.059,12.265
0.303,-45.129,-102.916,-70.801,-6.031,57.222,-141.077,320.903,-675.498,683.128,89.727,-39.059,12.265
0.313,-45.129,-102.916,-70.801,-6.031,57.222,-141.077,320.895,-675.500,683.130,89.727,-39.059,12.264
0.323,-45.130,-102.915,-70.801,-6.032,57.222,-141.077,320.884,-675.501,683.134,89.727,-39.059,12.263
0.333,-45.131,-102.916,-70.802,-6.032,57.222,-141.077,320.881,-675.509,683.122,89.728,-39.059,12.262
0.343,-45.130,-102.916,-70.802,-6.033,57.223,-141.077,320.890,-675.507,683.117,89.729,-39.058,12.262
0.353,-45.130,-102.916,-70.802,-6.034,57.223,-141.077,320.901,-675.510,683.102,89.732,-39.057,12.262
0.363,-45.130,-102.917,-70.802,-6.034,57.222,-141.077,320.904,-675.516,683.091,89.733,-39.056,12.260
0.373,-45.130,-102.917,-70.802,-6.034,57.222,-141.077,320.903,-675.517,683.091,89.733,-39.056,12.260
0.383,-45.131,-102.917,-70.802,-6.035,57.223,-141.077,320.897,-675.518,683.096,89.733,-39.056,12.260
0.393,-45.130,-102.916,-70.800,-6.036,57.224,-141.077,320.899,-675.508,683.115,89.732,-39.057,12.262
0.403,-45.130,-102.915,-70.800,-6.036,57.224,-141.077,320.895,-675.503,683.133,89.730,-39.058,12.264
0.413,-45.130,-102.914,-70.796,-6.035,57.224,-141.077,320.880,-675.485,683.194,89.724,-39.061,12.268
0.423,-45.130,-102.910,-70.787,-6.035,57.225,-141.077,320.850,-675.443,683.336,89.709,-39.068,12.278
0.433,-45.129,-102.907,-70.780,-6.034,57.225,-141.077,320.819,-675.407,683.454,89.698,-39.073,12.286
0.443,-45.130,-102.896,-70.759,-6.034,57.225,-141.077,320.703,-675.307,683.811,89.662,-39.091,12.307
0.453,-45.133,-102.882,-70.736,-6.033,57.224,-141.078,320.539,-675.186,684.229,89.622,-39.110,12.329
0.463,-45.134,-102.871,-70.721,-6.033,57.224,-141.078,320.427,-675.098,684.523,89.594,-39.124,12.346
0.473,-45.136,-102.844,-70.674,-6.034,57.225,-141.079,320.152,-674.854,685.353,89.514,-39.163,12.395
0.483,-45.137,-102.814,-70.621,-6.033,57.225,-141.079,319.852,-674.568,686.288,89.423,-39.207,12.452
