t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.111,-102.983,-70.813,-6.027,57.222,-141.062,321.584,-675.862,682.185,89.809,-39.034,12.232
0.014,-45.111,-102.982,-70.813,-6.027,57.222,-141.062,321.575,-675.858,682.198,89.807,-39.034,12.232
0.023,-45.111,-102.981,-70.812,-6.026,57.222,-141.062,321.567,-675.848,682.221,89.805,-39.035,12.234
0.032,-45.111,-102.981,-70.812,-6.026,57.222,-141.062,321.568,-675.848,682.220,89.805,-39.035,12.234
0.042,-45.111,-102.981,-70.812,-6.026,57.222,-141.062,321.563,-675.847,682.225,89.804,-39.036,12.234
0.052,-45.112,-102.981,-70.812,-6.025,57.222,-141.062,321.550,-675.851,682.227,89.804,-39.036,12.233
0.062,-45.113,-102.980,-70.812,-6.025,57.222,-141.062,321.537,-675.854,682.233,89.803,-39.036,12.233
0.072,-45.114,-102.980,-70.812,-6.025,57.221,-141.062,321.515,-675.859,682.242,89.802,-39.036,12.232
0.082,-45.115,-102.979,-70.812,-6.025,57.221,-141.062,321.493,-675.859,682.256,89.800,-39.037,12.231
0.096,-45.116,-102.979,-70.812,-6.025,57.220,-141.062,321.489,-675.862,682.255,89.800,-39.038,12.230
0.102,-45.116,-102.979,-70.812,-6.024,57.220,-141.062,321.481,-675.864,682.255,89.800,-39.037,12.229
0.114,-45.117,-102.979,-70.812,-6.024,57.219,-141.062,321.475,-675.868,682.255,89.800,-39.038,12.228
0.122,-45.117,-102.980,-70.812,-6.024,57.219,-141.062,321.475,-675.874,682.246,89.801,-39.037,12.227
0.133,-45.117,-102.980,-70.812,-6.024,57.219,-141.062,321.476,-675.877,682.239,89.802,-39.037,12.227
0.142,-45.117,-102.981,-70.812,-6.024,57.219,-141.062,321.484,-675.877,682.235,89.802,-39.037,12.227
0.152,-45.116,-102.981,-70.812,-6.024,57.219,-141.062,321.490,-675.874,682.236,89.802,-39.037,12.228
0.162,-45.115,-102.981,-70.812,-6.024,57.219,-141.062,321.502,-675.874,682.229,89.803,-39.037,12.228
0.172,-45.114,-102.982,-70.813,-6.024,57.219,-141.062,321.523,-675.870,682.216,89.804,-39.036,12.229
0.181,-45.113,-102.982,-70.813,-6.025,57.220,-141.062,321.538,-675.869,682.208,89.805,-39.035,12.229
0.191,-45.112,-102.983,-70.813,-6.025,57.220,-141.062,321.553,-675.866,682.202,89.805,-39.035,12.230
0.201,-45.111,-102.983,-70.813,-6.025,57.220,-141.062,321.573,-675.858,682.200,89.806,-39.035,12.232
0.212,-45.110,-102.983,-70.813,-6.025,57.221,-141.062,321.584,-675.853,682.202,89.805,-39.035,12.234
0.224,-45.109,-102.982,-70.813,-6.025,57.222,-141.062,321.597,-675.844,682.201,89.806,-39.035,12.235
0.231,-45.108,-102.983,-70.813,-6.025,57.221,-141.062,321.613,-675.842,682.194,89.806,-39.035,12.235
0.246,-45.108,-102.983,-70.813,-6.025,57.222,-141.062,321.617,-675.842,682.194,89.806,-39.035,12.236
0.254,-45.107,-102.983,-70.813,-6.024,57.222,-141.062,321.624,-675.839,682.194,89.806,-39.035,12.237
0.262,-45.107,-102.983,-70.813,-6.024,57.222,-141.062,321.625,-675.838,682.198,89.806,-39.035,12.237
