t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.009,-45.133,-102.924,-70.813,-6.031,57.200,-141.066,320.834,-675.609,682.905,89.749,-39.059,12.226
0.020,-45.133,-102.927,-70.821,-6.034,57.201,-141.066,320.875,-675.646,682.765,89.764,-39.051,12.217
0.029,-45.132,-102.936,-70.831,-6.039,57.201,-141.067,320.963,-675.722,682.535,89.789,-39.039,12.202
0.037,-45.131,-102.941,-70.834,-6.042,57.202,-141.067,321.016,-675.763,682.420,89.803,-39.032,12.194
0.047,-45.130,-102.963,-70.845,-6.057,57.202,-141.067,321.220,-675.935,681.973,89.855,-39.005,12.164
0.058,-45.129,-102.996,-70.863,-6.080,57.202,-141.068,321.500,-676.203,681.293,89.934,-38.965,12.115
0.067,-45.129,-103.014,-70.873,-6.096,57.202,-141.068,321.655,-676.350,680.908,89.981,-38.942,12.086
0.077,-45.129,-103.053,-70.910,-6.139,57.202,-141.068,322.021,-676.718,679.858,90.110,-38.877,12.004
0.088,-45.128,-103.101,-70.953,-6.193,57.203,-141.068,322.471,-677.153,678.610,90.266,-38.798,11.908
0.098,-45.128,-103.127,-70.982,-6.222,57.202,-141.068,322.712,-677.397,677.873,90.356,-38.753,11.851
0.107,-45.129,-103.177,-71.057,-6.280,57.202,-141.068,323.207,-677.913,676.223,90.554,-38.652,11.726
0.117,-45.127,-103.230,-71.153,-6.341,57.201,-141.068,323.772,-678.461,674.312,90.778,-38.537,11.587
0.128,-45.127,-103.257,-71.207,-6.376,57.202,-141.068,324.064,-678.750,673.276,90.901,-38.474,11.511
0.138,-45.128,-103.315,-71.329,-6.466,57.201,-141.069,324.705,-679.409,670.897,91.190,-38.324,11.330
0.147,-45.128,-103.381,-71.467,-6.589,57.203,-141.069,325.458,-680.156,668.138,91.535,-38.143,11.118
0.159,-45.129,-103.416,-71.543,-6.658,57.204,-141.069,325.850,-680.565,666.622,91.726,-38.042,11.001
0.167,-45.130,-103.481,-71.711,-6.810,57.206,-141.069,326.645,-681.368,663.417,92.132,-37.827,10.752
0.178,-45.130,-103.533,-71.916,-6.991,57.209,-141.068,327.432,-682.140,659.885,92.588,-37.581,10.476
0.188,-45.129,-103.557,-72.059,-7.113,57.211,-141.068,327.904,-682.584,657.580,92.888,-37.418,10.297
0.198,-45.126,-103.596,-72.299,-7.315,57.216,-141.068,328.685,-683.301,653.728,93.385,-37.145,10.003
0.208,-45.125,-103.638,-72.584,-7.572,57.225,-141.067,329.565,-684.122,649.139,93.984,-36.810,9.652
0.218,-45.124,-103.660,-72.733,-7.715,57.232,-141.067,330.052,-684.545,646.687,94.306,-36.629,9.469
0.227,-45.120,-103.706,-73.044,-8.026,57.252,-141.066,331.075,-685.395,641.547,94.981,-36.243,9.092
0.238,-45.115,-103.757,-73.374,-8.362,57.288,-141.064,332.222,-686.272,636.004,95.701,-35.826,8.708
0.247,-45.115,-103.787,-73.552,-8.538,57.312,-141.063,332.838,-686.743,632.998,96.085,-35.601,8.509
0.258,-45.111,-103.858,-73.909,-8.904,57.379,-141.061,334.219,-687.698,626.782,96.871,-35.136,8.124
0.268,-45.110,-103.950,-74.269,-9.273,57.474,-141.058,335.776,-688.733,620.213,97.681,-34.655,7.756
0.278,-45.111,-104.008,-74.448,-9.456,57.537,-141.057,336.652,-689.290,616.788,98.092,-34.410,7.583
0.289,-45.113,-104.141,-74.809,-9.814,57.689,-141.052,338.584,-690.441,609.686,98.926,-33.914,7.263
0.298,-45.115,-104.285,-75.174,-10.127,57.867,-141.044,340.613,-691.548,602.534,99.730,-33.440,6.990
0.307,-45.117,-104.357,-75.355,-10.266,57.960,-141.037,341.607,-692.061,599.046,100.111,-33.218,6.870
0.318,-45.117,-104.513,-75.711,-10.496,58.163,-141.023,343.698,-693.067,592.135,100.836,-32.803,6.671
0.328,-45.117,-104.678,-76.068,-10.665,58.387,-141.007,345.864,-694.003,585.318,101.514,-32.425,6.524
0.337,-45.117,-104.777,-76.280,-10.720,58.528,-140.996,347.150,-694.512,581.422,101.875,-32.230,6.467
0.347,-45.117,-104.944,-76.611,-10.741,58.763,-140.976,349.224,-695.295,575.427,102.394,-31.965,6.418
0.358,-45.114,-105.141,-76.954,-10.700,59.036,-140.950,351.600,-696.123,569.123,102.901,-31.727,6.415
0.368,-45.113,-105.247,-77.115,-10.664,59.175,-140.932,352.811,-696.548,566.054,103.139,-31.624,6.423
0.378,-45.111,-105.485,-77.411,-10.549,59.469,-140.890,355.385,-697.466,560.003,103.580,-31.458,6.471
0.388,-45.111,-105.774,-77.671,-10.375,59.779,-140.823,358.228,-698.562,553.912,103.987,-31.347,6.548
0.398,-45.110,-105.927,-77.787,-10.271,59.936,-140.774,359.694,-699.122,550.970,104.173,-31.322,6.594
0.408,-45.111,-106.237,-77.994,-10.021,60.252,-140.626,362.586,-700.231,545.480,104.495,-31.361,6.701
0.418,-45.111,-106.566,-78.154,-9.708,60.563,-140.430,365.536,-701.379,540.484,104.743,-31.503,6.830
0.427,-45.111,-106.742,-78.219,-9.528,60.715,-140.323,367.041,-701.997,538.086,104.845,-31.598,6.901
0.439,-45.111,-107.159,-78.319,-9.059,61.040,-140.067,370.412,-703.458,533.214,104.989,-31.880,7.084
0.448,-45.112,-107.532,-78.347,-8.585,61.305,-139.822,373.274,-704.773,529.765,105.008,-32.214,7.275
0.458,-45.111,-107.730,-78.348,-8.292,61.439,-139.673,374.791,-705.443,528.262,104.968,-32.442,7.396
0.468,-45.114,-108.132,-78.331,-7.638,61.684,-139.344,377.633,-706.841,525.669,104.812,-32.972,7.643
0.478,-45.116,-108.542,-78.301,-6.888,61.890,-138.961,380.318,-708.263,523.514,104.559,-33.604,7.898
0.487,-45.118,-108.750,-78.283,-6.480,61.976,-138.752,381.576,-708.993,522.577,104.399,-33.954,8.025
0.498,-45.121,-109.149,-78.232,-5.575,62.122,-138.334,383.867,-710.350,521.474,103.952,-34.719,8.332
0.509,-45.120,-109.528,-78.163,-4.572,62.227,-137.890,385.870,-711.570,521.272,103.360,-35.579,8.691
0.518,-45.118,-109.717,-78.126,-4.040,62.262,-137.658,386.787,-712.167,521.333,103.024,-36.036,8.880
0.527,-45.117,-110.111,-78.038,-2.915,62.305,-137.159,388.494,-713.421,521.651,102.285,-37.008,9.275
0.537,-45.120,-110.516,-77.923,-1.730,62.319,-136.648,390.015,-714.721,522.352,101.449,-38.029,9.712
0.547,-45.121,-110.712,-77.858,-1.113,62.318,-136.398,390.684,-715.320,522.969,100.980,-38.553,9.962
0.558,-45.125,-111.103,-77.710,0.174,62.315,-135.885,391.920,-716.448,524.631,99.948,-39.650,10.534
0.567,-45.133,-111.499,-77.549,1.510,62.316,-135.340,393.071,-717.514,526.534,98.829,-40.804,11.183
0.578,-45.137,-111.705,-77.462,2.179,62.314,-135.065,393.628,-718.073,527.446,98.255,-41.379,11.522
0.587,-45.148,-112.100,-77.269,3.523,62.307,-134.549,394.577,-719.059,529.709,97.027,-42.512,12.275
0.598,-45.161,-112.458,-77.063,4.841,62.299,-134.038,395.259,-719.837,532.460,95.730,-43.639,13.099
0.608,-45.168,-112.632,-76.955,5.491,62.295,-133.785,395.541,-720.186,533.922,95.060,-44.197,13.534
0.618,-45.183,-112.969,-76.738,6.792,62.288,-133.286,395.997,-720.768,536.971,93.669,-45.299,14.465
0.629,-45.202,-113.297,-76.508,8.074,62.274,-132.848,396.251,-721.297,540.172,92.219,-46.324,15.456
0.638,-45.218,-113.446,-76.391,8.694,62.264,-132.645,396.183,-721.532,541.903,91.478,-46.814,15.964
0.648,-45.263,-113.706,-76.145,9.899,62.234,-132.272,395.648,-721.888,545.837,89.937,-47.750,17.017
0.659,-45.323,-113.925,-75.911,11.027,62.186,-131.935,394.634,-722.181,549.870,88.406,-48.610,18.054
0.669,-45.356,-114.025,-75.788,11.564,62.153,-131.784,394.006,-722.320,551.942,87.640,-49.010,18.568
0.678,-45.430,-114.194,-75.550,12.563,62.062,-131.521,392.404,-722.556,556.133,86.145,-49.737,19.548
0.698,-45.510,-114.318,-75.299,13.441,61.937,-131.332,390.398,-722.746,560.539,84.710,-50.348,20.451
0.698,-45.554,-114.366,-75.174,13.829,61.869,-131.262,389.286,-722.837,562.738,84.034,-50.611,20.865
0.707,-45.640,-114.444,-74.907,14.519,61.721,-131.173,386.993,-723.005,567.178,82.749,-51.056,21.635
0.718,-45.736,-114.493,-74.624,15.058,61.553,-131.162,384.465,-723.259,571.560,81.616,-51.376,22.256
0.730,-45.790,-114.504,-74.480,15.271,61.460,-131.175,383.064,-723.428,573.737,81.109,-51.502,22.505
0.738,-45.903,-114.500,-74.183,15.605,61.264,-131.212,380.122,-723.752,578.177,80.177,-51.718,22.924
0.749,-46.043,-114.485,-73.836,15.834,61.020,-131.276,376.634,-724.337,582.851,79.318,-51.895,23.209
0.757,-46.103,-114.475,-73.695,15.881,60.920,-131.305,375.211,-724.628,584.613,79.035,-51.948,23.270
0.770,-46.266,-114.439,-73.335,15.911,60.665,-131.384,371.498,-725.466,588.951,78.425,-52.053,23.326
0.779,-46.434,-114.380,-72.949,15.879,60.387,-131.459,367.537,-726.260,593.616,77.836,-52.161,23.338
0.791,-46.532,-114.329,-72.726,15.849,60.223,-131.497,365.132,-726.625,596.493,77.487,-52.232,23.349
0.800,-46.682,-114.222,-72.368,15.787,59.963,-131.554,361.247,-726.999,601.389,76.908,-52.352,23.392
0.809,-46.834,-114.072,-71.964,15.703,59.681,-131.635,356.955,-727.097,607.243,76.233,-52.476,23.485
0.818,-46.906,-113.989,-71.759,15.658,59.543,-131.691,354.811,-727.043,610.311,75.886,-52.525,23.545
0.829,-47.040,-113.799,-71.349,15.567,59.262,-131.842,350.463,-726.705,616.706,75.174,-52.596,23.677
0.838,-47.160,-113.588,-70.943,15.476,58.993,-132.013,346.174,-726.082,623.336,74.441,-52.649,23.847
0.848,-47.229,-113.455,-70.700,15.415,58.843,-132.121,343.638,-725.617,627.364,74.004,-52.675,23.960
0.858,-47.344,-113.234,-70.314,15.290,58.617,-132.310,339.558,-724.832,633.783,73.344,-52.691,24.117
0.869,-47.477,-112.994,-69.881,15.110,58.395,-132.531,335.143,-723.993,640.727,72.680,-52.678,24.256
0.879,-47.547,-112.875,-69.669,15.008,58.297,-132.646,332.945,-723.594,644.090,72.378,-52.660,24.308
0.889,-47.715,-112.623,-69.194,14.755,58.104,-132.906,328.120,-722.805,651.358,71.763,-52.600,24.393
0.899,-47.863,-112.406,-68.784,14.508,57.954,-133.140,323.997,-722.114,657.516,71.282,-52.526,24.436
0.913,-47.944,-112.286,-68.558,14.358,57.878,-133.279,321.766,-721.719,660.867,71.042,-52.472,24.445
0.919,-48.109,-112.049,-68.129,14.034,57.737,-133.589,317.349,-720.992,667.203,70.656,-52.314,24.385
0.942,-48.279,-111.800,-67.702,13.657,57.594,-133.932,312.840,-720.235,673.486,70.354,-52.113,24.245
0.949,-48.362,-111.667,-67.493,13.454,57.521,-134.112,310.559,-719.799,676.638,70.225,-52.002,24.155
0.950,-48.521,-111.390,-67.079,13.010,57.379,-134.482,306.084,-718.831,682.891,70.021,-51.763,23.942
0.959,-48.671,-111.107,-66.696,12.522,57.249,-134.868,301.825,-717.828,688.760,69.930,-51.486,23.656
0.968,-48.744,-110.958,-66.508,12.262,57.181,-135.069,299.681,-717.283,691.681,69.909,-51.336,23.491
0.980,-48.896,-110.645,-66.151,11.696,57.038,-135.517,295.237,-716.185,697.384,69.959,-50.982,23.065
0.988,-49.055,-110.316,-65.801,11.081,56.898,-135.998,290.672,-715.043,703.041,70.081,-50.585,22.572
0.998,-49.137,-110.148,-65.633,10.751,56.830,-136.247,288.381,-714.493,705.754,70.185,-50.369,22.290
1.010,-49.299,-109.811,-65.320,10.042,56.689,-136.755,283.884,-713.457,710.805,70.494,-49.906,21.645
1.019,-49.452,-109.492,-65.019,9.273,56.542,-137.316,279.666,-712.592,715.286,70.948,-49.363,20.885
1.029,-49.529,-109.331,-64.875,8.865,56.472,-137.607,277.584,-712.188,717.394,71.216,-49.069,20.475
1.039,-49.692,-109.013,-64.589,7.997,56.331,-138.196,273.415,-711.500,721.366,71.823,-48.452,19.596
1.048,-49.866,-108.705,-64.315,7.074,56.176,-138.797,269.168,-711.016,724.892,72.525,-47.792,18.626
1.059,-49.955,-108.553,-64.182,6.583,56.093,-139.121,267.049,-710.839,726.482,72.926,-47.425,18.096
1.068,-50.143,-108.257,-63.936,5.565,55.925,-139.766,262.796,-710.664,729.235,73.791,-46.662,16.985
1.079,-50.344,-107.966,-63.702,4.477,55.740,-140.423,258.444,-710.682,731.539,74.749,-45.845,15.790
1.089,-50.453,-107.815,-63.594,3.922,55.645,-140.768,256.122,-710.706,732.621,75.240,-45.410,15.174
1.099,-50.696,-107.515,-63.388,2.759,55.453,-141.461,251.248,-710.935,734.488,76.276,-44.498,13.891
1.109,-50.953,-107.218,-63.200,1.563,55.258,-142.134,246.262,-711.268,735.998,77.338,-43.566,12.594
1.119,-51.082,-107.069,-63.115,0.948,55.162,-142.478,243.799,-711.453,736.609,77.886,-43.076,11.942
