t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.120,-102.918,-70.810,-6.028,57.210,-141.063,320.988,-675.482,683.015,89.736,-39.069,12.257
0.012,-45.120,-102.919,-70.810,-6.029,57.209,-141.062,320.988,-675.489,683.006,89.737,-39.069,12.255
0.023,-45.120,-102.919,-70.810,-6.028,57.209,-141.062,320.979,-675.494,683.005,89.737,-39.069,12.254
0.033,-45.120,-102.919,-70.810,-6.028,57.209,-141.062,320.978,-675.493,683.005,89.737,-39.069,12.254
0.042,-45.120,-102.919,-70.810,-6.028,57.208,-141.062,320.982,-675.492,683.003,89.737,-39.069,12.254
0.052,-45.120,-102.919,-70.810,-6.028,57.208,-141.062,320.984,-675.494,682.996,89.737,-39.069,12.254
0.063,-45.119,-102.919,-70.811,-6.028,57.208,-141.062,320.992,-675.492,682.993,89.738,-39.069,12.254
0.072,-45.119,-102.920,-70.811,-6.028,57.208,-141.062,321.002,-675.493,682.981,89.739,-39.068,12.254
0.082,-45.119,-102.920,-70.812,-6.027,57.208,-141.062,321.004,-675.497,682.973,89.739,-39.068,12.253
0.093,-45.119,-102.920,-70.812,-6.027,57.208,-141.062,321.007,-675.496,682.972,89.739,-39.068,12.253
0.102,-45.118,-102.921,-70.812,-6.027,57.208,-141.062,321.019,-675.494,682.968,89.739,-39.068,12.254
0.114,-45.118,-102.921,-70.811,-6.027,57.207,-141.062,321.015,-675.492,682.973,89.739,-39.068,12.253
0.123,-45.117,-102.921,-70.811,-6.027,57.206,-141.062,321.015,-675.491,682.975,89.738,-39.069,12.253
0.132,-45.118,-102.921,-70.811,-6.026,57.201,-141.062,320.994,-675.501,682.966,89.739,-39.068,12.248
0.142,-45.118,-102.922,-70.812,-6.027,57.192,-141.062,320.963,-675.517,682.948,89.741,-39.067,12.238
0.153,-45.118,-102.923,-70.812,-6.027,57.187,-141.062,320.937,-675.531,682.934,89.742,-39.066,12.231
0.162,-45.119,-102.926,-70.813,-6.027,57.177,-141.062,320.902,-675.560,682.894,89.746,-39.065,12.217
0.173,-45.119,-102.931,-70.815,-6.028,57.174,-141.062,320.935,-675.603,682.799,89.756,-39.060,12.209
0.182,-45.118,-102.934,-70.816,-6.028,57.175,-141.063,320.957,-675.621,682.757,89.760,-39.057,12.207
0.194,-45.118,-102.941,-70.820,-6.030,57.174,-141.062,321.017,-675.678,682.618,89.774,-39.051,12.199
0.203,-45.119,-102.953,-70.824,-6.031,57.174,-141.063,321.094,-675.765,682.424,89.792,-39.041,12.186
0.212,-45.119,-102.961,-70.827,-6.032,57.173,-141.063,321.148,-675.830,682.288,89.806,-39.034,12.176
0.222,-45.120,-102.981,-70.831,-6.034,57.172,-141.063,321.278,-675.978,681.986,89.834,-39.020,12.157
0.232,-45.120,-103.006,-70.837,-6.036,57.169,-141.064,321.434,-676.159,681.615,89.869,-39.002,12.132
0.242,-45.120,-103.017,-70.841,-6.038,57.166,-141.064,321.508,-676.247,681.423,89.888,-38.993,12.117
0.252,-45.120,-103.046,-70.852,-6.041,57.158,-141.064,321.685,-676.467,680.938,89.935,-38.969,12.079
0.262,-45.119,-103.081,-70.864,-6.044,57.149,-141.064,321.903,-676.725,680.371,89.988,-38.942,12.037
0.272,-45.119,-103.101,-70.871,-6.044,57.145,-141.064,322.033,-676.878,680.041,90.018,-38.927,12.014
0.282,-45.120,-103.141,-70.890,-6.044,57.138,-141.064,322.295,-677.181,679.352,90.081,-38.895,11.968
0.292,-45.121,-103.186,-70.908,-6.043,57.129,-141.064,322.563,-677.518,678.612,90.148,-38.862,11.916
0.303,-45.121,-103.205,-70.915,-6.042,57.122,-141.064,322.657,-677.666,678.305,90.175,-38.848,11.891
0.313,-45.123,-103.246,-70.925,-6.041,57.106,-141.064,322.848,-677.971,677.704,90.228,-38.821,11.840
0.323,-45.125,-103.291,-70.934,-6.039,57.082,-141.064,323.034,-678.317,677.049,90.285,-38.792,11.779
0.332,-45.126,-103.312,-70.937,-6.038,57.070,-141.064,323.107,-678.480,676.758,90.310,-38.779,11.750
0.342,-45.129,-103.354,-70.935,-6.037,57.046,-141.064,323.239,-678.784,676.275,90.350,-38.758,11.697
0.352,-45.131,-103.392,-70.934,-6.035,57.022,-141.064,323.343,-679.067,675.826,90.388,-38.739,11.648
0.363,-45.133,-103.409,-70.933,-6.034,57.011,-141.064,323.387,-679.198,675.626,90.404,-38.731,11.625
0.373,-45.137,-103.430,-70.935,-6.033,56.986,-141.063,323.372,-679.384,675.340,90.428,-38.719,11.581
0.382,-45.141,-103.440,-70.933,-6.032,56.957,-141.063,323.259,-679.492,675.243,90.435,-38.715,11.544
0.392,-45.142,-103.447,-70.931,-6.031,56.934,-141.063,323.179,-679.562,675.182,90.439,-38.713,11.517
0.403,-45.144,-103.454,-70.932,-6.028,56.890,-141.063,323.007,-679.655,675.091,90.445,-38.710,11.467
0.413,-45.145,-103.455,-70.932,-6.027,56.820,-141.063,322.675,-679.721,675.096,90.444,-38.710,11.397
0.422,-45.145,-103.454,-70.930,-6.026,56.773,-141.063,322.451,-679.754,675.130,90.440,-38.712,11.352
0.432,-45.144,-103.454,-70.929,-6.026,56.641,-141.063,321.865,-679.853,675.148,90.437,-38.712,11.222
0.442,-45.144,-103.454,-70.930,-6.025,56.510,-141.063,321.282,-679.959,675.141,90.437,-38.711,11.092
0.452,-45.145,-103.454,-70.929,-6.025,56.439,-141.063,320.945,-680.017,675.159,90.435,-38.711,11.021
0.462,-45.145,-103.453,-70.928,-6.022,56.283,-141.062,320.231,-680.137,675.184,90.430,-38.713,10.868
