t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.050,-103.821,-70.838,-6.031,57.206,-141.055,327.820,-681.133,671.528,90.741,-38.569,11.692
0.012,-45.050,-103.821,-70.838,-6.030,57.204,-141.055,327.815,-681.131,671.531,90.741,-38.569,11.691
0.021,-45.050,-103.821,-70.838,-6.031,57.205,-141.055,327.821,-681.133,671.525,90.741,-38.569,11.691
0.031,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.817,-681.135,671.527,90.741,-38.569,11.690
0.041,-45.050,-103.821,-70.837,-6.031,57.204,-141.055,327.817,-681.134,671.526,90.741,-38.569,11.690
0.051,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.818,-681.140,671.517,90.742,-38.568,11.689
0.061,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.819,-681.138,671.520,90.742,-38.569,11.690
0.071,-45.050,-103.822,-70.837,-6.031,57.204,-141.056,327.822,-681.140,671.517,90.742,-38.568,11.690
0.081,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.822,-681.141,671.514,90.743,-38.568,11.690
0.090,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.822,-681.142,671.512,90.743,-38.568,11.689
0.101,-45.050,-103.822,-70.837,-6.031,57.204,-141.055,327.821,-681.141,671.516,90.742,-38.568,11.690
0.116,-45.050,-103.822,-70.837,-6.031,57.204,-141.056,327.821,-681.142,671.514,90.743,-38.568,11.689
0.129,-45.050,-103.822,-70.837,-6.031,57.204,-141.056,327.824,-681.141,671.513,90.743,-38.568,11.690
0.131,-45.050,-103.822,-70.837,-6.031,57.204,-141.056,327.822,-681.135,671.526,90.741,-38.569,11.691
0.142,-45.049,-103.821,-70.837,-6.031,57.204,-141.056,327.821,-681.131,671.530,90.741,-38.568,11.691
0.152,-45.050,-103.821,-70.837,-6.031,57.204,-141.056,327.818,-681.132,671.534,90.741,-38.569,11.691
0.162,-45.050,-103.821,-70.837,-6.031,57.204,-141.056,327.816,-681.131,671.535,90.740,-38.569,11.691
0.171,-45.050,-103.821,-70.837,-6.031,57.204,-141.056,327.811,-681.127,671.546,90.739,-38.570,11.692
0.183,-45.050,-103.820,-70.837,-6.031,57.204,-141.056,327.810,-681.126,671.548,90.739,-38.570,11.692
0.192,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.804,-681.123,671.558,90.738,-38.570,11.692
0.202,-45.050,-103.820,-70.836,-6.031,57.204,-141.056,327.806,-681.120,671.563,90.738,-38.570,11.693
0.211,-45.050,-103.819,-70.836,-6.030,57.204,-141.056,327.803,-681.118,671.567,90.737,-38.571,11.693
0.222,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.801,-681.120,671.564,90.738,-38.570,11.692
0.231,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.800,-681.120,671.567,90.737,-38.571,11.693
0.241,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.799,-681.121,671.562,90.738,-38.570,11.692
0.252,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.803,-681.124,671.558,90.738,-38.570,11.692
0.261,-45.050,-103.820,-70.837,-6.030,57.204,-141.056,327.805,-681.126,671.551,90.739,-38.570,11.692
0.271,-45.050,-103.820,-70.836,-6.031,57.204,-141.056,327.808,-681.125,671.552,90.739,-38.570,11.692
0.281,-45.050,-103.820,-70.837,-6.031,57.204,-141.056,327.809,-681.127,671.548,90.739,-38.570,11.692
0.291,-45.050,-103.820,-70.836,-6.031,57.204,-141.056,327.806,-681.128,671.550,90.739,-38.570,11.691
0.301,-45.050,-103.821,-70.837,-6.031,57.204,-141.056,327.809,-681.129,671.545,90.740,-38.570,11.691
0.310,-45.050,-103.821,-70.836,-6.031,57.204,-141.056,327.812,-681.128,671.546,90.739,-38.570,11.692
0.322,-45.050,-103.821,-70.836,-6.031,57.204,-141.056,327.813,-681.126,671.548,90.739,-38.570,11.692
0.331,-45.050,-103.821,-70.836,-6.031,57.204,-141.055,327.813,-681.126,671.548,90.739,-38.570,11.692
0.341,-45.050,-103.821,-70.836,-6.031,57.204,-141.056,327.814,-681.128,671.545,90.740,-38.569,11.692
0.351,-45.050,-103.821,-70.836,-6.031,57.204,-141.056,327.811,-681.127,671.548,90.739,-38.570,11.692
0.361,-45.050,-103.821,-70.836,-6.031,57.204,-141.056,327.811,-681.128,671.546,90.740,-38.569,11.692
0.371,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.810,-681.126,671.551,90.739,-38.570,11.692
0.382,-45.050,-103.820,-70.836,-6.031,57.204,-141.056,327.801,-681.127,671.558,90.738,-38.570,11.692
0.391,-45.050,-103.820,-70.836,-6.031,57.204,-141.056,327.799,-681.124,671.561,90.738,-38.570,11.692
0.401,-45.050,-103.820,-70.836,-6.030,57.204,-141.056,327.794,-681.125,671.564,90.738,-38.571,11.692
0.411,-45.050,-103.819,-70.836,-6.030,57.204,-141.056,327.791,-681.122,671.569,90.737,-38.571,11.692
0.420,-45.050,-103.819,-70.836,-6.030,57.204,-141.056,327.791,-681.122,671.572,90.737,-38.571,11.692
0.431,-45.051,-103.819,-70.836,-6.030,57.204,-141.056,327.786,-681.124,671.572,90.737,-38.571,11.692
0.441,-45.051,-103.819,-70.835,-6.030,57.204,-141.056,327.785,-681.123,671.577,90.736,-38.571,11.692
0.451,-45.051,-103.819,-70.836,-6.030,57.204,-141.056,327.784,-681.125,671.572,90.737,-38.571,11.692
