t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.115,-102.932,-70.795,-6.029,57.221,-141.066,321.162,-675.513,683.009,89.735,-39.067,12.273
0.013,-45.113,-102.930,-70.794,-6.029,57.221,-141.066,321.177,-675.488,683.035,89.732,-39.068,12.277
0.020,-45.111,-102.930,-70.794,-6.028,57.222,-141.066,321.196,-675.475,683.042,89.731,-39.068,12.280
0.029,-45.107,-102.929,-70.794,-6.028,57.221,-141.066,321.236,-675.453,683.043,89.731,-39.069,12.283
0.040,-45.101,-102.930,-70.795,-6.028,57.222,-141.066,321.309,-675.424,683.029,89.733,-39.068,12.289
0.050,-45.098,-102.930,-70.796,-6.028,57.222,-141.066,321.352,-675.411,683.018,89.734,-39.067,12.291
0.059,-45.097,-102.931,-70.796,-6.029,57.222,-141.066,321.375,-675.411,683.000,89.736,-39.066,12.291
0.070,-45.097,-102.932,-70.796,-6.029,57.222,-141.066,321.385,-675.415,682.987,89.737,-39.065,12.291
0.079,-45.097,-102.932,-70.796,-6.029,57.222,-141.066,321.386,-675.419,682.984,89.737,-39.065,12.291
0.090,-45.097,-102.932,-70.796,-6.029,57.222,-141.066,321.377,-675.422,682.987,89.737,-39.066,12.290
0.100,-45.098,-102.933,-70.795,-6.029,57.221,-141.065,321.372,-675.424,682.993,89.736,-39.066,12.290
0.109,-45.097,-102.933,-70.795,-6.029,57.222,-141.065,321.378,-675.423,682.990,89.737,-39.066,12.290
0.132,-45.096,-102.934,-70.796,-6.029,57.222,-141.066,321.405,-675.425,682.965,89.739,-39.064,12.290
0.134,-45.094,-102.936,-70.797,-6.029,57.222,-141.065,321.445,-675.424,682.934,89.742,-39.063,12.290
0.140,-45.093,-102.937,-70.797,-6.029,57.222,-141.066,321.460,-675.428,682.917,89.744,-39.062,12.290
0.150,-45.093,-102.938,-70.799,-6.029,57.222,-141.065,321.469,-675.441,682.883,89.747,-39.061,12.288
0.161,-45.093,-102.937,-70.799,-6.029,57.222,-141.065,321.468,-675.437,682.887,89.746,-39.061,12.289
0.170,-45.093,-102.937,-70.799,-6.029,57.222,-141.066,321.460,-675.433,682.899,89.745,-39.062,12.289
0.179,-45.093,-102.935,-70.798,-6.029,57.222,-141.066,321.458,-675.419,682.925,89.743,-39.063,12.291
0.189,-45.091,-102.934,-70.797,-6.029,57.223,-141.066,321.464,-675.396,682.962,89.739,-39.064,12.296
0.201,-45.091,-102.933,-70.796,-6.029,57.224,-141.066,321.464,-675.388,682.980,89.738,-39.065,12.298
0.210,-45.091,-102.932,-70.795,-6.029,57.224,-141.066,321.459,-675.381,682.998,89.736,-39.066,12.299
0.221,-45.091,-102.932,-70.795,-6.029,57.224,-141.065,321.456,-675.382,682.998,89.736,-39.066,12.299
0.231,-45.091,-102.933,-70.796,-6.029,57.224,-141.066,321.459,-675.387,682.986,89.737,-39.066,12.298
0.240,-45.091,-102.934,-70.796,-6.029,57.224,-141.066,321.471,-675.393,682.965,89.739,-39.065,12.297
0.250,-45.090,-102.935,-70.797,-6.029,57.224,-141.066,321.491,-675.397,682.943,89.741,-39.064,12.297
0.259,-45.089,-102.935,-70.798,-6.029,57.224,-141.066,321.504,-675.394,682.935,89.742,-39.063,12.297
0.270,-45.087,-102.936,-70.797,-6.030,57.224,-141.065,321.534,-675.387,682.928,89.743,-39.063,12.299
0.279,-45.085,-102.936,-70.797,-6.029,57.225,-141.066,321.566,-675.374,682.929,89.742,-39.063,12.302
0.289,-45.084,-102.936,-70.797,-6.030,57.225,-141.065,321.579,-675.371,682.924,89.743,-39.063,12.302
0.299,-45.083,-102.937,-70.797,-6.030,57.225,-141.066,321.593,-675.373,682.912,89.744,-39.062,12.303
0.309,-45.083,-102.938,-70.797,-6.030,57.224,-141.065,321.597,-675.378,682.904,89.745,-39.062,12.302
0.320,-45.083,-102.938,-70.798,-6.030,57.225,-141.065,321.605,-675.381,682.892,89.746,-39.061,12.302
0.330,-45.083,-102.940,-70.798,-6.030,57.225,-141.065,321.614,-675.391,682.870,89.748,-39.060,12.300
0.339,-45.083,-102.942,-70.798,-6.030,57.224,-141.066,321.628,-675.409,682.836,89.751,-39.059,12.298
0.349,-45.083,-102.943,-70.799,-6.030,57.224,-141.066,321.635,-675.412,682.824,89.752,-39.058,12.297
0.359,-45.083,-102.944,-70.799,-6.030,57.225,-141.066,321.644,-675.423,682.804,89.754,-39.057,12.296
0.370,-45.083,-102.944,-70.800,-6.030,57.225,-141.065,321.647,-675.427,682.793,89.755,-39.057,12.296
0.379,-45.083,-102.944,-70.800,-6.030,57.225,-141.066,321.643,-675.428,682.795,89.755,-39.057,12.295
0.389,-45.083,-102.944,-70.799,-6.030,57.224,-141.066,321.641,-675.425,682.803,89.754,-39.057,12.296
0.399,-45.083,-102.943,-70.799,-6.030,57.224,-141.065,321.640,-675.417,682.815,89.753,-39.058,12.297
0.410,-45.083,-102.943,-70.799,-6.030,57.224,-141.066,321.637,-675.414,682.822,89.753,-39.058,12.297
0.419,-45.083,-102.943,-70.799,-6.030,57.224,-141.066,321.633,-675.417,682.822,89.753,-39.058,12.297
0.430,-45.083,-102.943,-70.798,-6.030,57.224,-141.065,321.636,-675.413,682.825,89.753,-39.058,12.297
0.439,-45.083,-102.943,-70.798,-6.031,57.224,-141.065,321.639,-675.413,682.822,89.753,-39.058,12.297
0.449,-45.082,-102.943,-70.798,-6.031,57.224,-141.066,321.641,-675.412,682.823,89.753,-39.058,12.297
0.460,-45.082,-102.943,-70.798,-6.031,57.224,-141.065,321.651,-675.409,682.819,89.754,-39.058,12.297
0.471,-45.081,-102.943,-70.798,-6.031,57.224,-141.066,321.657,-675.406,682.819,89.754,-39.057,12.298
0.479,-45.080,-102.943,-70.799,-6.032,57.224,-141.066,321.671,-675.404,682.811,89.755,-39.057,12.298
0.488,-45.079,-102.943,-70.798,-6.032,57.224,-141.065,321.687,-675.397,682.813,89.755,-39.057,12.299
0.499,-45.078,-102.944,-70.798,-6.032,57.224,-141.065,321.699,-675.393,682.808,89.756,-39.057,12.300
0.510,-45.075,-102.944,-70.798,-6.032,57.224,-141.066,321.738,-675.383,682.800,89.756,-39.056,12.302
0.520,-45.071,-102.945,-70.798,-6.033,57.224,-141.065,321.790,-675.362,682.799,89.757,-39.056,12.306
0.530,-45.069,-102.945,-70.797,-6.034,57.224,-141.065,321.821,-675.353,682.790,89.758,-39.055,12.308
0.543,-45.067,-102.949,-70.799,-6.035,57.224,-141.066,321.872,-675.374,682.722,89.765,-39.052,12.305
0.560,-45.070,-102.959,-70.801,-6.037,57.224,-141.065,321.904,-675.459,682.577,89.780,-39.045,12.293
0.562,-45.072,-102.968,-70.802,-6.040,57.224,-141.065,321.947,-675.536,682.441,89.794,-39.038,12.282
0.571,-45.079,-102.998,-70.810,-6.050,57.216,-141.066,322.052,-675.804,681.953,89.846,-39.011,12.234
0.583,-45.105,-103.050,-70.853,-6.102,57.152,-141.078,321.924,-676.480,680.644,90.006,-38.919,12.043
0.591,-45.135,-103.096,-70.902,-6.160,57.076,-141.093,321.659,-677.158,679.342,90.171,-38.821,11.834
0.600,-45.235,-103.233,-71.067,-6.343,56.821,-141.140,320.653,-679.288,675.205,90.688,-38.506,11.156
0.612,-45.426,-103.416,-71.349,-6.576,56.432,-141.186,318.446,-682.521,669.066,91.420,-38.063,10.124
0.620,-45.559,-103.522,-71.532,-6.698,56.201,-141.200,316.854,-684.510,665.366,91.842,-37.811,9.499
0.629,-45.889,-103.724,-71.999,-6.934,55.678,-141.203,312.655,-688.865,657.023,92.758,-37.266,8.090
0.639,-46.291,-103.895,-72.576,-7.161,55.137,-141.198,307.296,-693.414,647.971,93.714,-36.667,6.572
0.651,-46.502,-103.969,-72.882,-7.255,54.882,-141.196,304.451,-695.610,643.464,94.171,-36.367,5.835
