t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.127,-102.908,-70.802,-6.028,57.228,-141.072,320.897,-675.430,683.228,89.716,-39.070,12.280
0.013,-45.127,-102.908,-70.802,-6.028,57.228,-141.072,320.897,-675.430,683.226,89.716,-39.070,12.279
0.025,-45.127,-102.908,-70.802,-6.028,57.228,-141.072,320.898,-675.431,683.223,89.716,-39.070,12.279
0.034,-45.127,-102.908,-70.802,-6.028,57.228,-141.072,320.900,-675.433,683.221,89.717,-39.070,12.279
0.043,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.899,-675.435,683.219,89.717,-39.070,12.279
0.053,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.901,-675.434,683.218,89.717,-39.070,12.279
0.063,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.899,-675.435,683.218,89.717,-39.069,12.279
0.073,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.899,-675.435,683.219,89.717,-39.069,12.279
0.083,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.901,-675.437,683.215,89.717,-39.069,12.279
0.093,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.903,-675.436,683.215,89.717,-39.069,12.279
0.103,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.901,-675.437,683.215,89.717,-39.069,12.279
0.116,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.900,-675.436,683.218,89.717,-39.070,12.279
0.123,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.901,-675.438,683.213,89.717,-39.069,12.278
0.133,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.902,-675.435,683.215,89.717,-39.069,12.279
0.142,-45.128,-102.909,-70.802,-6.028,57.228,-141.072,320.897,-675.436,683.217,89.717,-39.069,12.279
0.153,-45.127,-102.909,-70.802,-6.028,57.228,-141.072,320.898,-675.435,683.220,89.717,-39.070,12.279
0.163,-45.127,-102.908,-70.802,-6.028,57.228,-141.072,320.898,-675.432,683.222,89.716,-39.070,12.279
