t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.126,-102.915,-70.801,-6.031,57.231,-141.018,320.990,-675.468,683.125,89.727,-39.118,12.277
0.012,-45.126,-102.915,-70.802,-6.031,57.231,-141.018,320.989,-675.470,683.122,89.727,-39.118,12.276
0.023,-45.126,-102.915,-70.802,-6.031,57.231,-141.018,320.989,-675.470,683.122,89.727,-39.118,12.276
0.032,-45.126,-102.916,-70.802,-6.031,57.231,-141.018,320.991,-675.472,683.117,89.728,-39.118,12.276
0.041,-45.126,-102.916,-70.802,-6.032,57.230,-141.018,320.994,-675.474,683.111,89.728,-39.118,12.275
0.052,-45.126,-102.916,-70.802,-6.031,57.231,-141.018,320.994,-675.476,683.110,89.728,-39.117,12.276
0.062,-45.126,-102.916,-70.802,-6.032,57.231,-141.017,320.996,-675.477,683.105,89.729,-39.118,12.275
0.072,-45.126,-102.916,-70.802,-6.032,57.231,-141.018,320.997,-675.479,683.101,89.729,-39.117,12.275
0.082,-45.126,-102.916,-70.802,-6.032,57.231,-141.018,320.997,-675.477,683.106,89.729,-39.117,12.275
0.092,-45.126,-102.916,-70.802,-6.032,57.231,-141.018,320.998,-675.478,683.105,89.729,-39.117,12.275
0.102,-45.126,-102.916,-70.802,-6.032,57.231,-141.018,320.999,-675.476,683.107,89.729,-39.118,12.276
0.112,-45.126,-102.916,-70.802,-6.032,57.231,-141.018,320.993,-675.475,683.111,89.728,-39.118,12.276
0.122,-45.126,-102.916,-70.801,-6.032,57.229,-141.018,320.988,-675.473,683.117,89.728,-39.118,12.275
0.131,-45.126,-102.915,-70.801,-6.032,57.228,-141.018,320.979,-675.470,683.124,89.727,-39.118,12.274
0.141,-45.126,-102.915,-70.801,-6.031,57.227,-141.018,320.976,-675.468,683.129,89.726,-39.118,12.274
0.152,-45.126,-102.915,-70.801,-6.032,57.227,-141.018,320.967,-675.467,683.138,89.726,-39.119,12.273
0.161,-45.126,-102.915,-70.801,-6.031,57.225,-141.021,320.957,-675.469,683.138,89.726,-39.116,12.271
0.171,-45.126,-102.914,-70.801,-6.031,57.224,-141.023,320.951,-675.466,683.143,89.725,-39.114,12.271
0.182,-45.126,-102.914,-70.801,-6.031,57.222,-141.030,320.936,-675.469,683.145,89.725,-39.107,12.269
0.192,-45.126,-102.914,-70.801,-6.031,57.221,-141.043,320.931,-675.471,683.145,89.725,-39.094,12.268
0.202,-45.126,-102.914,-70.801,-6.031,57.221,-141.049,320.932,-675.471,683.146,89.725,-39.088,12.268
0.212,-45.126,-102.914,-70.801,-6.032,57.221,-141.055,320.931,-675.472,683.139,89.726,-39.081,12.268
0.222,-45.126,-102.915,-70.801,-6.032,57.221,-141.055,320.933,-675.474,683.136,89.726,-39.081,12.268
0.231,-45.126,-102.915,-70.801,-6.032,57.221,-141.056,320.933,-675.477,683.131,89.727,-39.080,12.267
0.241,-45.126,-102.915,-70.801,-6.032,57.221,-141.056,320.937,-675.478,683.130,89.727,-39.080,12.267
0.251,-45.126,-102.915,-70.801,-6.032,57.222,-141.056,320.939,-675.479,683.126,89.727,-39.080,12.267
0.261,-45.126,-102.916,-70.801,-6.032,57.221,-141.056,320.943,-675.483,683.119,89.728,-39.079,12.266
0.272,-45.126,-102.916,-70.802,-6.032,57.221,-141.056,320.944,-675.487,683.111,89.729,-39.079,12.266
0.281,-45.126,-102.916,-70.802,-6.032,57.221,-141.056,320.946,-675.488,683.106,89.730,-39.079,12.265
0.291,-45.126,-102.916,-70.802,-6.032,57.221,-141.056,320.946,-675.488,683.106,89.730,-39.079,12.265
0.302,-45.126,-102.916,-70.802,-6.032,57.221,-141.056,320.943,-675.489,683.108,89.730,-39.078,12.265
0.312,-45.126,-102.916,-70.802,-6.032,57.221,-141.056,320.944,-675.486,683.109,89.729,-39.079,12.265
0.321,-45.126,-102.916,-70.802,-6.032,57.220,-141.056,320.940,-675.487,683.110,89.729,-39.079,12.265
0.332,-45.126,-102.916,-70.802,-6.032,57.220,-141.056,320.939,-675.485,683.114,89.729,-39.079,12.265
0.341,-45.126,-102.916,-70.802,-6.032,57.220,-141.056,320.939,-675.485,683.114,89.729,-39.079,12.265
0.352,-45.126,-102.916,-70.802,-6.032,57.220,-141.056,320.938,-675.484,683.117,89.729,-39.079,12.265
