t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.008,-45.129,-102.895,-70.801,-5.960,57.242,-141.003,320.794,-675.265,683.649,89.627,-39.183,12.348
0.018,-45.129,-102.895,-70.801,-5.960,57.242,-141.003,320.799,-675.266,683.643,89.627,-39.183,12.348
0.028,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.798,-675.269,683.639,89.628,-39.182,12.347
0.038,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.801,-675.269,683.638,89.628,-39.182,12.347
0.048,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.802,-675.270,683.636,89.628,-39.183,12.347
0.058,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.804,-675.271,683.634,89.628,-39.183,12.347
0.067,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.802,-675.270,683.636,89.628,-39.183,12.347
0.078,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.803,-675.271,683.633,89.628,-39.182,12.347
0.088,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.800,-675.271,683.635,89.628,-39.182,12.347
0.098,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.802,-675.273,683.632,89.628,-39.182,12.347
0.108,-45.130,-102.896,-70.801,-5.960,57.242,-141.003,320.798,-675.272,683.637,89.628,-39.182,12.347
0.118,-45.129,-102.896,-70.801,-5.960,57.242,-141.003,320.799,-675.270,683.639,89.628,-39.182,12.347
0.128,-45.130,-102.896,-70.801,-5.960,57.242,-141.003,320.798,-675.271,683.638,89.628,-39.182,12.347
0.138,-45.129,-102.895,-70.801,-5.960,57.242,-141.003,320.797,-675.266,683.645,89.627,-39.183,12.347
0.148,-45.129,-102.895,-70.800,-5.960,57.242,-141.003,320.796,-675.263,683.652,89.626,-39.183,12.348
0.158,-45.129,-102.895,-70.800,-5.960,57.242,-141.003,320.795,-675.266,683.649,89.627,-39.183,12.348
0.168,-45.129,-102.895,-70.801,-5.960,57.241,-141.003,320.792,-675.265,683.650,89.627,-39.183,12.347
0.178,-45.130,-102.895,-70.801,-5.960,57.241,-141.003,320.787,-675.268,683.648,89.627,-39.183,12.347
0.188,-45.130,-102.895,-70.801,-5.960,57.241,-141.003,320.783,-675.268,683.650,89.627,-39.183,12.346
0.197,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.781,-675.269,683.648,89.627,-39.183,12.346
0.208,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.785,-675.271,683.643,89.628,-39.183,12.346
0.218,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.783,-675.271,683.645,89.627,-39.183,12.346
0.228,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.782,-675.270,683.647,89.627,-39.183,12.346
0.238,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.783,-675.271,683.645,89.627,-39.183,12.346
0.248,-45.130,-102.895,-70.801,-5.960,57.241,-141.002,320.783,-675.271,683.645,89.627,-39.183,12.346
0.258,-45.130,-102.895,-70.801,-5.960,57.241,-141.003,320.787,-675.271,683.645,89.627,-39.183,12.346
0.268,-45.130,-102.896,-70.801,-5.960,57.241,-141.002,320.789,-675.272,683.643,89.627,-39.183,12.346
0.278,-45.130,-102.896,-70.801,-5.960,57.241,-141.002,320.791,-675.273,683.639,89.628,-39.183,12.346
0.287,-45.130,-102.896,-70.801,-5.960,57.241,-141.002,320.797,-675.273,683.635,89.628,-39.183,12.346
0.298,-45.130,-102.896,-70.801,-5.960,57.242,-141.002,320.797,-675.272,683.638,89.628,-39.183,12.347
0.308,-45.129,-102.896,-70.801,-5.960,57.241,-141.002,320.799,-675.272,683.634,89.628,-39.183,12.346
0.318,-45.129,-102.896,-70.801,-5.960,57.241,-141.002,320.802,-675.272,683.632,89.628,-39.182,12.346
0.329,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.805,-675.267,683.639,89.628,-39.183,12.347
0.338,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.806,-675.268,683.635,89.628,-39.182,12.347
0.348,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.806,-675.267,683.638,89.628,-39.183,12.348
0.358,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.803,-675.265,683.643,89.627,-39.183,12.348
0.368,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.805,-675.266,683.638,89.628,-39.183,12.348
0.378,-45.128,-102.896,-70.802,-5.961,57.242,-141.002,320.817,-675.266,683.623,89.630,-39.182,12.347
0.387,-45.129,-102.896,-70.801,-5.961,57.242,-141.002,320.813,-675.270,683.626,89.629,-39.182,12.347
0.397,-45.129,-102.896,-70.802,-5.961,57.242,-141.002,320.812,-675.269,683.621,89.630,-39.182,12.347
0.408,-45.129,-102.896,-70.802,-5.961,57.242,-141.002,320.807,-675.276,683.620,89.630,-39.182,12.346
0.418,-45.129,-102.896,-70.802,-5.961,57.242,-141.002,320.807,-675.272,683.622,89.630,-39.182,12.346
0.428,-45.129,-102.896,-70.801,-5.960,57.242,-141.002,320.803,-675.271,683.632,89.628,-39.183,12.347
0.438,-45.131,-102.897,-70.805,-5.960,57.243,-141.002,320.800,-675.289,683.585,89.633,-39.181,12.344
0.448,-45.134,-102.900,-70.805,-5.960,57.242,-141.002,320.784,-675.327,683.546,89.636,-39.179,12.338
0.458,-45.137,-102.900,-70.806,-5.959,57.242,-141.002,320.745,-675.342,683.548,89.635,-39.179,12.335
0.468,-45.144,-102.900,-70.805,-5.959,57.242,-141.003,320.660,-675.387,683.542,89.636,-39.178,12.327
0.478,-45.154,-102.900,-70.808,-5.960,57.241,-141.002,320.546,-675.452,683.508,89.640,-39.177,12.314
0.488,-45.160,-102.900,-70.807,-5.960,57.241,-141.002,320.478,-675.483,683.514,89.639,-39.177,12.309
0.497,-45.172,-102.901,-70.807,-5.960,57.239,-141.002,320.328,-675.554,683.516,89.639,-39.177,12.295
0.508,-45.189,-102.903,-70.807,-5.959,57.236,-141.002,320.131,-675.668,683.484,89.642,-39.176,12.273
0.518,-45.198,-102.905,-70.806,-5.959,57.235,-141.002,320.027,-675.725,683.479,89.641,-39.176,12.263
0.528,-45.207,-102.905,-70.804,-5.957,57.231,-141.002,319.892,-675.776,683.511,89.637,-39.179,12.252
0.537,-45.216,-102.905,-70.802,-5.953,57.227,-141.002,319.774,-675.819,683.538,89.631,-39.181,12.244
0.548,-45.221,-102.905,-70.802,-5.949,57.228,-141.002,319.713,-675.845,683.554,89.627,-39.184,12.243
0.558,-45.233,-102.904,-70.797,-5.936,57.230,-141.002,319.547,-675.882,683.670,89.606,-39.194,12.245
0.568,-45.236,-102.902,-70.787,-5.915,57.231,-141.001,319.471,-675.842,683.885,89.570,-39.213,12.267
0.578,-45.233,-102.901,-70.778,-5.900,57.231,-141.001,319.469,-675.788,684.049,89.543,-39.226,12.287
0.588,-45.228,-102.897,-70.752,-5.863,57.231,-141.001,319.418,-675.654,684.513,89.470,-39.262,12.338
0.597,-45.227,-102.889,-70.720,-5.816,57.231,-141.001,319.271,-675.493,685.134,89.374,-39.309,12.399
