t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.887,-675.319,683.409,89.681,-39.164,12.316
0.014,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.889,-675.317,683.410,89.681,-39.164,12.316
0.024,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.885,-675.317,683.414,89.681,-39.164,12.316
0.034,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.887,-675.316,683.414,89.681,-39.164,12.316
0.044,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.888,-675.314,683.417,89.680,-39.164,12.317
0.054,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.886,-675.312,683.420,89.680,-39.164,12.317
0.064,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.886,-675.314,683.418,89.680,-39.164,12.317
0.074,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.887,-675.310,683.423,89.680,-39.164,12.317
0.084,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.887,-675.310,683.422,89.680,-39.164,12.317
0.094,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.888,-675.311,683.420,89.680,-39.164,12.317
0.104,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.888,-675.310,683.421,89.680,-39.164,12.317
0.114,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.887,-675.309,683.425,89.680,-39.165,12.317
0.124,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.311,683.421,89.680,-39.165,12.317
0.134,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.885,-675.311,683.422,89.680,-39.165,12.317
0.144,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.889,-675.313,683.418,89.680,-39.164,12.317
0.154,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.314,683.418,89.680,-39.164,12.316
0.164,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.314,683.418,89.680,-39.164,12.316
0.174,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.885,-675.317,683.414,89.681,-39.164,12.316
0.184,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.886,-675.319,683.409,89.681,-39.164,12.316
0.194,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.887,-675.319,683.410,89.681,-39.164,12.316
0.203,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.887,-675.319,683.410,89.681,-39.164,12.316
0.213,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.888,-675.320,683.407,89.681,-39.164,12.315
0.224,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.891,-675.318,683.408,89.681,-39.164,12.316
0.233,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.889,-675.318,683.410,89.681,-39.164,12.316
0.244,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.888,-675.317,683.412,89.681,-39.164,12.316
0.254,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.889,-675.315,683.414,89.681,-39.164,12.316
0.264,-45.127,-102.897,-70.805,-6.003,57.242,-140.995,320.889,-675.314,683.417,89.680,-39.164,12.317
0.274,-45.127,-102.896,-70.805,-6.003,57.242,-140.994,320.890,-675.313,683.417,89.680,-39.165,12.317
0.284,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.890,-675.311,683.419,89.680,-39.164,12.317
0.294,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.888,-675.310,683.421,89.680,-39.164,12.317
0.304,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.885,-675.311,683.424,89.679,-39.165,12.317
0.313,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.886,-675.311,683.424,89.680,-39.165,12.317
0.324,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.886,-675.311,683.423,89.680,-39.164,12.317
0.333,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.887,-675.310,683.422,89.680,-39.165,12.317
0.344,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.885,-675.311,683.424,89.680,-39.165,12.317
0.353,-45.127,-102.896,-70.806,-6.003,57.242,-140.995,320.884,-675.313,683.418,89.680,-39.164,12.317
0.364,-45.127,-102.896,-70.806,-6.004,57.242,-140.995,320.888,-675.313,683.416,89.681,-39.164,12.316
0.374,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.888,-675.316,683.414,89.681,-39.164,12.316
0.384,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.888,-675.316,683.413,89.681,-39.164,12.316
0.394,-45.127,-102.897,-70.806,-6.003,57.242,-140.995,320.888,-675.316,683.413,89.681,-39.164,12.316
0.404,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.891,-675.316,683.412,89.681,-39.164,12.316
0.414,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.892,-675.320,683.407,89.681,-39.163,12.316
0.424,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.893,-675.318,683.405,89.682,-39.163,12.316
0.434,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.891,-675.316,683.413,89.681,-39.164,12.316
0.444,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.891,-675.316,683.412,89.681,-39.164,12.316
0.453,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.892,-675.316,683.411,89.681,-39.164,12.316
0.464,-45.127,-102.897,-70.805,-6.003,57.242,-140.995,320.894,-675.315,683.413,89.681,-39.164,12.317
0.474,-45.127,-102.897,-70.806,-6.003,57.242,-140.995,320.890,-675.315,683.413,89.681,-39.164,12.317
0.484,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.889,-675.314,683.417,89.680,-39.164,12.317
0.494,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.315,683.418,89.680,-39.164,12.316
0.503,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.886,-675.311,683.423,89.680,-39.164,12.317
0.514,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.882,-675.313,683.424,89.680,-39.164,12.317
0.524,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.884,-675.312,683.421,89.680,-39.165,12.317
0.533,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.885,-675.311,683.424,89.680,-39.164,12.317
0.543,-45.127,-102.896,-70.805,-6.003,57.242,-140.995,320.884,-675.312,683.424,89.680,-39.165,12.317
0.554,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.313,683.422,89.680,-39.164,12.317
0.564,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.885,-675.313,683.420,89.680,-39.165,12.317
0.574,-45.127,-102.896,-70.805,-6.004,57.242,-140.995,320.887,-675.312,683.420,89.680,-39.165,12.317
0.584,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.888,-675.316,683.413,89.681,-39.164,12.316
0.594,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.890,-675.318,683.409,89.681,-39.164,12.316
0.604,-45.127,-102.897,-70.806,-6.004,57.242,-140.995,320.892,-675.316,683.410,89.681,-39.164,12.316
0.614,-45.127,-102.897,-70.805,-6.004,57.242,-140.995,320.889,-675.317,683.411,89.681,-39.164,12.316
0.624,-45.127,-102.897,-70.806,-6.003,57.244,-140.994,320.904,-675.312,683.411,89.681,-39.164,12.318
0.634,-45.126,-102.897,-70.806,-6.003,57.245,-140.994,320.915,-675.306,683.412,89.681,-39.165,12.320
0.644,-45.124,-102.896,-70.805,-6.003,57.246,-140.994,320.945,-675.291,683.420,89.680,-39.165,12.324
0.654,-45.121,-102.895,-70.805,-6.002,57.248,-140.994,320.981,-675.262,683.444,89.677,-39.167,12.332
0.664,-45.118,-102.895,-70.804,-6.001,57.250,-140.994,321.013,-675.242,683.459,89.675,-39.168,12.337
0.674,-45.112,-102.893,-70.804,-5.999,57.253,-140.993,321.088,-675.190,683.488,89.671,-39.170,12.348
0.684,-45.104,-102.892,-70.803,-5.998,57.257,-140.994,321.189,-675.128,683.523,89.667,-39.172,12.363
0.694,-45.100,-102.891,-70.802,-5.997,57.258,-140.994,321.231,-675.098,683.547,89.664,-39.174,12.370
0.704,-45.096,-102.889,-70.801,-5.996,57.261,-140.994,321.270,-675.061,683.583,89.659,-39.176,12.379
0.714,-45.095,-102.887,-70.799,-5.995,57.261,-140.994,321.276,-675.037,683.623,89.655,-39.178,12.384
0.724,-45.093,-102.886,-70.798,-5.994,57.262,-140.994,321.286,-675.018,683.652,89.651,-39.179,12.388
0.734,-45.091,-102.886,-70.794,-5.994,57.262,-140.994,321.304,-674.997,683.701,89.647,-39.182,12.394
0.743,-45.091,-102.886,-70.793,-5.995,57.264,-140.994,321.315,-674.994,683.710,89.646,-39.182,12.396
0.754,-45.091,-102.887,-70.793,-5.995,57.264,-140.994,321.320,-674.998,683.699,89.647,-39.182,12.396
0.764,-45.092,-102.889,-70.795,-5.995,57.264,-140.994,321.323,-675.018,683.660,89.651,-39.180,12.392
