t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.858,-675.429,683.226,89.696,-39.142,12.293
0.012,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.860,-675.429,683.223,89.697,-39.142,12.293
0.021,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.860,-675.430,683.224,89.697,-39.142,12.293
0.032,-45.133,-102.907,-70.813,-6.001,57.234,-141.010,320.860,-675.430,683.223,89.697,-39.141,12.293
0.042,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.429,683.223,89.697,-39.142,12.293
0.051,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.861,-675.431,683.222,89.697,-39.142,12.293
0.062,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.860,-675.430,683.223,89.697,-39.142,12.293
0.071,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.860,-675.430,683.223,89.697,-39.142,12.293
0.082,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.860,-675.434,683.217,89.697,-39.141,12.292
0.092,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.864,-675.433,683.216,89.698,-39.141,12.292
0.102,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.864,-675.433,683.215,89.698,-39.141,12.292
0.111,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.865,-675.434,683.214,89.698,-39.141,12.292
0.122,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.865,-675.434,683.214,89.698,-39.141,12.292
0.132,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.863,-675.434,683.216,89.697,-39.141,12.292
0.142,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.431,683.221,89.697,-39.142,12.293
0.152,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.862,-675.431,683.223,89.697,-39.142,12.293
0.162,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.864,-675.430,683.222,89.697,-39.142,12.293
0.172,-45.133,-102.907,-70.812,-6.001,57.235,-141.009,320.860,-675.429,683.227,89.696,-39.142,12.293
0.182,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.858,-675.428,683.228,89.696,-39.142,12.293
0.192,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.858,-675.427,683.229,89.696,-39.142,12.293
0.202,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.861,-675.428,683.224,89.697,-39.142,12.293
0.212,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.859,-675.429,683.224,89.697,-39.142,12.293
0.222,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.861,-675.428,683.224,89.697,-39.142,12.293
0.232,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.861,-675.427,683.227,89.696,-39.142,12.293
0.242,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.858,-675.429,683.227,89.696,-39.142,12.293
0.252,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.860,-675.430,683.224,89.697,-39.142,12.293
0.262,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.862,-675.429,683.223,89.697,-39.142,12.293
0.272,-45.133,-102.907,-70.813,-6.001,57.234,-141.010,320.859,-675.433,683.220,89.697,-39.141,12.292
0.281,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.862,-675.433,683.217,89.697,-39.141,12.292
0.292,-45.133,-102.907,-70.813,-6.001,57.234,-141.010,320.862,-675.433,683.217,89.697,-39.141,12.292
0.302,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.867,-675.433,683.214,89.698,-39.141,12.293
0.311,-45.133,-102.907,-70.813,-6.001,57.234,-141.010,320.863,-675.433,683.216,89.698,-39.141,12.292
0.322,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.865,-675.434,683.214,89.698,-39.141,12.292
0.332,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.859,-675.432,683.221,89.697,-39.142,12.292
0.342,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.865,-675.432,683.218,89.697,-39.141,12.293
0.352,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.865,-675.431,683.219,89.697,-39.142,12.293
0.362,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.863,-675.430,683.221,89.697,-39.142,12.293
0.372,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.862,-675.431,683.222,89.697,-39.142,12.293
0.382,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.429,683.221,89.697,-39.141,12.293
0.392,-45.133,-102.907,-70.813,-6.001,57.235,-141.010,320.863,-675.429,683.224,89.697,-39.141,12.293
0.402,-45.133,-102.906,-70.813,-6.001,57.234,-141.009,320.861,-675.428,683.225,89.697,-39.142,12.293
0.411,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.860,-675.429,683.225,89.697,-39.142,12.293
0.422,-45.133,-102.906,-70.813,-6.001,57.234,-141.010,320.860,-675.428,683.227,89.696,-39.142,12.293
0.433,-45.133,-102.907,-70.812,-6.001,57.235,-141.009,320.860,-675.430,683.226,89.697,-39.142,12.293
0.442,-45.133,-102.906,-70.812,-6.001,57.234,-141.009,320.859,-675.426,683.231,89.696,-39.142,12.293
0.451,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.859,-675.430,683.224,89.697,-39.142,12.292
0.462,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.860,-675.430,683.225,89.697,-39.142,12.293
0.472,-45.133,-102.907,-70.813,-6.001,57.234,-141.010,320.860,-675.431,683.221,89.697,-39.141,12.293
0.481,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.862,-675.431,683.220,89.697,-39.141,12.293
0.492,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.433,683.217,89.697,-39.141,12.293
0.502,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.433,683.217,89.697,-39.141,12.293
0.512,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.433,683.217,89.697,-39.141,12.293
0.522,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.864,-675.435,683.212,89.698,-39.141,12.292
0.532,-45.133,-102.907,-70.813,-6.001,57.235,-141.010,320.865,-675.434,683.214,89.698,-39.141,12.292
0.542,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.865,-675.433,683.216,89.698,-39.142,12.293
0.552,-45.133,-102.907,-70.813,-6.001,57.234,-141.009,320.865,-675.432,683.218,89.697,-39.141,12.293
0.562,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.866,-675.431,683.219,89.697,-39.142,12.293
0.572,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.862,-675.431,683.221,89.697,-39.142,12.293
0.583,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.863,-675.429,683.222,89.697,-39.142,12.293
0.592,-45.133,-102.907,-70.813,-6.001,57.235,-141.009,320.864,-675.429,683.224,89.697,-39.142,12.294
0.602,-45.133,-102.906,-70.813,-6.001,57.235,-141.009,320.862,-675.428,683.224,89.697,-39.142,12.293
0.612,-45.133,-102.906,-70.814,-6.004,57.232,-141.010,320.852,-675.434,683.209,89.700,-39.139,12.288
0.622,-45.137,-102.908,-70.827,-6.022,57.216,-141.012,320.787,-675.525,682.968,89.737,-39.119,12.245
0.632,-45.148,-102.919,-70.865,-6.058,57.178,-141.015,320.651,-675.786,682.301,89.829,-39.071,12.138
0.642,-45.158,-102.925,-70.896,-6.084,57.147,-141.016,320.500,-675.990,681.798,89.897,-39.035,12.053
0.652,-45.189,-102.949,-70.984,-6.146,57.072,-141.014,320.159,-676.586,680.335,90.084,-38.943,11.830
0.662,-45.218,-102.973,-71.071,-6.192,57.016,-141.012,319.918,-677.140,678.928,90.254,-38.859,11.639
0.672,-45.230,-102.982,-71.118,-6.212,56.994,-141.013,319.826,-677.380,678.237,90.336,-38.817,11.554
