t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.009,-45.127,-102.895,-70.806,-6.005,57.236,-141.016,320.850,-675.307,683.431,89.680,-39.144,12.311
0.019,-45.126,-102.894,-70.806,-6.005,57.236,-141.015,320.851,-675.304,683.432,89.681,-39.144,12.311
0.028,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.848,-675.306,683.432,89.681,-39.144,12.310
0.038,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.846,-675.304,683.437,89.680,-39.144,12.311
0.049,-45.127,-102.894,-70.806,-6.005,57.236,-141.016,320.847,-675.303,683.437,89.680,-39.144,12.311
0.059,-45.127,-102.894,-70.806,-6.005,57.236,-141.016,320.845,-675.305,683.436,89.680,-39.144,12.311
0.068,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.846,-675.304,683.438,89.680,-39.144,12.311
0.079,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.845,-675.305,683.435,89.680,-39.144,12.311
0.088,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.845,-675.304,683.437,89.680,-39.144,12.311
0.099,-45.127,-102.894,-70.806,-6.005,57.236,-141.016,320.844,-675.307,683.432,89.681,-39.143,12.310
0.109,-45.127,-102.895,-70.806,-6.005,57.236,-141.016,320.847,-675.307,683.433,89.680,-39.144,12.311
0.119,-45.127,-102.894,-70.806,-6.005,57.236,-141.015,320.843,-675.307,683.434,89.680,-39.144,12.310
0.129,-45.127,-102.895,-70.806,-6.005,57.236,-141.015,320.847,-675.307,683.431,89.680,-39.144,12.311
0.139,-45.127,-102.895,-70.806,-6.004,57.236,-141.015,320.850,-675.309,683.427,89.681,-39.144,12.311
0.148,-45.127,-102.895,-70.806,-6.004,57.236,-141.015,320.848,-675.308,683.430,89.680,-39.144,12.311
0.159,-45.127,-102.895,-70.806,-6.004,57.236,-141.015,320.852,-675.308,683.427,89.681,-39.144,12.311
