t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.133,-102.903,-70.809,-5.962,57.242,-141.000,320.816,-675.357,683.454,89.646,-39.176,12.331
0.014,-45.133,-102.903,-70.809,-5.962,57.242,-141.000,320.826,-675.354,683.452,89.646,-39.176,12.332
0.024,-45.132,-102.903,-70.809,-5.962,57.242,-141.000,320.836,-675.349,683.454,89.646,-39.176,12.333
0.033,-45.131,-102.903,-70.808,-5.962,57.242,-141.000,320.842,-675.345,683.457,89.646,-39.175,12.333
0.044,-45.130,-102.903,-70.808,-5.962,57.242,-141.000,320.857,-675.338,683.457,89.646,-39.176,12.335
0.053,-45.129,-102.904,-70.808,-5.962,57.242,-141.000,320.868,-675.333,683.459,89.646,-39.176,12.336
0.065,-45.129,-102.904,-70.808,-5.962,57.242,-141.000,320.873,-675.331,683.459,89.646,-39.176,12.336
0.074,-45.128,-102.904,-70.808,-5.962,57.241,-141.000,320.883,-675.331,683.452,89.647,-39.176,12.336
0.083,-45.128,-102.904,-70.808,-5.962,57.242,-141.000,320.888,-675.331,683.450,89.647,-39.176,12.336
0.093,-45.128,-102.904,-70.808,-5.962,57.242,-141.000,320.889,-675.331,683.450,89.647,-39.176,12.336
0.105,-45.128,-102.904,-70.808,-5.962,57.241,-141.000,320.883,-675.334,683.448,89.647,-39.175,12.336
0.114,-45.129,-102.904,-70.808,-5.962,57.242,-141.000,320.877,-675.335,683.451,89.647,-39.176,12.336
0.124,-45.129,-102.904,-70.808,-5.962,57.241,-141.000,320.872,-675.338,683.449,89.647,-39.176,12.335
0.134,-45.131,-102.904,-70.808,-5.962,57.241,-141.000,320.851,-675.343,683.457,89.646,-39.176,12.334
0.143,-45.132,-102.903,-70.808,-5.962,57.241,-141.000,320.828,-675.348,683.465,89.645,-39.176,12.332
0.154,-45.133,-102.903,-70.808,-5.962,57.241,-141.000,320.818,-675.351,683.466,89.645,-39.176,12.332
0.163,-45.134,-102.903,-70.808,-5.962,57.240,-141.000,320.797,-675.356,683.472,89.645,-39.176,12.330
0.173,-45.135,-102.902,-70.808,-5.962,57.240,-141.000,320.781,-675.358,683.481,89.644,-39.177,12.330
0.183,-45.135,-102.902,-70.808,-5.962,57.240,-141.000,320.776,-675.360,683.482,89.644,-39.177,12.329
0.193,-45.135,-102.902,-70.808,-5.962,57.240,-141.000,320.774,-675.359,683.481,89.644,-39.177,12.329
0.203,-45.135,-102.902,-70.808,-5.962,57.240,-141.000,320.781,-675.359,683.475,89.644,-39.177,12.329
0.213,-45.135,-102.902,-70.808,-5.962,57.240,-141.000,320.783,-675.359,683.473,89.645,-39.177,12.329
0.223,-45.134,-102.903,-70.808,-5.962,57.240,-141.000,320.798,-675.357,683.466,89.645,-39.176,12.329
0.234,-45.133,-102.903,-70.809,-5.962,57.240,-141.000,320.817,-675.353,683.459,89.646,-39.176,12.331
0.244,-45.132,-102.903,-70.809,-5.962,57.241,-141.000,320.828,-675.350,683.454,89.647,-39.176,12.331
