t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.131,-102.900,-70.828,-6.002,57.236,-141.010,320.868,-675.398,683.142,89.707,-39.136,12.289
0.013,-45.131,-102.900,-70.828,-6.002,57.236,-141.009,320.871,-675.397,683.142,89.707,-39.137,12.290
0.025,-45.131,-102.900,-70.827,-6.002,57.236,-141.009,320.870,-675.398,683.145,89.707,-39.137,12.290
0.034,-45.130,-102.900,-70.828,-6.002,57.236,-141.009,320.873,-675.396,683.143,89.707,-39.137,12.290
0.043,-45.130,-102.900,-70.828,-6.002,57.236,-141.009,320.878,-675.399,683.136,89.708,-39.136,12.290
0.054,-45.131,-102.901,-70.828,-6.002,57.236,-141.009,320.876,-675.401,683.134,89.708,-39.136,12.289
0.064,-45.131,-102.901,-70.828,-6.002,57.236,-141.009,320.877,-675.402,683.131,89.708,-39.136,12.289
0.074,-45.130,-102.901,-70.828,-6.002,57.236,-141.009,320.882,-675.403,683.127,89.709,-39.136,12.289
0.084,-45.130,-102.901,-70.828,-6.003,57.236,-141.009,320.883,-675.404,683.123,89.709,-39.135,12.289
0.094,-45.130,-102.902,-70.828,-6.002,57.236,-141.009,320.885,-675.408,683.116,89.710,-39.135,12.288
0.103,-45.130,-102.902,-70.828,-6.002,57.236,-141.009,320.885,-675.408,683.116,89.709,-39.135,12.288
0.114,-45.130,-102.902,-70.828,-6.002,57.236,-141.010,320.884,-675.408,683.116,89.710,-39.135,12.288
0.122,-45.131,-102.902,-70.828,-6.002,57.235,-141.009,320.880,-675.411,683.112,89.710,-39.135,12.287
0.134,-45.131,-102.902,-70.829,-6.002,57.236,-141.010,320.879,-675.412,683.112,89.710,-39.134,12.287
0.144,-45.131,-102.901,-70.828,-6.002,57.236,-141.010,320.877,-675.409,683.119,89.709,-39.135,12.288
0.153,-45.131,-102.901,-70.828,-6.002,57.236,-141.010,320.872,-675.406,683.128,89.708,-39.136,12.289
0.164,-45.131,-102.901,-70.828,-6.002,57.236,-141.009,320.873,-675.404,683.130,89.708,-39.136,12.289
0.174,-45.131,-102.900,-70.828,-6.002,57.236,-141.009,320.868,-675.400,683.141,89.707,-39.137,12.289
0.184,-45.131,-102.900,-70.827,-6.002,57.236,-141.009,320.864,-675.395,683.152,89.706,-39.137,12.290
0.194,-45.131,-102.900,-70.827,-6.002,57.236,-141.009,320.861,-675.396,683.153,89.706,-39.137,12.290
0.204,-45.131,-102.899,-70.827,-6.002,57.236,-141.010,320.859,-675.394,683.156,89.706,-39.136,12.290
0.214,-45.131,-102.900,-70.828,-6.002,57.236,-141.010,320.863,-675.397,683.147,89.706,-39.137,12.290
0.223,-45.131,-102.900,-70.828,-6.002,57.236,-141.009,320.869,-675.396,683.145,89.707,-39.137,12.290
0.234,-45.131,-102.900,-70.828,-6.002,57.236,-141.009,320.872,-675.400,683.136,89.707,-39.136,12.289
0.244,-45.130,-102.901,-70.828,-6.002,57.236,-141.009,320.879,-675.401,683.129,89.708,-39.136,12.289
0.254,-45.130,-102.901,-70.828,-6.002,57.236,-141.009,320.882,-675.404,683.122,89.709,-39.136,12.289
0.264,-45.130,-102.902,-70.828,-6.002,57.236,-141.009,320.886,-675.407,683.116,89.709,-39.136,12.289
0.274,-45.131,-102.902,-70.829,-6.002,57.236,-141.010,320.885,-675.412,683.109,89.710,-39.135,12.288
0.284,-45.130,-102.902,-70.829,-6.002,57.236,-141.009,320.889,-675.412,683.106,89.710,-39.135,12.288
0.294,-45.130,-102.902,-70.829,-6.002,57.236,-141.009,320.892,-675.414,683.101,89.711,-39.135,12.288
0.304,-45.130,-102.903,-70.829,-6.002,57.236,-141.009,320.895,-675.417,683.096,89.712,-39.135,12.287
0.314,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.891,-675.417,683.097,89.711,-39.135,12.287
0.325,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.895,-675.421,683.089,89.712,-39.135,12.287
0.334,-45.131,-102.904,-70.829,-6.002,57.236,-141.009,320.898,-675.425,683.077,89.713,-39.134,12.286
0.343,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.895,-675.424,683.082,89.713,-39.134,12.286
0.354,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.889,-675.424,683.085,89.712,-39.134,12.286
0.363,-45.131,-102.903,-70.830,-6.002,57.236,-141.009,320.892,-675.424,683.080,89.713,-39.134,12.286
0.374,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.890,-675.421,683.088,89.712,-39.134,12.286
0.383,-45.131,-102.902,-70.829,-6.002,57.236,-141.009,320.884,-675.419,683.096,89.711,-39.135,12.286
0.394,-45.131,-102.902,-70.829,-6.002,57.236,-141.009,320.885,-675.417,683.100,89.711,-39.134,12.287
0.403,-45.131,-102.902,-70.829,-6.002,57.236,-141.009,320.886,-675.415,683.100,89.711,-39.135,12.287
0.414,-45.131,-102.902,-70.829,-6.002,57.236,-141.009,320.888,-675.413,683.101,89.711,-39.135,12.287
0.424,-45.131,-102.902,-70.829,-6.002,57.236,-141.008,320.886,-675.414,683.101,89.711,-39.136,12.287
0.433,-45.131,-102.902,-70.829,-6.002,57.236,-141.009,320.887,-675.416,683.099,89.711,-39.135,12.287
0.444,-45.131,-102.903,-70.829,-6.002,57.236,-141.009,320.892,-675.418,683.091,89.712,-39.134,12.287
0.455,-45.130,-102.903,-70.829,-6.002,57.236,-141.009,320.898,-675.417,683.088,89.712,-39.134,12.287
0.463,-45.130,-102.903,-70.829,-6.002,57.236,-141.009,320.899,-675.418,683.089,89.712,-39.134,12.287
0.474,-45.130,-102.903,-70.829,-6.002,57.236,-141.009,320.898,-675.420,683.087,89.712,-39.134,12.287
0.482,-45.130,-102.903,-70.829,-6.002,57.236,-141.009,320.897,-675.420,683.089,89.712,-39.135,12.287
0.493,-45.131,-102.903,-70.829,-6.001,57.235,-141.009,320.893,-675.422,683.088,89.711,-39.135,12.286
0.502,-45.131,-102.904,-70.829,-5.981,57.235,-141.009,320.871,-675.407,683.155,89.691,-39.146,12.299
