t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.129,-102.897,-70.807,-6.001,57.238,-141.019,320.840,-675.332,683.406,89.680,-39.141,12.310
0.016,-45.129,-102.896,-70.807,-6.001,57.238,-141.018,320.837,-675.331,683.408,89.680,-39.141,12.310
0.027,-45.130,-102.897,-70.807,-6.001,57.238,-141.018,320.832,-675.335,683.407,89.680,-39.141,12.310
0.037,-45.130,-102.896,-70.807,-6.001,57.237,-141.018,320.828,-675.335,683.408,89.680,-39.141,12.309
0.047,-45.130,-102.896,-70.807,-6.001,57.238,-141.017,320.823,-675.338,683.406,89.680,-39.142,12.309
0.057,-45.131,-102.896,-70.807,-6.001,57.238,-141.017,320.819,-675.339,683.409,89.680,-39.142,12.309
0.067,-45.131,-102.897,-70.807,-6.001,57.238,-141.017,320.814,-675.344,683.406,89.680,-39.142,12.308
0.077,-45.132,-102.897,-70.807,-6.001,57.237,-141.018,320.806,-675.347,683.406,89.680,-39.142,12.307
0.087,-45.132,-102.897,-70.807,-6.001,57.238,-141.018,320.806,-675.352,683.400,89.681,-39.141,12.307
0.097,-45.132,-102.897,-70.808,-6.001,57.238,-141.017,320.809,-675.352,683.395,89.681,-39.141,12.307
0.107,-45.132,-102.898,-70.808,-6.001,57.237,-141.018,320.811,-675.355,683.390,89.682,-39.141,12.306
0.117,-45.132,-102.898,-70.808,-6.001,57.238,-141.017,320.817,-675.353,683.388,89.682,-39.141,12.306
0.127,-45.131,-102.898,-70.808,-6.001,57.237,-141.017,320.822,-675.354,683.386,89.682,-39.141,12.306
0.137,-45.131,-102.898,-70.808,-6.002,57.238,-141.018,320.829,-675.353,683.383,89.683,-39.140,12.307
0.147,-45.131,-102.898,-70.808,-6.002,57.237,-141.018,320.829,-675.348,683.387,89.682,-39.141,12.307
0.157,-45.130,-102.898,-70.807,-6.002,57.237,-141.018,320.831,-675.347,683.389,89.682,-39.140,12.307
0.166,-45.130,-102.898,-70.808,-6.002,57.238,-141.017,320.837,-675.345,683.385,89.682,-39.141,12.308
0.177,-45.130,-102.898,-70.808,-6.001,57.238,-141.017,320.837,-675.343,683.391,89.682,-39.141,12.309
0.187,-45.130,-102.897,-70.808,-6.001,57.237,-141.017,320.838,-675.341,683.392,89.682,-39.141,12.308
0.197,-45.130,-102.897,-70.807,-6.001,57.237,-141.018,320.833,-675.339,683.399,89.681,-39.141,12.309
0.207,-45.130,-102.896,-70.807,-6.001,57.238,-141.017,320.827,-675.336,683.408,89.680,-39.142,12.309
0.217,-45.130,-102.896,-70.807,-6.001,57.237,-141.018,320.826,-675.336,683.409,89.680,-39.142,12.309
0.227,-45.130,-102.896,-70.807,-6.001,57.237,-141.017,320.817,-675.332,683.421,89.678,-39.143,12.310
0.237,-45.131,-102.896,-70.807,-6.001,57.237,-141.017,320.812,-675.334,683.421,89.678,-39.143,12.309
0.246,-45.131,-102.896,-70.807,-6.001,57.237,-141.017,320.809,-675.334,683.422,89.679,-39.143,12.309
0.257,-45.131,-102.895,-70.807,-6.001,57.237,-141.017,320.806,-675.334,683.425,89.678,-39.143,12.309
0.267,-45.131,-102.896,-70.807,-6.001,57.237,-141.017,320.805,-675.338,683.420,89.679,-39.143,12.308
0.277,-45.131,-102.896,-70.807,-6.001,57.237,-141.017,320.805,-675.338,683.420,89.679,-39.143,12.308
0.287,-45.131,-102.896,-70.807,-6.001,57.237,-141.017,320.806,-675.341,683.414,89.679,-39.143,12.308
0.297,-45.131,-102.896,-70.807,-6.001,57.237,-141.018,320.811,-675.341,683.412,89.680,-39.142,12.308
0.307,-45.131,-102.897,-70.807,-6.001,57.237,-141.018,320.817,-675.342,683.405,89.680,-39.142,12.308
