t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.120,-102.886,-70.814,-5.959,57.242,-141.004,320.866,-675.168,683.631,89.629,-39.181,12.356
0.012,-45.120,-102.886,-70.814,-5.959,57.242,-141.004,320.866,-675.173,683.621,89.630,-39.180,12.355
0.023,-45.120,-102.887,-70.815,-5.959,57.242,-141.005,320.871,-675.181,683.599,89.633,-39.178,12.353
0.033,-45.120,-102.888,-70.815,-5.959,57.242,-141.004,320.879,-675.183,683.592,89.633,-39.179,12.353
0.043,-45.120,-102.889,-70.815,-5.960,57.242,-141.004,320.886,-675.192,683.574,89.635,-39.177,12.352
0.053,-45.120,-102.889,-70.816,-5.959,57.242,-141.004,320.886,-675.200,683.558,89.636,-39.177,12.351
0.062,-45.120,-102.890,-70.816,-5.960,57.242,-141.004,320.889,-675.202,683.553,89.637,-39.176,12.350
0.073,-45.121,-102.891,-70.816,-5.960,57.242,-141.004,320.884,-675.214,683.538,89.638,-39.176,12.348
0.083,-45.122,-102.891,-70.817,-5.960,57.241,-141.004,320.880,-675.224,683.522,89.641,-39.175,12.346
0.093,-45.123,-102.892,-70.817,-5.960,57.241,-141.004,320.873,-675.231,683.513,89.641,-39.175,12.345
0.103,-45.123,-102.892,-70.818,-5.961,57.240,-141.004,320.867,-675.242,683.498,89.643,-39.173,12.342
0.113,-45.124,-102.893,-70.818,-5.961,57.241,-141.004,320.872,-675.248,683.485,89.645,-39.173,12.341
0.122,-45.123,-102.893,-70.818,-5.962,57.241,-141.004,320.873,-675.246,683.484,89.645,-39.173,12.341
0.133,-45.123,-102.893,-70.819,-5.962,57.242,-141.004,320.885,-675.241,683.481,89.645,-39.173,12.342
0.143,-45.121,-102.892,-70.819,-5.962,57.242,-141.004,320.907,-675.230,683.484,89.645,-39.172,12.345
0.153,-45.121,-102.892,-70.819,-5.961,57.242,-141.004,320.912,-675.225,683.488,89.644,-39.173,12.346
0.162,-45.119,-102.892,-70.818,-5.961,57.244,-141.004,320.930,-675.214,683.496,89.644,-39.173,12.349
0.172,-45.118,-102.892,-70.818,-5.962,57.244,-141.004,320.940,-675.206,683.500,89.644,-39.174,12.350
0.183,-45.118,-102.891,-70.818,-5.962,57.244,-141.004,320.943,-675.203,683.506,89.643,-39.174,12.351
0.193,-45.117,-102.891,-70.818,-5.961,57.244,-141.004,320.949,-675.199,683.507,89.642,-39.174,12.352
0.203,-45.116,-102.892,-70.818,-5.961,57.243,-141.003,320.966,-675.193,683.504,89.643,-39.174,12.353
0.213,-45.115,-102.892,-70.818,-5.961,57.244,-141.004,320.982,-675.191,683.494,89.644,-39.173,12.353
0.222,-45.113,-102.893,-70.819,-5.962,57.244,-141.003,321.007,-675.190,683.476,89.646,-39.173,12.353
0.232,-45.112,-102.894,-70.820,-5.961,57.244,-141.004,321.029,-675.190,683.456,89.647,-39.172,12.354
0.243,-45.111,-102.894,-70.820,-5.962,57.244,-141.003,321.044,-675.189,683.446,89.649,-39.171,12.354
0.253,-45.111,-102.895,-70.821,-5.962,57.244,-141.004,321.050,-675.193,683.429,89.650,-39.170,12.353
0.263,-45.112,-102.895,-70.822,-5.961,57.243,-141.004,321.043,-675.197,683.424,89.651,-39.170,12.352
0.273,-45.112,-102.895,-70.822,-5.961,57.243,-141.004,321.040,-675.197,683.426,89.650,-39.170,12.352
0.283,-45.112,-102.895,-70.822,-5.961,57.243,-141.004,321.032,-675.200,683.426,89.650,-39.170,12.351
0.293,-45.113,-102.894,-70.822,-5.961,57.243,-141.004,321.023,-675.198,683.434,89.649,-39.170,12.351
0.303,-45.113,-102.894,-70.822,-5.961,57.243,-141.004,321.022,-675.199,683.433,89.650,-39.170,12.351
0.313,-45.113,-102.894,-70.822,-5.961,57.243,-141.004,321.021,-675.196,683.440,89.649,-39.171,12.352
0.323,-45.113,-102.894,-70.821,-5.960,57.243,-141.004,321.012,-675.197,683.446,89.648,-39.171,12.352
0.333,-45.114,-102.893,-70.821,-5.960,57.243,-141.004,321.007,-675.197,683.449,89.648,-39.171,12.351
0.343,-45.114,-102.893,-70.821,-5.961,57.243,-141.004,320.998,-675.202,683.448,89.648,-39.172,12.350
0.353,-45.115,-102.893,-70.821,-5.961,57.243,-141.003,320.995,-675.202,683.449,89.648,-39.172,12.350
0.363,-45.115,-102.893,-70.822,-5.961,57.243,-141.003,320.998,-675.203,683.445,89.648,-39.172,12.350
0.373,-45.114,-102.894,-70.821,-5.961,57.243,-141.004,321.002,-675.202,683.447,89.648,-39.171,12.351
0.382,-45.114,-102.894,-70.822,-5.961,57.243,-141.003,321.008,-675.202,683.440,89.649,-39.171,12.350
0.393,-45.113,-102.894,-70.822,-5.961,57.243,-141.003,321.012,-675.201,683.438,89.649,-39.171,12.351
0.402,-45.113,-102.895,-70.822,-5.960,57.243,-141.003,321.017,-675.204,683.431,89.649,-39.171,12.351
0.413,-45.113,-102.895,-70.822,-5.961,57.243,-141.003,321.021,-675.210,683.420,89.650,-39.171,12.350
0.423,-45.113,-102.895,-70.822,-5.960,57.242,-141.003,321.025,-675.208,683.418,89.650,-39.171,12.350
0.433,-45.113,-102.896,-70.822,-5.960,57.242,-141.003,321.033,-675.210,683.412,89.651,-39.170,12.350
0.442,-45.112,-102.896,-70.822,-5.961,57.242,-141.003,321.039,-675.208,683.411,89.651,-39.170,12.350
0.452,-45.112,-102.896,-70.822,-5.960,57.242,-141.003,321.046,-675.206,683.409,89.651,-39.170,12.350
0.463,-45.111,-102.896,-70.822,-5.961,57.242,-141.003,321.049,-675.202,683.413,89.651,-39.170,12.351
0.473,-45.111,-102.896,-70.822,-5.961,57.242,-141.003,321.045,-675.202,683.415,89.651,-39.170,12.351
0.482,-45.111,-102.896,-70.822,-5.960,57.242,-141.003,321.052,-675.201,683.412,89.651,-39.170,12.351
0.493,-45.112,-102.896,-70.822,-5.960,57.242,-141.003,321.043,-675.206,683.410,89.651,-39.170,12.350
0.503,-45.112,-102.895,-70.822,-5.960,57.242,-141.003,321.035,-675.204,683.421,89.650,-39.171,12.351
0.512,-45.112,-102.895,-70.822,-5.960,57.242,-141.003,321.029,-675.201,683.426,89.650,-39.171,12.351
0.523,-45.113,-102.894,-70.822,-5.960,57.242,-141.003,321.022,-675.199,683.437,89.648,-39.172,12.351
0.533,-45.113,-102.893,-70.821,-5.959,57.242,-141.003,321.007,-675.194,683.457,89.646,-39.173,12.352
0.543,-45.113,-102.893,-70.821,-5.960,57.242,-141.003,321.003,-675.194,683.462,89.646,-39.173,12.352
0.553,-45.113,-102.893,-70.821,-5.960,57.242,-141.004,321.003,-675.193,683.460,89.646,-39.172,12.352
0.563,-45.114,-102.894,-70.822,-5.960,57.243,-141.003,321.004,-675.199,683.448,89.647,-39.172,12.351
0.573,-45.114,-102.894,-70.822,-5.960,57.243,-141.003,321.003,-675.203,683.443,89.647,-39.172,12.351
0.583,-45.114,-102.895,-70.822,-5.960,57.243,-141.003,321.009,-675.210,683.427,89.649,-39.171,12.350
0.593,-45.114,-102.896,-70.823,-5.960,57.243,-141.004,321.023,-675.215,683.404,89.651,-39.170,12.349
0.602,-45.114,-102.896,-70.823,-5.959,57.243,-141.004,321.020,-675.215,683.405,89.651,-39.170,12.349
0.613,-45.114,-102.896,-70.823,-5.959,57.243,-141.004,321.024,-675.215,683.404,89.651,-39.170,12.349
0.623,-45.113,-102.896,-70.823,-5.959,57.242,-141.004,321.026,-675.216,683.402,89.651,-39.170,12.349
0.633,-45.113,-102.896,-70.824,-5.960,57.243,-141.003,321.030,-675.219,683.393,89.652,-39.170,12.348
0.642,-45.114,-102.896,-70.824,-5.959,57.242,-141.003,321.028,-675.221,683.386,89.653,-39.170,12.348
0.652,-45.114,-102.897,-70.825,-5.959,57.242,-141.003,321.035,-675.227,683.371,89.654,-39.169,12.347
0.662,-45.114,-102.898,-70.825,-5.960,57.242,-141.003,321.038,-675.231,683.358,89.656,-39.168,12.346
0.672,-45.113,-102.898,-70.827,-5.960,57.242,-141.003,321.048,-675.239,683.331,89.658,-39.167,12.344
0.682,-45.113,-102.899,-70.828,-5.960,57.243,-141.003,321.061,-675.245,683.304,89.661,-39.165,12.343
0.692,-45.113,-102.900,-70.829,-5.960,57.243,-141.003,321.065,-675.248,683.293,89.662,-39.165,12.343
0.703,-45.113,-102.900,-70.830,-5.960,57.242,-141.003,321.066,-675.256,683.276,89.663,-39.164,12.341
0.713,-45.114,-102.900,-70.830,-5.959,57.242,-141.004,321.055,-675.260,683.275,89.663,-39.164,12.340
0.723,-45.115,-102.900,-70.830,-5.959,57.242,-141.003,321.047,-675.262,683.277,89.663,-39.165,12.339
0.733,-45.115,-102.899,-70.830,-5.959,57.242,-141.003,321.038,-675.259,683.289,89.662,-39.165,12.340
0.742,-45.115,-102.899,-70.830,-5.959,57.242,-141.004,321.034,-675.254,683.298,89.661,-39.165,12.340
0.753,-45.115,-102.898,-70.830,-5.959,57.241,-141.003,321.031,-675.252,683.303,89.661,-39.165,12.340
0.763,-45.114,-102.899,-70.830,-5.959,57.241,-141.003,321.037,-675.252,683.298,89.661,-39.166,12.340
0.773,-45.114,-102.899,-70.830,-5.959,57.241,-141.003,321.038,-675.255,683.291,89.662,-39.165,12.339
0.782,-45.114,-102.899,-70.830,-5.959,57.241,-141.003,321.039,-675.255,683.289,89.662,-39.165,12.339
0.792,-45.114,-102.899,-70.831,-5.959,57.241,-141.003,321.041,-675.257,683.283,89.662,-39.165,12.339
0.802,-45.114,-102.900,-70.831,-5.959,57.241,-141.003,321.042,-675.258,683.279,89.663,-39.165,12.339
0.813,-45.114,-102.900,-70.831,-5.959,57.241,-141.003,321.049,-675.256,683.279,89.663,-39.165,12.339
0.823,-45.113,-102.900,-70.831,-5.958,57.241,-141.003,321.061,-675.249,683.282,89.662,-39.166,12.341
0.833,-45.112,-102.900,-70.830,-5.958,57.241,-141.002,321.067,-675.245,683.285,89.661,-39.166,12.342
0.842,-45.112,-102.900,-70.830,-5.958,57.241,-141.002,321.069,-675.243,683.289,89.661,-39.166,12.342
0.853,-45.112,-102.899,-70.830,-5.957,57.240,-141.003,321.060,-675.243,683.294,89.660,-39.166,12.342
0.863,-45.113,-102.899,-70.830,-5.957,57.239,-141.002,321.045,-675.249,683.294,89.660,-39.167,12.340
0.873,-45.114,-102.900,-70.830,-5.957,57.239,-141.003,321.039,-675.254,683.290,89.660,-39.166,12.339
0.883,-45.114,-102.900,-70.831,-5.956,57.239,-141.003,321.034,-675.257,683.286,89.660,-39.166,12.339
0.893,-45.114,-102.900,-70.831,-5.955,57.239,-141.003,321.034,-675.256,683.292,89.659,-39.167,12.340
0.903,-45.114,-102.900,-70.831,-5.955,57.239,-141.003,321.038,-675.252,683.296,89.658,-39.167,12.341
0.913,-45.114,-102.899,-70.830,-5.954,57.240,-141.003,321.033,-675.247,683.309,89.657,-39.168,12.343
0.923,-45.114,-102.898,-70.830,-5.954,57.241,-141.003,321.034,-675.242,683.318,89.656,-39.168,12.344
0.932,-45.114,-102.898,-70.830,-5.954,57.241,-141.003,321.033,-675.241,683.320,89.656,-39.168,12.344
