t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.129,-102.903,-70.812,-6.011,57.236,-141.014,320.903,-675.394,683.230,89.704,-39.134,12.294
0.013,-45.128,-102.903,-70.813,-6.011,57.236,-141.014,320.905,-675.393,683.229,89.704,-39.134,12.294
0.022,-45.128,-102.904,-70.812,-6.011,57.236,-141.014,320.908,-675.393,683.229,89.704,-39.134,12.294
0.033,-45.128,-102.904,-70.813,-6.011,57.236,-141.014,320.910,-675.392,683.226,89.704,-39.134,12.294
0.042,-45.128,-102.904,-70.813,-6.011,57.236,-141.014,320.919,-675.393,683.218,89.705,-39.133,12.294
0.053,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.921,-675.392,683.216,89.705,-39.133,12.294
0.062,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.928,-675.394,683.207,89.706,-39.133,12.294
0.073,-45.127,-102.905,-70.814,-6.011,57.236,-141.014,320.927,-675.398,683.202,89.707,-39.133,12.294
0.083,-45.127,-102.905,-70.814,-6.011,57.236,-141.014,320.927,-675.398,683.202,89.706,-39.133,12.294
0.093,-45.128,-102.905,-70.814,-6.011,57.236,-141.014,320.924,-675.399,683.202,89.707,-39.133,12.293
0.103,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.924,-675.403,683.198,89.707,-39.132,12.293
0.113,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.924,-675.401,683.200,89.707,-39.132,12.293
0.123,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.923,-675.405,683.196,89.707,-39.132,12.292
0.132,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.921,-675.404,683.198,89.707,-39.132,12.293
0.143,-45.128,-102.905,-70.813,-6.012,57.236,-141.013,320.921,-675.406,683.195,89.707,-39.132,12.292
0.153,-45.128,-102.905,-70.814,-6.011,57.236,-141.014,320.924,-675.407,683.192,89.708,-39.132,12.292
0.163,-45.128,-102.905,-70.814,-6.011,57.236,-141.014,320.926,-675.406,683.193,89.707,-39.132,12.293
0.173,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.921,-675.404,683.200,89.707,-39.132,12.293
0.183,-45.128,-102.905,-70.813,-6.011,57.236,-141.014,320.920,-675.403,683.201,89.707,-39.132,12.293
0.193,-45.128,-102.904,-70.813,-6.011,57.237,-141.014,320.921,-675.396,683.213,89.705,-39.133,12.294
0.203,-45.128,-102.904,-70.813,-6.011,57.237,-141.014,320.922,-675.394,683.215,89.705,-39.133,12.295
0.214,-45.127,-102.904,-70.813,-6.011,57.237,-141.013,320.924,-675.393,683.215,89.705,-39.133,12.295
0.223,-45.127,-102.904,-70.813,-6.011,57.237,-141.014,320.932,-675.393,683.209,89.706,-39.133,12.295
0.233,-45.127,-102.904,-70.813,-6.011,57.237,-141.014,320.933,-675.393,683.209,89.706,-39.133,12.295
0.243,-45.127,-102.904,-70.813,-6.011,57.237,-141.014,320.935,-675.392,683.207,89.706,-39.133,12.295
0.253,-45.127,-102.904,-70.813,-6.011,57.237,-141.014,320.936,-675.392,683.207,89.706,-39.133,12.295
0.263,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.930,-675.392,683.212,89.705,-39.133,12.295
0.273,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.931,-675.391,683.213,89.705,-39.133,12.295
0.283,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.928,-675.391,683.213,89.705,-39.133,12.295
0.293,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.925,-675.392,683.212,89.706,-39.133,12.295
0.303,-45.127,-102.904,-70.813,-6.011,57.236,-141.014,320.925,-675.395,683.208,89.706,-39.133,12.294
0.313,-45.128,-102.904,-70.814,-6.011,57.236,-141.014,320.923,-675.399,683.202,89.707,-39.133,12.293
0.323,-45.128,-102.905,-70.814,-6.011,57.236,-141.014,320.924,-675.404,683.191,89.708,-39.132,12.292
0.333,-45.128,-102.905,-70.815,-6.011,57.236,-141.014,320.923,-675.406,683.185,89.708,-39.132,12.292
