t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.129,-102.896,-70.820,-6.005,57.236,-141.013,320.856,-675.353,683.262,89.697,-39.138,12.298
0.010,-45.129,-102.896,-70.820,-6.005,57.236,-141.013,320.861,-675.351,683.262,89.697,-39.138,12.298
0.021,-45.129,-102.896,-70.820,-6.005,57.236,-141.012,320.861,-675.352,683.262,89.698,-39.138,12.298
0.031,-45.128,-102.896,-70.819,-6.005,57.236,-141.013,320.861,-675.349,683.268,89.697,-39.138,12.298
0.040,-45.128,-102.896,-70.820,-6.004,57.236,-141.013,320.862,-675.346,683.269,89.696,-39.138,12.299
0.050,-45.128,-102.896,-70.819,-6.005,57.236,-141.013,320.861,-675.345,683.273,89.696,-39.138,12.299
0.060,-45.128,-102.896,-70.820,-6.005,57.236,-141.013,320.861,-675.345,683.272,89.696,-39.138,12.299
0.071,-45.128,-102.896,-70.820,-6.004,57.236,-141.012,320.860,-675.343,683.275,89.696,-39.139,12.300
0.080,-45.128,-102.896,-70.819,-6.005,57.236,-141.013,320.860,-675.344,683.275,89.696,-39.139,12.299
0.090,-45.128,-102.896,-70.820,-6.005,57.236,-141.012,320.860,-675.344,683.274,89.696,-39.139,12.299
0.101,-45.128,-102.895,-70.820,-6.005,57.236,-141.012,320.856,-675.344,683.276,89.696,-39.139,12.299
0.110,-45.128,-102.896,-70.820,-6.005,57.236,-141.012,320.858,-675.345,683.274,89.696,-39.139,12.299
0.120,-45.129,-102.895,-70.819,-6.005,57.236,-141.012,320.854,-675.344,683.278,89.696,-39.139,12.299
0.130,-45.129,-102.895,-70.820,-6.005,57.236,-141.012,320.853,-675.346,683.276,89.696,-39.139,12.299
0.141,-45.129,-102.896,-70.819,-6.005,57.236,-141.012,320.852,-675.347,683.276,89.696,-39.139,12.299
0.151,-45.129,-102.896,-70.820,-6.005,57.236,-141.012,320.851,-675.348,683.273,89.696,-39.139,12.298
0.161,-45.129,-102.896,-70.820,-6.005,57.236,-141.013,320.852,-675.348,683.274,89.696,-39.139,12.299
0.171,-45.129,-102.896,-70.819,-6.005,57.236,-141.012,320.851,-675.350,683.274,89.696,-39.139,12.299
0.181,-45.129,-102.896,-70.820,-6.005,57.237,-141.012,320.863,-675.349,683.261,89.698,-39.138,12.299
0.191,-45.128,-102.897,-70.820,-6.005,57.237,-141.012,320.870,-675.353,683.252,89.699,-39.138,12.298
0.200,-45.128,-102.897,-70.821,-6.006,57.237,-141.012,320.886,-675.355,683.230,89.701,-39.136,12.298
0.211,-45.127,-102.898,-70.821,-6.005,57.237,-141.013,320.890,-675.359,683.224,89.701,-39.136,12.297
0.220,-45.127,-102.898,-70.822,-6.006,57.237,-141.012,320.905,-675.359,683.209,89.703,-39.135,12.297
0.230,-45.127,-102.899,-70.822,-6.005,57.237,-141.012,320.905,-675.360,683.212,89.703,-39.136,12.297
0.241,-45.126,-102.898,-70.822,-6.005,57.237,-141.012,320.911,-675.356,683.212,89.703,-39.136,12.298
0.251,-45.126,-102.898,-70.821,-6.006,57.237,-141.012,320.908,-675.353,683.221,89.702,-39.136,12.298
0.261,-45.126,-102.898,-70.821,-6.005,57.237,-141.012,320.909,-675.351,683.222,89.702,-39.137,12.299
0.271,-45.126,-102.898,-70.821,-6.005,57.237,-141.012,320.909,-675.348,683.229,89.701,-39.137,12.299
0.281,-45.126,-102.897,-70.821,-6.005,57.237,-141.012,320.907,-675.345,683.236,89.700,-39.137,12.300
0.291,-45.126,-102.897,-70.821,-6.005,57.237,-141.012,320.901,-675.346,683.235,89.700,-39.137,12.299
0.301,-45.127,-102.897,-70.821,-6.005,57.237,-141.012,320.895,-675.350,683.234,89.700,-39.137,12.299
0.310,-45.128,-102.897,-70.821,-6.005,57.237,-141.012,320.878,-675.352,683.244,89.699,-39.137,12.298
0.321,-45.128,-102.897,-70.821,-6.005,57.236,-141.013,320.873,-675.352,683.247,89.699,-39.137,12.298
0.330,-45.129,-102.896,-70.821,-6.005,57.236,-141.013,320.864,-675.355,683.249,89.699,-39.137,12.297
