t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.000,-45.135,-102.897,-70.809,-5.995,57.236,-140.997,320.770,-675.364,683.398,89.676,-39.165,12.305
0.009,-45.134,-102.898,-70.809,-5.994,57.236,-140.997,320.777,-675.365,683.393,89.676,-39.165,12.305
0.019,-45.134,-102.898,-70.809,-5.993,57.236,-140.997,320.783,-675.368,683.388,89.676,-39.165,12.306
0.030,-45.134,-102.899,-70.809,-5.994,57.236,-140.997,320.788,-675.370,683.382,89.677,-39.164,12.305
0.039,-45.134,-102.899,-70.809,-5.994,57.235,-140.997,320.790,-675.370,683.381,89.677,-39.164,12.305
0.049,-45.134,-102.899,-70.810,-5.994,57.236,-140.997,320.793,-675.372,683.376,89.677,-39.164,12.305
0.059,-45.134,-102.899,-70.810,-5.994,57.236,-140.997,320.792,-675.374,683.374,89.677,-39.164,12.305
0.069,-45.135,-102.900,-70.810,-5.993,57.236,-140.997,320.786,-675.378,683.373,89.677,-39.164,12.304
0.079,-45.135,-102.900,-70.810,-5.993,57.235,-140.997,320.776,-675.382,683.372,89.677,-39.164,12.303
0.090,-45.136,-102.899,-70.810,-5.993,57.235,-140.997,320.766,-675.383,683.376,89.677,-39.164,12.303
0.099,-45.137,-102.900,-70.810,-5.993,57.235,-140.997,320.758,-675.391,683.371,89.677,-39.164,12.302
0.110,-45.137,-102.900,-70.810,-5.993,57.235,-140.997,320.749,-675.396,683.366,89.678,-39.164,12.300
0.120,-45.137,-102.900,-70.810,-5.993,57.234,-140.997,320.748,-675.396,683.367,89.678,-39.164,12.300
0.130,-45.138,-102.899,-70.810,-5.993,57.234,-140.997,320.735,-675.398,683.372,89.677,-39.164,12.300
0.140,-45.139,-102.899,-70.810,-5.992,57.234,-140.997,320.729,-675.395,683.384,89.675,-39.165,12.301
0.150,-45.139,-102.899,-70.810,-5.992,57.234,-140.997,320.722,-675.396,683.389,89.675,-39.165,12.300
0.160,-45.139,-102.898,-70.810,-5.992,57.234,-140.997,320.722,-675.390,683.397,89.674,-39.166,12.301
0.170,-45.138,-102.898,-70.810,-5.991,57.234,-140.997,320.730,-675.388,683.396,89.674,-39.166,12.302
0.179,-45.138,-102.898,-70.810,-5.992,57.234,-140.997,320.732,-675.385,683.397,89.674,-39.166,12.302
0.190,-45.137,-102.898,-70.810,-5.992,57.234,-140.997,320.743,-675.383,683.393,89.674,-39.165,12.302
0.200,-45.136,-102.899,-70.810,-5.992,57.234,-140.997,320.754,-675.383,683.382,89.675,-39.165,12.302
0.209,-45.136,-102.899,-70.810,-5.992,57.234,-140.997,320.756,-675.383,683.380,89.676,-39.165,12.303
0.219,-45.136,-102.899,-70.810,-5.992,57.234,-140.997,320.761,-675.384,683.376,89.676,-39.165,12.303
0.230,-45.136,-102.900,-70.811,-5.992,57.234,-140.997,320.768,-675.389,683.361,89.677,-39.163,12.302
0.239,-45.136,-102.900,-70.811,-5.991,57.234,-140.997,320.768,-675.388,683.362,89.677,-39.164,12.302
0.249,-45.136,-102.900,-70.811,-5.991,57.234,-140.997,320.769,-675.390,683.359,89.677,-39.164,12.302
0.259,-45.136,-102.901,-70.811,-5.991,57.234,-140.997,320.772,-675.394,683.350,89.678,-39.163,12.302
0.270,-45.136,-102.901,-70.812,-5.991,57.234,-140.997,320.774,-675.397,683.344,89.678,-39.163,12.301
0.279,-45.136,-102.902,-70.812,-5.990,57.234,-140.997,320.776,-675.402,683.333,89.679,-39.163,12.301
0.290,-45.137,-102.902,-70.813,-5.990,57.235,-140.997,320.774,-675.408,683.322,89.680,-39.162,12.300
