t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.129,-102.896,-70.815,-5.963,57.243,-141.009,320.841,-675.292,683.477,89.646,-39.168,12.338
0.017,-45.128,-102.896,-70.814,-5.962,57.243,-141.008,320.842,-675.291,683.479,89.645,-39.168,12.338
0.027,-45.128,-102.896,-70.814,-5.962,57.243,-141.008,320.840,-675.290,683.482,89.645,-39.168,12.338
0.037,-45.128,-102.896,-70.814,-5.963,57.243,-141.009,320.838,-675.287,683.487,89.645,-39.168,12.338
0.047,-45.128,-102.896,-70.814,-5.963,57.243,-141.009,320.841,-675.286,683.489,89.645,-39.168,12.339
0.057,-45.128,-102.895,-70.814,-5.963,57.243,-141.009,320.838,-675.283,683.494,89.644,-39.168,12.339
0.067,-45.128,-102.895,-70.814,-5.963,57.243,-141.009,320.837,-675.282,683.494,89.644,-39.168,12.339
0.077,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.833,-675.282,683.499,89.644,-39.168,12.339
0.087,-45.128,-102.895,-70.814,-5.963,57.243,-141.009,320.831,-675.279,683.503,89.644,-39.169,12.339
0.097,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.833,-675.278,683.505,89.643,-39.169,12.340
0.107,-45.128,-102.894,-70.814,-5.962,57.243,-141.009,320.828,-675.277,683.508,89.643,-39.169,12.339
0.117,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.832,-675.277,683.506,89.643,-39.169,12.340
0.127,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.830,-675.279,683.504,89.643,-39.169,12.339
0.136,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.830,-675.279,683.503,89.643,-39.168,12.339
0.147,-45.128,-102.895,-70.814,-5.962,57.243,-141.009,320.835,-675.283,683.495,89.644,-39.168,12.339
0.157,-45.129,-102.896,-70.814,-5.962,57.243,-141.008,320.836,-675.288,683.487,89.645,-39.168,12.338
0.167,-45.128,-102.896,-70.814,-5.962,57.243,-141.008,320.839,-675.287,683.487,89.645,-39.168,12.339
0.177,-45.129,-102.896,-70.815,-5.962,57.243,-141.009,320.842,-675.293,683.474,89.646,-39.168,12.338
0.187,-45.128,-102.897,-70.815,-5.962,57.243,-141.008,320.848,-675.298,683.463,89.647,-39.167,12.337
0.197,-45.128,-102.897,-70.815,-5.963,57.243,-141.008,320.851,-675.300,683.457,89.648,-39.167,12.336
0.207,-45.128,-102.898,-70.815,-5.962,57.243,-141.008,320.853,-675.302,683.454,89.648,-39.167,12.337
0.217,-45.128,-102.898,-70.815,-5.963,57.243,-141.009,320.854,-675.302,683.453,89.648,-39.166,12.336
0.227,-45.128,-102.898,-70.815,-5.963,57.243,-141.008,320.854,-675.303,683.453,89.648,-39.167,12.336
0.236,-45.128,-102.898,-70.815,-5.963,57.243,-141.008,320.853,-675.302,683.455,89.648,-39.167,12.336
0.247,-45.129,-102.897,-70.815,-5.963,57.243,-141.009,320.848,-675.299,683.462,89.647,-39.167,12.337
