t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.856,-675.372,683.187,89.704,-39.137,12.291
0.014,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.851,-675.369,683.196,89.703,-39.138,12.291
0.024,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.850,-675.369,683.196,89.702,-39.138,12.291
0.034,-45.129,-102.897,-70.826,-6.003,57.233,-141.011,320.848,-675.371,683.195,89.703,-39.137,12.291
0.043,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.850,-675.370,683.193,89.703,-39.137,12.290
0.054,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.855,-675.373,683.187,89.704,-39.137,12.290
0.064,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.851,-675.373,683.189,89.703,-39.137,12.290
0.074,-45.130,-102.897,-70.826,-6.003,57.233,-141.010,320.851,-675.376,683.186,89.704,-39.137,12.290
0.084,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.851,-675.372,683.190,89.703,-39.137,12.291
0.093,-45.130,-102.897,-70.826,-6.003,57.233,-141.010,320.848,-675.374,683.190,89.703,-39.137,12.290
0.105,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.855,-675.374,683.185,89.704,-39.137,12.290
0.113,-45.130,-102.898,-70.826,-6.003,57.233,-141.010,320.852,-675.378,683.181,89.704,-39.137,12.290
0.124,-45.129,-102.898,-70.826,-6.003,57.233,-141.010,320.857,-675.377,683.179,89.704,-39.137,12.290
0.135,-45.129,-102.898,-70.826,-6.003,57.233,-141.010,320.861,-675.377,683.177,89.705,-39.137,12.290
0.145,-45.129,-102.898,-70.827,-6.003,57.233,-141.010,320.860,-675.375,683.178,89.704,-39.137,12.290
0.154,-45.129,-102.898,-70.826,-6.003,57.233,-141.010,320.857,-675.376,683.180,89.704,-39.137,12.290
0.164,-45.129,-102.898,-70.826,-6.003,57.233,-141.010,320.860,-675.375,683.180,89.704,-39.137,12.290
0.174,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.855,-675.374,683.185,89.704,-39.137,12.290
0.183,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.856,-675.371,683.188,89.704,-39.137,12.291
0.193,-45.129,-102.897,-70.826,-6.003,57.233,-141.010,320.850,-675.372,683.192,89.703,-39.138,12.290
0.203,-45.129,-102.897,-70.827,-6.004,57.233,-141.010,320.859,-675.374,683.180,89.705,-39.137,12.290
0.213,-45.129,-102.898,-70.827,-6.004,57.234,-141.010,320.864,-675.376,683.169,89.706,-39.136,12.289
0.223,-45.129,-102.899,-70.829,-6.006,57.234,-141.010,320.883,-675.386,683.131,89.711,-39.134,12.287
0.233,-45.129,-102.901,-70.831,-6.005,57.234,-141.010,320.902,-675.403,683.085,89.715,-39.132,12.285
0.244,-45.128,-102.902,-70.831,-6.005,57.234,-141.010,320.911,-675.410,683.070,89.716,-39.131,12.284
0.254,-45.129,-102.903,-70.830,-6.004,57.234,-141.010,320.908,-675.414,683.071,89.715,-39.132,12.284
0.263,-45.128,-102.902,-70.830,-6.004,57.234,-141.010,320.907,-675.406,683.089,89.713,-39.133,12.286
0.275,-45.128,-102.902,-70.829,-6.004,57.233,-141.010,320.905,-675.402,683.096,89.713,-39.133,12.286
0.285,-45.128,-102.900,-70.828,-6.004,57.233,-141.010,320.892,-675.389,683.130,89.709,-39.135,12.288
0.298,-45.129,-102.900,-70.828,-6.003,57.233,-141.010,320.889,-675.393,683.126,89.710,-39.135,12.288
0.307,-45.129,-102.901,-70.829,-6.003,57.233,-141.010,320.889,-675.402,683.111,89.711,-39.134,12.286
0.314,-45.131,-102.903,-70.830,-6.004,57.233,-141.010,320.882,-675.424,683.078,89.714,-39.132,12.283
0.323,-45.132,-102.904,-70.831,-6.004,57.233,-141.010,320.877,-675.447,683.046,89.717,-39.131,12.279
0.333,-45.132,-102.905,-70.831,-6.004,57.232,-141.010,320.880,-675.452,683.035,89.718,-39.130,12.278
0.344,-45.132,-102.907,-70.831,-6.004,57.233,-141.010,320.891,-675.462,683.013,89.721,-39.129,12.276
0.355,-45.132,-102.906,-70.830,-6.004,57.233,-141.010,320.884,-675.452,683.036,89.719,-39.130,12.278
0.365,-45.132,-102.905,-70.830,-6.004,57.233,-141.010,320.878,-675.449,683.048,89.717,-39.131,12.279
0.373,-45.133,-102.903,-70.829,-6.004,57.232,-141.010,320.853,-675.441,683.083,89.714,-39.132,12.280
0.383,-45.135,-102.902,-70.828,-6.004,57.232,-141.010,320.825,-675.439,683.105,89.712,-39.133,12.279
0.393,-45.135,-102.902,-70.827,-6.004,57.232,-141.010,320.816,-675.439,683.115,89.711,-39.134,12.279
0.403,-45.135,-102.902,-70.828,-6.004,57.232,-141.010,320.822,-675.441,683.105,89.712,-39.133,12.279
0.414,-45.133,-102.904,-70.829,-6.004,57.232,-141.010,320.856,-675.442,683.076,89.715,-39.132,12.279
0.425,-45.132,-102.904,-70.830,-6.004,57.232,-141.010,320.872,-675.441,683.063,89.716,-39.132,12.280
