t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.129,-102.893,-70.798,-6.005,57.236,-141.015,320.805,-675.298,683.525,89.671,-39.148,12.314
0.009,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.812,-675.301,683.515,89.672,-39.148,12.314
0.019,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.818,-675.304,683.506,89.673,-39.147,12.314
0.029,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.818,-675.303,683.507,89.673,-39.148,12.314
0.039,-45.128,-102.895,-70.799,-6.005,57.236,-141.015,320.822,-675.306,683.502,89.674,-39.147,12.314
0.050,-45.128,-102.895,-70.799,-6.006,57.236,-141.015,320.821,-675.306,683.500,89.674,-39.147,12.313
0.059,-45.128,-102.895,-70.799,-6.005,57.236,-141.016,320.818,-675.306,683.504,89.673,-39.147,12.314
0.069,-45.128,-102.895,-70.799,-6.005,57.236,-141.015,320.819,-675.305,683.504,89.673,-39.147,12.313
0.078,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.816,-675.305,683.507,89.673,-39.147,12.314
0.089,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.813,-675.302,683.512,89.673,-39.148,12.314
0.099,-45.129,-102.894,-70.799,-6.005,57.236,-141.016,320.807,-675.301,683.517,89.672,-39.148,12.314
0.108,-45.129,-102.893,-70.799,-6.005,57.236,-141.015,320.803,-675.298,683.526,89.671,-39.149,12.315
0.118,-45.129,-102.893,-70.799,-6.005,57.236,-141.015,320.802,-675.297,683.528,89.671,-39.149,12.315
0.129,-45.129,-102.893,-70.799,-6.005,57.236,-141.016,320.799,-675.293,683.535,89.670,-39.149,12.315
0.138,-45.129,-102.892,-70.798,-6.004,57.236,-141.015,320.797,-675.291,683.540,89.669,-39.149,12.316
0.149,-45.129,-102.892,-70.798,-6.005,57.236,-141.015,320.793,-675.292,683.541,89.670,-39.149,12.315
0.159,-45.129,-102.892,-70.798,-6.005,57.236,-141.015,320.796,-675.290,683.542,89.670,-39.149,12.315
0.168,-45.129,-102.892,-70.798,-6.005,57.236,-141.015,320.798,-675.289,683.543,89.669,-39.149,12.316
0.177,-45.129,-102.892,-70.798,-6.005,57.236,-141.015,320.799,-675.291,683.539,89.670,-39.149,12.316
0.189,-45.129,-102.893,-70.798,-6.005,57.236,-141.015,320.802,-675.293,683.534,89.670,-39.149,12.315
0.199,-45.128,-102.893,-70.799,-6.005,57.236,-141.015,320.809,-675.294,683.527,89.671,-39.148,12.315
0.208,-45.128,-102.893,-70.799,-6.005,57.236,-141.015,320.812,-675.293,683.526,89.671,-39.148,12.315
0.218,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.813,-675.298,683.519,89.671,-39.148,12.315
0.228,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.818,-675.299,683.514,89.672,-39.148,12.315
0.238,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.818,-675.301,683.512,89.672,-39.148,12.314
0.249,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.816,-675.302,683.512,89.672,-39.148,12.314
0.258,-45.128,-102.894,-70.799,-6.005,57.236,-141.015,320.818,-675.302,683.510,89.672,-39.148,12.315
0.269,-45.129,-102.894,-70.799,-6.005,57.236,-141.015,320.814,-675.305,683.507,89.673,-39.147,12.313
0.279,-45.128,-102.894,-70.799,-6.005,57.236,-141.016,320.815,-675.304,683.510,89.673,-39.147,12.314
0.289,-45.129,-102.894,-70.799,-6.005,57.236,-141.016,320.809,-675.303,683.515,89.672,-39.148,12.314
0.299,-45.129,-102.894,-70.799,-6.005,57.236,-141.016,320.808,-675.302,683.516,89.672,-39.148,12.314
0.309,-45.129,-102.894,-70.799,-6.005,57.236,-141.016,320.806,-675.301,683.521,89.672,-39.148,12.314
0.318,-45.129,-102.893,-70.799,-6.005,57.236,-141.016,320.799,-675.297,683.528,89.671,-39.148,12.315
0.329,-45.129,-102.893,-70.799,-6.005,57.236,-141.016,320.801,-675.299,683.526,89.671,-39.148,12.314
0.338,-45.129,-102.893,-70.798,-6.005,57.236,-141.016,320.801,-675.295,683.532,89.670,-39.149,12.315
0.350,-45.129,-102.893,-70.798,-6.005,57.236,-141.016,320.798,-675.293,683.537,89.670,-39.149,12.315
0.359,-45.129,-102.892,-70.799,-6.005,57.236,-141.016,320.801,-675.291,683.536,89.670,-39.149,12.315
