t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.827,-675.365,683.316,89.693,-39.143,12.294
0.010,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.825,-675.364,683.319,89.693,-39.144,12.294
0.020,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.829,-675.362,683.317,89.693,-39.144,12.294
0.031,-45.129,-102.898,-70.811,-6.007,57.229,-141.009,320.826,-675.363,683.319,89.693,-39.144,12.294
0.040,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.825,-675.363,683.321,89.692,-39.144,12.294
0.050,-45.129,-102.898,-70.811,-6.007,57.229,-141.010,320.826,-675.363,683.319,89.693,-39.143,12.294
0.060,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.825,-675.361,683.323,89.692,-39.144,12.294
0.070,-45.129,-102.898,-70.811,-6.007,57.230,-141.009,320.828,-675.363,683.319,89.693,-39.144,12.294
0.080,-45.130,-102.898,-70.812,-6.007,57.230,-141.009,320.824,-675.365,683.317,89.693,-39.144,12.294
0.089,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.830,-675.365,683.314,89.693,-39.143,12.294
0.100,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.829,-675.366,683.314,89.693,-39.144,12.294
0.110,-45.129,-102.899,-70.812,-6.007,57.230,-141.009,320.831,-675.366,683.312,89.693,-39.143,12.294
0.120,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.829,-675.368,683.311,89.693,-39.144,12.293
0.130,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.828,-675.367,683.312,89.693,-39.143,12.294
0.140,-45.129,-102.899,-70.811,-6.007,57.229,-141.009,320.828,-675.368,683.311,89.693,-39.144,12.293
0.150,-45.129,-102.899,-70.812,-6.007,57.230,-141.008,320.829,-675.368,683.309,89.694,-39.144,12.293
0.160,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.830,-675.369,683.309,89.694,-39.144,12.293
0.170,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.830,-675.367,683.311,89.693,-39.144,12.294
0.180,-45.129,-102.899,-70.812,-6.007,57.230,-141.009,320.830,-675.367,683.310,89.693,-39.144,12.294
0.190,-45.129,-102.899,-70.812,-6.007,57.230,-141.009,320.829,-675.367,683.312,89.693,-39.144,12.294
0.200,-45.129,-102.899,-70.811,-6.007,57.230,-141.009,320.829,-675.365,683.314,89.693,-39.144,12.294
