t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.957,-675.393,683.159,89.720,-39.131,12.287
0.014,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.952,-675.394,683.161,89.720,-39.132,12.287
0.025,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.950,-675.396,683.159,89.720,-39.131,12.287
0.034,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.944,-675.396,683.162,89.720,-39.132,12.287
0.044,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.942,-675.398,683.161,89.720,-39.132,12.286
0.054,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.943,-675.395,683.164,89.720,-39.132,12.287
0.064,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.943,-675.396,683.164,89.719,-39.132,12.287
0.074,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.945,-675.396,683.160,89.720,-39.131,12.287
0.084,-45.127,-102.903,-70.815,-6.024,57.237,-141.008,320.945,-675.396,683.161,89.720,-39.132,12.287
0.094,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.951,-675.393,683.161,89.720,-39.131,12.287
0.104,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.953,-675.392,683.162,89.720,-39.131,12.287
0.114,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.957,-675.391,683.161,89.720,-39.131,12.288
0.124,-45.125,-102.903,-70.815,-6.024,57.237,-141.008,320.963,-675.390,683.156,89.721,-39.131,12.288
0.134,-45.125,-102.903,-70.815,-6.024,57.237,-141.007,320.968,-675.389,683.156,89.721,-39.132,12.288
0.144,-45.125,-102.903,-70.815,-6.024,57.237,-141.008,320.966,-675.388,683.160,89.720,-39.132,12.288
0.154,-45.125,-102.903,-70.815,-6.024,57.237,-141.008,320.966,-675.388,683.158,89.720,-39.131,12.288
0.164,-45.125,-102.903,-70.815,-6.024,57.238,-141.008,320.968,-675.388,683.159,89.720,-39.132,12.289
0.174,-45.125,-102.903,-70.815,-6.024,57.237,-141.008,320.965,-675.389,683.160,89.720,-39.132,12.289
0.184,-45.126,-102.903,-70.815,-6.025,57.237,-141.008,320.960,-675.392,683.158,89.721,-39.131,12.288
0.194,-45.126,-102.903,-70.815,-6.024,57.236,-141.008,320.950,-675.396,683.155,89.721,-39.131,12.286
0.203,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.944,-675.399,683.154,89.721,-39.131,12.285
0.214,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.940,-675.401,683.154,89.721,-39.131,12.285
0.224,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.932,-675.402,683.155,89.721,-39.131,12.284
0.234,-45.128,-102.903,-70.815,-6.025,57.236,-141.008,320.932,-675.405,683.150,89.722,-39.131,12.284
0.244,-45.128,-102.903,-70.815,-6.025,57.236,-141.008,320.930,-675.404,683.154,89.721,-39.131,12.284
0.254,-45.128,-102.903,-70.815,-6.025,57.236,-141.008,320.927,-675.405,683.155,89.721,-39.131,12.284
0.264,-45.128,-102.903,-70.815,-6.025,57.236,-141.008,320.927,-675.403,683.157,89.721,-39.131,12.284
0.274,-45.128,-102.903,-70.815,-6.025,57.236,-141.008,320.929,-675.402,683.159,89.721,-39.131,12.284
0.284,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.930,-675.401,683.159,89.721,-39.131,12.284
0.294,-45.127,-102.902,-70.815,-6.025,57.236,-141.008,320.933,-675.398,683.161,89.720,-39.132,12.285
0.304,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.936,-675.398,683.157,89.721,-39.131,12.285
0.313,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.943,-675.398,683.154,89.721,-39.131,12.285
0.325,-45.126,-102.903,-70.815,-6.025,57.235,-141.008,320.941,-675.396,683.157,89.721,-39.131,12.285
0.334,-45.127,-102.903,-70.815,-6.025,57.235,-141.008,320.938,-675.400,683.154,89.721,-39.131,12.284
0.344,-45.127,-102.903,-70.815,-6.025,57.235,-141.008,320.941,-675.399,683.152,89.721,-39.131,12.284
0.355,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.942,-675.398,683.155,89.721,-39.131,12.285
0.364,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.945,-675.399,683.149,89.722,-39.130,12.285
0.374,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.946,-675.401,683.148,89.722,-39.131,12.284
0.383,-45.126,-102.903,-70.815,-6.025,57.236,-141.008,320.948,-675.397,683.151,89.722,-39.131,12.285
0.394,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.944,-675.400,683.151,89.721,-39.131,12.285
0.404,-45.127,-102.903,-70.815,-6.025,57.236,-141.008,320.947,-675.402,683.146,89.722,-39.130,12.285
0.415,-45.127,-102.903,-70.816,-6.025,57.236,-141.008,320.936,-675.404,683.149,89.722,-39.131,12.284
0.424,-45.128,-102.903,-70.815,-6.024,57.236,-141.008,320.933,-675.404,683.152,89.721,-39.131,12.285
0.435,-45.128,-102.903,-70.815,-6.024,57.236,-141.008,320.931,-675.403,683.156,89.721,-39.131,12.285
0.445,-45.127,-102.902,-70.815,-6.024,57.236,-141.008,320.928,-675.399,683.163,89.720,-39.131,12.285
0.454,-45.127,-102.902,-70.815,-6.024,57.236,-141.008,320.931,-675.396,683.168,89.720,-39.132,12.285
0.464,-45.127,-102.902,-70.815,-6.024,57.236,-141.008,320.932,-675.396,683.166,89.720,-39.131,12.285
0.475,-45.127,-102.902,-70.815,-6.025,57.236,-141.008,320.933,-675.397,683.163,89.720,-39.131,12.285
0.485,-45.127,-102.903,-70.815,-6.024,57.236,-141.008,320.935,-675.400,683.156,89.721,-39.131,12.285
0.494,-45.127,-102.903,-70.815,-6.024,57.236,-141.008,320.943,-675.401,683.149,89.721,-39.130,12.285
0.504,-45.126,-102.903,-70.816,-6.025,57.236,-141.008,320.947,-675.398,683.147,89.722,-39.130,12.285
0.515,-45.126,-102.903,-70.816,-6.025,57.236,-141.008,320.951,-675.398,683.146,89.722,-39.130,12.285
0.525,-45.126,-102.903,-70.816,-6.025,57.237,-141.008,320.953,-675.394,683.151,89.721,-39.131,12.286
0.534,-45.126,-102.903,-70.815,-6.024,57.237,-141.008,320.952,-675.394,683.154,89.721,-39.131,12.286
0.545,-45.126,-102.902,-70.815,-6.024,57.236,-141.008,320.948,-675.391,683.162,89.720,-39.131,12.287
0.555,-45.126,-102.902,-70.815,-6.025,57.236,-141.008,320.943,-675.392,683.165,89.720,-39.132,12.286
0.564,-45.126,-102.902,-70.815,-6.025,57.236,-141.008,320.942,-675.392,683.165,89.720,-39.132,12.286
0.574,-45.127,-102.902,-70.815,-6.024,57.236,-141.008,320.939,-675.393,683.166,89.720,-39.132,12.286
0.584,-45.126,-102.902,-70.815,-6.024,57.236,-141.008,320.942,-675.392,683.163,89.720,-39.132,12.286
0.595,-45.127,-102.902,-70.815,-6.024,57.236,-141.008,320.940,-675.395,683.158,89.721,-39.131,12.285
0.605,-45.127,-102.903,-70.816,-6.025,57.236,-141.008,320.938,-675.399,683.151,89.721,-39.131,12.285
0.614,-45.127,-102.903,-70.816,-6.024,57.236,-141.008,320.936,-675.401,683.150,89.721,-39.130,12.284
0.625,-45.127,-102.903,-70.816,-6.024,57.236,-141.008,320.935,-675.403,683.146,89.722,-39.130,12.284
0.634,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.925,-675.407,683.146,89.722,-39.130,12.283
0.644,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.926,-675.405,683.148,89.722,-39.131,12.283
0.654,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.925,-675.406,683.148,89.722,-39.130,12.283
0.664,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.925,-675.406,683.148,89.722,-39.131,12.283
0.674,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.926,-675.405,683.148,89.722,-39.131,12.283
0.685,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.929,-675.405,683.146,89.722,-39.131,12.283
0.695,-45.128,-102.903,-70.816,-6.024,57.236,-141.008,320.929,-675.408,683.140,89.722,-39.130,12.283
0.704,-45.128,-102.903,-70.817,-6.025,57.235,-141.008,320.930,-675.409,683.133,89.723,-39.130,12.282
0.714,-45.128,-102.903,-70.817,-6.025,57.235,-141.008,320.930,-675.410,683.131,89.723,-39.130,12.282
0.725,-45.127,-102.903,-70.817,-6.025,57.235,-141.008,320.934,-675.409,683.127,89.724,-39.129,12.281
0.734,-45.127,-102.903,-70.817,-6.025,57.234,-141.008,320.937,-675.406,683.128,89.724,-39.130,12.282
0.744,-45.127,-102.903,-70.818,-6.025,57.234,-141.009,320.935,-675.407,683.127,89.724,-39.129,12.281
0.754,-45.127,-102.903,-70.818,-6.025,57.234,-141.008,320.933,-675.406,683.128,89.724,-39.129,12.281
0.764,-45.127,-102.903,-70.818,-6.026,57.234,-141.008,320.931,-675.407,683.124,89.725,-39.129,12.280
0.774,-45.128,-102.903,-70.818,-6.025,57.234,-141.008,320.927,-675.409,683.122,89.725,-39.129,12.280
0.784,-45.128,-102.903,-70.819,-6.026,57.234,-141.008,320.924,-675.413,683.114,89.726,-39.128,12.279
0.794,-45.129,-102.903,-70.819,-6.026,57.234,-141.008,320.915,-675.418,683.112,89.726,-39.128,12.278
0.804,-45.129,-102.903,-70.819,-6.027,57.234,-141.008,320.909,-675.421,683.111,89.727,-39.128,12.277
0.814,-45.130,-102.903,-70.819,-6.027,57.234,-141.008,320.907,-675.425,683.105,89.728,-39.128,12.276
0.825,-45.130,-102.903,-70.819,-6.027,57.235,-141.007,320.908,-675.431,683.098,89.728,-39.128,12.276
0.834,-45.130,-102.904,-70.819,-6.027,57.235,-141.007,320.914,-675.435,683.087,89.730,-39.127,12.275
0.844,-45.130,-102.906,-70.821,-6.029,57.236,-141.007,320.937,-675.448,683.042,89.735,-39.125,12.273
