t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.128,-102.894,-70.808,-6.001,57.229,-141.019,320.794,-675.314,683.436,89.677,-39.142,12.304
0.015,-45.128,-102.894,-70.808,-6.001,57.229,-141.019,320.791,-675.318,683.433,89.678,-39.142,12.304
0.025,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.790,-675.319,683.433,89.678,-39.142,12.304
0.034,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.783,-675.318,683.437,89.677,-39.142,12.304
0.045,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.781,-675.321,683.433,89.678,-39.142,12.303
0.055,-45.129,-102.893,-70.808,-6.000,57.229,-141.019,320.779,-675.315,683.445,89.676,-39.143,12.304
0.064,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.774,-675.316,683.446,89.676,-39.143,12.304
0.074,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.772,-675.315,683.450,89.676,-39.142,12.304
0.085,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.773,-675.313,683.452,89.676,-39.143,12.304
0.094,-45.129,-102.893,-70.808,-6.000,57.229,-141.019,320.773,-675.311,683.454,89.676,-39.143,12.304
0.105,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.779,-675.309,683.453,89.676,-39.143,12.305
0.115,-45.129,-102.893,-70.808,-6.000,57.229,-141.019,320.776,-675.309,683.454,89.676,-39.143,12.305
0.125,-45.128,-102.893,-70.808,-6.000,57.229,-141.019,320.783,-675.310,683.450,89.676,-39.143,12.305
0.134,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.785,-675.309,683.449,89.676,-39.142,12.305
0.144,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.792,-675.308,683.446,89.676,-39.142,12.305
0.154,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.791,-675.309,683.445,89.677,-39.142,12.305
0.164,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.793,-675.311,683.440,89.677,-39.142,12.305
0.174,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.792,-675.308,683.446,89.676,-39.142,12.305
0.184,-45.128,-102.893,-70.808,-6.001,57.229,-141.019,320.792,-675.310,683.443,89.677,-39.142,12.305
0.194,-45.128,-102.893,-70.808,-6.000,57.229,-141.019,320.792,-675.311,683.443,89.676,-39.142,12.305
0.204,-45.128,-102.894,-70.808,-6.001,57.229,-141.019,320.792,-675.316,683.435,89.678,-39.142,12.304
0.214,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.786,-675.316,683.439,89.677,-39.142,12.304
0.224,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.784,-675.317,683.440,89.677,-39.142,12.304
0.234,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.781,-675.321,683.433,89.678,-39.142,12.303
0.244,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.777,-675.321,683.436,89.677,-39.142,12.303
0.254,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.777,-675.321,683.436,89.677,-39.141,12.303
0.264,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.778,-675.321,683.436,89.677,-39.142,12.303
0.274,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.774,-675.320,683.440,89.677,-39.142,12.303
0.284,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.774,-675.320,683.442,89.677,-39.142,12.303
0.294,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.779,-675.318,683.439,89.677,-39.142,12.303
0.304,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.780,-675.320,683.435,89.678,-39.142,12.303
0.314,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.782,-675.319,683.435,89.678,-39.142,12.303
0.324,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.784,-675.318,683.437,89.677,-39.142,12.304
0.334,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.787,-675.319,683.432,89.678,-39.141,12.304
0.344,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.787,-675.317,683.434,89.678,-39.142,12.303
0.354,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.788,-675.318,683.431,89.678,-39.141,12.303
0.364,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.786,-675.320,683.429,89.678,-39.141,12.303
0.374,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.786,-675.320,683.428,89.678,-39.141,12.303
0.384,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.784,-675.322,683.430,89.678,-39.141,12.303
0.394,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.783,-675.321,683.428,89.678,-39.141,12.302
0.404,-45.129,-102.893,-70.808,-6.001,57.228,-141.020,320.776,-675.320,683.435,89.678,-39.141,12.302
0.414,-45.129,-102.894,-70.808,-6.001,57.229,-141.019,320.780,-675.320,683.433,89.678,-39.141,12.303
0.424,-45.129,-102.893,-70.808,-6.001,57.229,-141.019,320.774,-675.320,683.439,89.677,-39.141,12.303
0.434,-45.130,-102.893,-70.808,-6.001,57.228,-141.019,320.770,-675.322,683.437,89.677,-39.141,12.302
0.444,-45.129,-102.893,-70.808,-6.001,57.228,-141.019,320.772,-675.321,683.439,89.677,-39.141,12.302
