t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.132,-102.913,-70.813,-6.002,57.233,-141.018,320.903,-675.468,683.147,89.705,-39.129,12.287
0.014,-45.132,-102.912,-70.813,-6.002,57.232,-141.018,320.898,-675.466,683.148,89.704,-39.130,12.287
0.023,-45.133,-102.912,-70.814,-6.001,57.231,-141.018,320.881,-675.471,683.142,89.705,-39.129,12.284
0.033,-45.133,-102.912,-70.815,-6.001,57.230,-141.017,320.868,-675.476,683.140,89.705,-39.130,12.283
0.044,-45.135,-102.912,-70.815,-6.000,57.228,-141.018,320.837,-675.488,683.138,89.704,-39.129,12.279
0.054,-45.138,-102.911,-70.817,-6.000,57.227,-141.018,320.798,-675.504,683.128,89.705,-39.129,12.275
0.064,-45.139,-102.912,-70.817,-6.000,57.227,-141.018,320.786,-675.514,683.117,89.706,-39.129,12.273
0.074,-45.144,-102.912,-70.820,-6.000,57.226,-141.018,320.729,-675.546,683.092,89.709,-39.127,12.265
0.084,-45.151,-102.912,-70.824,-6.000,57.225,-141.018,320.656,-675.592,683.045,89.713,-39.125,12.255
0.094,-45.153,-102.912,-70.827,-6.000,57.224,-141.018,320.626,-675.614,683.005,89.717,-39.123,12.249
0.103,-45.159,-102.913,-70.839,-6.000,57.222,-141.018,320.570,-675.676,682.866,89.731,-39.116,12.232
0.114,-45.169,-102.915,-70.863,-6.000,57.218,-141.018,320.488,-675.778,682.601,89.758,-39.102,12.201
0.124,-45.176,-102.916,-70.880,-6.000,57.216,-141.018,320.434,-675.859,682.396,89.779,-39.093,12.179
0.134,-45.197,-102.925,-70.923,-6.000,57.212,-141.018,320.289,-676.105,681.832,89.835,-39.065,12.118
0.143,-45.232,-102.944,-70.975,-6.001,57.211,-141.017,320.081,-676.510,681.040,89.913,-39.026,12.033
0.153,-45.256,-102.958,-71.009,-6.001,57.210,-141.017,319.948,-676.795,680.501,89.965,-39.000,11.976
0.163,-45.322,-102.997,-71.086,-6.002,57.211,-141.017,319.542,-677.545,679.198,90.092,-38.937,11.831
0.173,-45.413,-103.045,-71.186,-6.003,57.210,-141.017,318.932,-678.528,677.534,90.253,-38.856,11.638
0.183,-45.468,-103.076,-71.240,-6.005,57.210,-141.017,318.561,-679.124,676.575,90.346,-38.809,11.525
0.193,-45.597,-103.157,-71.367,-6.005,57.210,-141.017,317.757,-680.572,674.207,90.571,-38.695,11.255
0.204,-45.749,-103.265,-71.517,-6.007,57.210,-141.016,316.870,-682.359,671.263,90.848,-38.553,10.930
0.213,-45.837,-103.330,-71.606,-6.006,57.210,-141.016,316.360,-683.402,669.517,91.011,-38.470,10.741
0.223,-46.043,-103.496,-71.806,-6.005,57.211,-141.016,315.245,-685.924,665.304,91.400,-38.268,10.294
0.234,-46.289,-103.698,-72.037,-6.002,57.214,-141.014,313.876,-688.914,660.338,91.853,-38.030,9.770
0.244,-46.420,-103.805,-72.165,-6.001,57.215,-141.014,313.141,-690.503,657.629,92.100,-37.899,9.489
0.253,-46.692,-104.045,-72.443,-5.998,57.222,-141.014,311.705,-693.894,651.660,92.638,-37.611,8.895
0.263,-46.977,-104.314,-72.726,-5.996,57.231,-141.013,310.249,-697.522,645.232,93.210,-37.299,8.271
0.273,-47.123,-104.448,-72.871,-5.996,57.234,-141.013,309.445,-699.339,641.981,93.497,-37.140,7.955
0.283,-47.412,-104.719,-73.181,-5.989,57.237,-141.013,307.823,-702.967,635.243,94.085,-36.810,7.314
0.294,-47.706,-105.000,-73.525,-5.968,57.238,-141.013,306.156,-706.658,628.047,94.698,-36.460,6.656
0.304,-47.849,-105.143,-73.704,-5.950,57.238,-141.013,305.347,-708.477,624.368,95.004,-36.283,6.331
0.314,-48.127,-105.414,-74.066,-5.897,57.238,-141.013,303.681,-711.932,617.197,95.585,-35.942,5.711
0.323,-48.391,-105.692,-74.399,-5.828,57.239,-141.012,302.129,-715.261,610.307,96.124,-35.621,5.133
0.333,-48.517,-105.826,-74.565,-5.788,57.240,-141.012,301.358,-716.844,606.942,96.381,-35.467,4.858
0.344,-48.771,-106.097,-74.929,-5.685,57.249,-141.011,299.825,-719.994,599.919,96.903,-35.151,4.311
0.354,-48.972,-106.310,-75.243,-5.557,57.266,-141.011,298.579,-722.421,594.252,97.295,-34.911,3.901
0.363,-49.077,-106.428,-75.413,-5.461,57.279,-141.011,297.963,-723.688,591.265,97.481,-34.797,3.705
0.373,-49.280,-106.655,-75.721,-5.234,57.313,-141.011,296.693,-726.069,585.875,97.782,-34.615,3.362
0.384,-49.458,-106.866,-75.995,-4.949,57.344,-141.010,295.590,-728.134,581.278,97.979,-34.497,3.105
0.393,-49.538,-106.972,-76.119,-4.784,57.356,-141.010,295.099,-729.103,579.196,98.043,-34.458,3.000
0.404,-49.692,-107.178,-76.352,-4.398,57.369,-141.010,294.067,-730.904,575.503,98.096,-34.427,2.829
0.414,-49.835,-107.362,-76.552,-3.936,57.369,-141.009,292.922,-732.443,572.778,98.021,-34.476,2.728
0.423,-49.900,-107.438,-76.648,-3.679,57.369,-141.009,292.330,-733.067,571.765,97.938,-34.527,2.709
0.433,-50.014,-107.573,-76.825,-3.126,57.367,-141.009,291.235,-734.082,570.273,97.706,-34.673,2.726
0.444,-50.092,-107.696,-76.979,-2.527,57.367,-141.009,290.489,-734.787,569.380,97.393,-34.868,2.826
0.453,-50.120,-107.751,-77.050,-2.211,57.367,-141.009,290.212,-735.033,569.144,97.208,-34.983,2.904
0.463,-50.165,-107.863,-77.168,-1.554,57.365,-141.009,289.771,-735.435,568.994,96.791,-35.238,3.097
0.473,-50.197,-107.971,-77.256,-0.890,57.366,-141.010,289.473,-735.712,569.260,96.329,-35.517,3.334
0.484,-50.206,-108.022,-77.288,-0.547,57.367,-141.010,289.375,-735.781,569.602,96.072,-35.671,3.475
0.494,-50.206,-108.114,-77.332,0.154,57.370,-141.011,289.355,-735.737,570.670,95.510,-36.003,3.807
0.504,-50.204,-108.195,-77.346,0.843,57.372,-141.011,289.280,-735.604,572.169,94.913,-36.351,4.163
0.514,-50.206,-108.231,-77.345,1.187,57.373,-141.011,289.184,-735.510,573.051,94.601,-36.530,4.348
0.524,-50.204,-108.299,-77.339,1.868,57.377,-141.012,289.028,-735.270,574.889,93.970,-36.887,4.731
0.533,-50.204,-108.365,-77.337,2.511,57.385,-141.013,288.874,-735.036,576.552,93.376,-37.218,5.097
0.544,-50.204,-108.396,-77.335,2.829,57.389,-141.013,288.790,-734.907,577.402,93.077,-37.382,5.283
0.553,-50.202,-108.452,-77.328,3.455,57.400,-141.014,288.619,-734.596,579.166,92.476,-37.707,5.661
0.564,-50.202,-108.506,-77.320,4.032,57.413,-141.014,288.449,-734.308,580.789,91.917,-38.005,6.018
0.573,-50.203,-108.531,-77.318,4.300,57.422,-141.014,288.359,-734.179,581.515,91.659,-38.141,6.184
0.583,-50.204,-108.586,-77.314,4.798,57.440,-141.014,288.272,-733.973,582.743,91.185,-38.387,6.496
0.593,-50.207,-108.649,-77.314,5.263,57.467,-141.014,288.237,-733.846,583.707,90.755,-38.608,6.787
0.603,-50.209,-108.683,-77.316,5.471,57.482,-141.013,288.259,-733.827,584.038,90.570,-38.702,6.915
0.614,-50.211,-108.758,-77.318,5.857,57.510,-141.013,288.380,-733.838,584.516,90.237,-38.869,7.150
0.623,-50.214,-108.831,-77.320,6.193,57.543,-141.013,288.538,-733.901,584.818,89.955,-39.010,7.357
0.633,-50.216,-108.865,-77.320,6.341,57.561,-141.013,288.623,-733.934,584.941,89.830,-39.071,7.452
0.643,-50.222,-108.929,-77.320,6.642,57.604,-141.013,288.782,-733.976,585.257,89.572,-39.196,7.652
0.654,-50.228,-108.972,-77.321,6.879,57.649,-141.013,288.885,-733.973,585.586,89.361,-39.299,7.824
0.664,-50.230,-108.985,-77.322,6.970,57.668,-141.013,288.926,-733.944,585.757,89.276,-39.339,7.895
0.673,-50.235,-109.005,-77.324,7.146,57.716,-141.013,289.019,-733.862,586.140,89.106,-39.420,8.046
0.684,-50.235,-109.018,-77.325,7.268,57.755,-141.013,289.142,-733.777,586.429,88.986,-39.477,8.162
0.694,-50.233,-109.025,-77.324,7.320,57.767,-141.013,289.203,-733.743,586.542,88.936,-39.500,8.207
0.704,-50.230,-109.040,-77.321,7.415,57.774,-141.013,289.260,-733.701,586.734,88.845,-39.543,8.276
0.713,-50.226,-109.043,-77.321,7.472,57.775,-141.013,289.265,-733.629,586.919,88.784,-39.571,8.318
0.723,-50.223,-109.043,-77.321,7.480,57.775,-141.013,289.289,-733.605,586.956,88.775,-39.576,8.327
0.733,-50.219,-109.043,-77.321,7.474,57.775,-141.013,289.358,-733.590,586.928,88.782,-39.572,8.327
0.744,-50.212,-109.044,-77.325,7.468,57.775,-141.013,289.461,-733.571,586.852,88.794,-39.567,8.326
0.754,-50.206,-109.045,-77.326,7.465,57.774,-141.014,289.531,-733.551,586.818,88.799,-39.564,8.328
0.763,-50.202,-109.045,-77.330,7.464,57.774,-141.013,289.587,-733.538,586.767,88.805,-39.561,8.328
0.774,-50.200,-109.045,-77.337,7.463,57.773,-141.014,289.622,-733.530,586.685,88.814,-39.557,8.324
0.783,-50.198,-109.045,-77.340,7.464,57.773,-141.014,289.649,-733.519,586.658,88.817,-39.555,8.324
