t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.130,-102.876,-70.789,-6.019,57.229,-141.017,320.647,-675.194,683.786,89.657,-39.153,12.316
0.015,-45.129,-102.876,-70.789,-6.019,57.229,-141.017,320.650,-675.192,683.787,89.657,-39.153,12.316
0.026,-45.129,-102.876,-70.789,-6.019,57.229,-141.017,320.650,-675.194,683.784,89.658,-39.153,12.316
0.035,-45.129,-102.876,-70.789,-6.019,57.229,-141.017,320.651,-675.194,683.782,89.658,-39.153,12.315
0.045,-45.129,-102.877,-70.789,-6.020,57.229,-141.017,320.653,-675.196,683.779,89.658,-39.153,12.315
0.055,-45.130,-102.877,-70.789,-6.020,57.229,-141.017,320.649,-675.198,683.781,89.658,-39.153,12.315
0.066,-45.130,-102.877,-70.789,-6.020,57.229,-141.017,320.644,-675.202,683.776,89.659,-39.152,12.314
0.075,-45.131,-102.877,-70.789,-6.020,57.229,-141.017,320.639,-675.204,683.778,89.659,-39.152,12.314
0.086,-45.131,-102.877,-70.789,-6.020,57.229,-141.017,320.635,-675.209,683.772,89.659,-39.152,12.313
0.095,-45.132,-102.877,-70.789,-6.020,57.229,-141.017,320.630,-675.213,683.769,89.659,-39.152,12.312
0.105,-45.132,-102.877,-70.789,-6.020,57.229,-141.017,320.625,-675.215,683.769,89.660,-39.152,12.312
0.115,-45.132,-102.877,-70.789,-6.020,57.229,-141.017,320.626,-675.216,683.768,89.660,-39.152,12.312
0.125,-45.132,-102.877,-70.789,-6.021,57.229,-141.017,320.629,-675.216,683.764,89.661,-39.152,12.311
0.135,-45.132,-102.877,-70.789,-6.021,57.229,-141.017,320.629,-675.217,683.762,89.661,-39.151,12.311
0.145,-45.132,-102.877,-70.789,-6.021,57.229,-141.017,320.631,-675.214,683.764,89.661,-39.151,12.311
0.155,-45.131,-102.877,-70.789,-6.021,57.229,-141.018,320.633,-675.211,683.768,89.661,-39.151,12.312
0.165,-45.131,-102.877,-70.789,-6.021,57.229,-141.017,320.638,-675.209,683.769,89.660,-39.152,12.312
0.175,-45.131,-102.877,-70.789,-6.022,57.230,-141.017,320.642,-675.204,683.773,89.661,-39.151,12.313
0.186,-45.130,-102.877,-70.789,-6.026,57.231,-141.017,320.657,-675.206,683.753,89.666,-39.149,12.311
0.195,-45.130,-102.876,-70.789,-6.027,57.231,-141.017,320.663,-675.203,683.752,89.666,-39.149,12.311
0.205,-45.129,-102.876,-70.789,-6.030,57.231,-141.017,320.669,-675.201,683.747,89.669,-39.147,12.311
0.215,-45.130,-102.876,-70.789,-6.031,57.231,-141.017,320.670,-675.205,683.741,89.670,-39.147,12.310
0.225,-45.130,-102.876,-70.789,-6.032,57.231,-141.017,320.671,-675.208,683.731,89.672,-39.146,12.308
0.235,-45.130,-102.876,-70.789,-6.033,57.231,-141.017,320.670,-675.206,683.735,89.673,-39.146,12.308
0.245,-45.130,-102.876,-70.789,-6.034,57.231,-141.017,320.667,-675.210,683.730,89.673,-39.145,12.307
0.255,-45.130,-102.876,-70.789,-6.034,57.231,-141.017,320.667,-675.211,683.730,89.673,-39.145,12.307
0.265,-45.131,-102.876,-70.789,-6.034,57.231,-141.017,320.661,-675.215,683.727,89.674,-39.145,12.306
0.275,-45.131,-102.877,-70.789,-6.035,57.232,-141.017,320.660,-675.219,683.720,89.675,-39.145,12.305
0.285,-45.131,-102.877,-70.789,-6.035,57.232,-141.016,320.655,-675.221,683.724,89.675,-39.146,12.305
0.296,-45.132,-102.877,-70.789,-6.035,57.232,-141.016,320.655,-675.227,683.714,89.676,-39.145,12.304
0.305,-45.132,-102.877,-70.789,-6.035,57.232,-141.016,320.652,-675.229,683.711,89.676,-39.145,12.304
0.316,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.654,-675.230,683.707,89.676,-39.145,12.303
0.325,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.654,-675.230,683.709,89.676,-39.145,12.303
0.335,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.657,-675.229,683.706,89.677,-39.145,12.303
0.345,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.658,-675.227,683.709,89.676,-39.145,12.304
0.355,-45.131,-102.877,-70.789,-6.035,57.231,-141.016,320.663,-675.226,683.709,89.676,-39.145,12.304
0.365,-45.131,-102.877,-70.789,-6.035,57.232,-141.016,320.668,-675.220,683.711,89.676,-39.145,12.305
0.375,-45.131,-102.877,-70.789,-6.035,57.232,-141.016,320.670,-675.219,683.714,89.676,-39.146,12.305
0.385,-45.130,-102.877,-70.789,-6.035,57.231,-141.016,320.674,-675.215,683.715,89.676,-39.146,12.306
0.395,-45.130,-102.877,-70.789,-6.035,57.231,-141.016,320.677,-675.215,683.714,89.676,-39.146,12.306
0.405,-45.130,-102.877,-70.789,-6.035,57.231,-141.016,320.676,-675.213,683.718,89.675,-39.146,12.306
0.415,-45.130,-102.876,-70.789,-6.035,57.231,-141.016,320.672,-675.210,683.725,89.675,-39.147,12.307
0.426,-45.130,-102.876,-70.789,-6.035,57.232,-141.016,320.670,-675.209,683.727,89.674,-39.147,12.307
0.435,-45.130,-102.876,-70.789,-6.035,57.231,-141.016,320.668,-675.209,683.729,89.674,-39.146,12.307
0.445,-45.131,-102.876,-70.789,-6.035,57.231,-141.016,320.662,-675.212,683.729,89.674,-39.146,12.306
0.455,-45.131,-102.876,-70.789,-6.035,57.231,-141.016,320.657,-675.214,683.729,89.674,-39.147,12.306
0.465,-45.131,-102.876,-70.789,-6.035,57.231,-141.015,320.654,-675.218,683.726,89.674,-39.147,12.305
0.475,-45.132,-102.876,-70.789,-6.035,57.231,-141.016,320.650,-675.219,683.727,89.674,-39.147,12.305
0.485,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.648,-675.224,683.721,89.675,-39.146,12.304
0.496,-45.132,-102.877,-70.789,-6.035,57.231,-141.015,320.648,-675.225,683.719,89.675,-39.146,12.304
0.505,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.649,-675.228,683.714,89.676,-39.146,12.304
0.515,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.653,-675.230,683.710,89.676,-39.146,12.303
0.525,-45.132,-102.877,-70.789,-6.035,57.231,-141.016,320.652,-675.229,683.710,89.676,-39.146,12.303
0.535,-45.131,-102.877,-70.789,-6.034,57.231,-141.015,320.659,-675.226,683.712,89.675,-39.146,12.304
0.546,-45.131,-102.877,-70.789,-6.034,57.231,-141.016,320.659,-675.227,683.709,89.676,-39.146,12.304
0.555,-45.131,-102.877,-70.789,-6.034,57.231,-141.016,320.660,-675.225,683.710,89.675,-39.146,12.304
0.565,-45.131,-102.878,-70.789,-6.034,57.231,-141.016,320.668,-675.226,683.706,89.676,-39.146,12.305
