t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.129,-102.896,-70.807,-6.007,57.231,-141.014,320.814,-675.344,683.382,89.687,-39.142,12.299
0.016,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.816,-675.344,683.380,89.687,-39.142,12.299
0.027,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.813,-675.345,683.381,89.687,-39.142,12.299
0.036,-45.129,-102.896,-70.807,-6.007,57.231,-141.014,320.814,-675.343,683.383,89.687,-39.142,12.299
0.046,-45.129,-102.897,-70.808,-6.007,57.231,-141.014,320.816,-675.347,683.375,89.688,-39.142,12.299
0.056,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.818,-675.345,683.378,89.687,-39.142,12.299
0.066,-45.129,-102.897,-70.807,-6.008,57.231,-141.014,320.821,-675.345,683.377,89.688,-39.142,12.299
0.076,-45.129,-102.897,-70.808,-6.007,57.231,-141.014,320.820,-675.348,683.372,89.688,-39.142,12.298
0.086,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.820,-675.348,683.375,89.687,-39.142,12.299
0.096,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.822,-675.349,683.371,89.688,-39.142,12.298
0.106,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.817,-675.349,683.373,89.688,-39.141,12.298
0.117,-45.129,-102.897,-70.808,-6.007,57.231,-141.014,320.821,-675.348,683.372,89.688,-39.142,12.299
0.126,-45.129,-102.897,-70.808,-6.007,57.231,-141.014,320.816,-675.350,683.371,89.688,-39.142,12.298
0.136,-45.129,-102.897,-70.808,-6.007,57.231,-141.014,320.820,-675.348,683.372,89.688,-39.142,12.298
0.146,-45.129,-102.897,-70.807,-6.007,57.231,-141.014,320.815,-675.346,683.379,89.687,-39.142,12.299
0.156,-45.130,-102.897,-70.808,-6.007,57.231,-141.013,320.811,-675.349,683.375,89.687,-39.142,12.298
0.167,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.810,-675.351,683.372,89.688,-39.142,12.298
0.176,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.807,-675.355,683.370,89.688,-39.142,12.297
0.186,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.805,-675.355,683.371,89.688,-39.142,12.297
0.196,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.808,-675.355,683.369,89.688,-39.142,12.297
0.206,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.807,-675.356,683.368,89.688,-39.142,12.297
0.216,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.807,-675.355,683.370,89.688,-39.142,12.297
0.227,-45.130,-102.897,-70.808,-6.007,57.231,-141.013,320.807,-675.354,683.372,89.688,-39.142,12.297
0.236,-45.130,-102.897,-70.808,-6.007,57.231,-141.014,320.811,-675.352,683.371,89.688,-39.142,12.298
