t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.131,-102.904,-70.804,-6.022,57.229,-141.018,320.852,-675.416,683.263,89.708,-39.127,12.283
0.014,-45.131,-102.904,-70.805,-6.022,57.229,-141.018,320.852,-675.419,683.257,89.709,-39.127,12.282
0.024,-45.131,-102.904,-70.805,-6.022,57.229,-141.018,320.854,-675.418,683.255,89.709,-39.127,12.282
0.034,-45.131,-102.905,-70.806,-6.023,57.229,-141.018,320.859,-675.426,683.232,89.712,-39.125,12.280
0.044,-45.131,-102.906,-70.807,-6.023,57.229,-141.018,320.859,-675.438,683.212,89.714,-39.125,12.278
0.055,-45.132,-102.906,-70.807,-6.023,57.229,-141.018,320.854,-675.442,683.208,89.714,-39.124,12.277
0.064,-45.132,-102.907,-70.807,-6.023,57.229,-141.018,320.859,-675.448,683.193,89.715,-39.124,12.276
0.074,-45.132,-102.907,-70.807,-6.023,57.229,-141.018,320.865,-675.450,683.189,89.716,-39.123,12.277
0.084,-45.132,-102.907,-70.807,-6.023,57.230,-141.018,320.868,-675.448,683.193,89.715,-39.124,12.278
0.094,-45.131,-102.907,-70.807,-6.023,57.230,-141.018,320.878,-675.438,683.201,89.714,-39.124,12.279
0.104,-45.130,-102.907,-70.806,-6.023,57.230,-141.018,320.887,-675.431,683.207,89.714,-39.124,12.281
0.114,-45.129,-102.907,-70.806,-6.023,57.230,-141.018,320.892,-675.431,683.206,89.714,-39.124,12.281
0.123,-45.129,-102.907,-70.806,-6.023,57.230,-141.018,320.897,-675.433,683.201,89.714,-39.124,12.281
0.135,-45.129,-102.908,-70.807,-6.023,57.231,-141.018,320.909,-675.434,683.189,89.716,-39.123,12.281
0.145,-45.128,-102.909,-70.807,-6.023,57.231,-141.018,320.917,-675.437,683.182,89.716,-39.123,12.281
0.155,-45.127,-102.910,-70.807,-6.023,57.231,-141.018,320.938,-675.438,683.164,89.718,-39.122,12.281
0.163,-45.126,-102.911,-70.808,-6.023,57.231,-141.018,320.963,-675.443,683.140,89.720,-39.121,12.281
0.174,-45.126,-102.912,-70.807,-6.023,57.231,-141.018,320.972,-675.446,683.132,89.721,-39.121,12.281
0.184,-45.126,-102.913,-70.807,-6.023,57.231,-141.018,320.979,-675.450,683.124,89.721,-39.121,12.281
0.195,-45.126,-102.913,-70.807,-6.023,57.231,-141.018,320.979,-675.454,683.120,89.722,-39.121,12.280
0.204,-45.126,-102.913,-70.807,-6.023,57.230,-141.018,320.971,-675.456,683.123,89.721,-39.121,12.279
0.215,-45.127,-102.913,-70.807,-6.023,57.231,-141.018,320.966,-675.456,683.124,89.721,-39.121,12.279
0.225,-45.128,-102.913,-70.807,-6.023,57.230,-141.019,320.955,-675.463,683.124,89.721,-39.120,12.278
0.234,-45.128,-102.913,-70.807,-6.023,57.230,-141.019,320.954,-675.462,683.124,89.721,-39.120,12.278
0.245,-45.128,-102.913,-70.807,-6.023,57.230,-141.018,320.946,-675.463,683.131,89.721,-39.121,12.278
0.254,-45.129,-102.912,-70.807,-6.023,57.230,-141.018,320.936,-675.466,683.130,89.721,-39.121,12.277
0.264,-45.130,-102.912,-70.807,-6.023,57.230,-141.018,320.925,-675.468,683.137,89.720,-39.121,12.277
0.275,-45.131,-102.912,-70.806,-6.023,57.230,-141.018,320.905,-675.472,683.145,89.720,-39.121,12.276
0.284,-45.131,-102.911,-70.806,-6.023,57.230,-141.018,320.897,-675.469,683.156,89.718,-39.122,12.276
0.294,-45.131,-102.911,-70.806,-6.023,57.230,-141.018,320.894,-675.468,683.163,89.718,-39.123,12.277
0.304,-45.131,-102.911,-70.806,-6.023,57.230,-141.018,320.894,-675.464,683.169,89.717,-39.123,12.277
0.313,-45.131,-102.910,-70.806,-6.023,57.230,-141.018,320.897,-675.461,683.169,89.717,-39.123,12.277
0.324,-45.130,-102.910,-70.806,-6.022,57.230,-141.018,320.899,-675.457,683.174,89.716,-39.123,12.278
0.334,-45.130,-102.910,-70.806,-6.022,57.229,-141.018,320.897,-675.454,683.181,89.715,-39.123,12.278
0.344,-45.130,-102.910,-70.806,-6.022,57.230,-141.018,320.902,-675.451,683.181,89.715,-39.124,12.279
0.354,-45.130,-102.910,-70.805,-6.022,57.230,-141.018,320.904,-675.450,683.182,89.716,-39.123,12.279
0.364,-45.129,-102.910,-70.805,-6.022,57.230,-141.018,320.907,-675.446,683.186,89.715,-39.124,12.280
0.374,-45.128,-102.909,-70.804,-6.022,57.231,-141.018,320.920,-675.436,683.199,89.714,-39.124,12.283
0.384,-45.127,-102.909,-70.804,-6.022,57.231,-141.018,320.928,-675.426,683.212,89.712,-39.125,12.285
0.394,-45.126,-102.908,-70.803,-6.022,57.234,-141.018,320.952,-675.406,683.232,89.711,-39.126,12.290
0.404,-45.123,-102.908,-70.803,-6.022,57.238,-141.018,321.001,-675.389,683.233,89.711,-39.126,12.297
0.414,-45.122,-102.908,-70.802,-6.022,57.241,-141.018,321.029,-675.377,683.240,89.710,-39.127,12.302
0.424,-45.117,-102.908,-70.802,-6.022,57.254,-141.017,321.149,-675.338,683.244,89.709,-39.127,12.321
0.434,-45.111,-102.909,-70.801,-6.021,57.280,-141.017,321.335,-675.286,683.247,89.708,-39.128,12.353
0.444,-45.107,-102.909,-70.800,-6.020,57.297,-141.017,321.450,-675.247,683.267,89.705,-39.129,12.375
0.454,-45.099,-102.908,-70.795,-6.017,57.330,-141.017,321.687,-675.150,683.343,89.696,-39.134,12.423
0.463,-45.088,-102.906,-70.784,-6.012,57.350,-141.017,321.867,-675.049,683.474,89.679,-39.142,12.463
0.474,-45.082,-102.906,-70.779,-6.010,57.350,-141.017,321.924,-675.001,683.555,89.669,-39.147,12.476
0.484,-45.073,-102.905,-70.759,-5.997,57.343,-141.016,321.952,-674.896,683.835,89.631,-39.166,12.503
0.494,-45.071,-102.900,-70.744,-5.970,57.335,-141.016,321.848,-674.810,684.157,89.581,-39.191,12.528
0.504,-45.073,-102.896,-70.739,-5.954,57.327,-141.016,321.735,-674.775,684.327,89.553,-39.205,12.535
0.514,-45.080,-102.883,-70.740,-5.919,57.304,-141.016,321.424,-674.713,684.606,89.502,-39.230,12.537
0.524,-45.089,-102.863,-70.743,-5.892,57.278,-141.016,321.054,-674.631,684.909,89.456,-39.253,12.532
0.534,-45.094,-102.851,-70.742,-5.882,57.270,-141.017,320.871,-674.568,685.108,89.430,-39.265,12.536
0.544,-45.106,-102.817,-70.741,-5.860,57.275,-141.016,320.495,-674.371,685.635,89.366,-39.297,12.570
0.554,-45.116,-102.771,-70.731,-5.829,57.294,-141.017,320.097,-674.058,686.416,89.272,-39.343,12.638
0.564,-45.123,-102.736,-70.724,-5.809,57.310,-141.017,319.821,-673.817,686.986,89.205,-39.375,12.689
0.574,-45.145,-102.645,-70.697,-5.764,57.358,-141.017,319.081,-673.182,688.571,89.025,-39.461,12.830
0.584,-45.193,-102.530,-70.635,-5.714,57.436,-141.018,317.930,-672.444,690.825,88.775,-39.579,13.019
0.594,-45.237,-102.475,-70.586,-5.688,57.490,-141.019,317.168,-672.149,692.131,88.629,-39.646,13.122
0.604,-45.382,-102.381,-70.444,-5.629,57.658,-141.019,315.279,-671.847,695.019,88.300,-39.795,13.355
0.616,-45.626,-102.317,-70.255,-5.564,57.919,-141.020,312.762,-672.112,698.066,87.940,-39.952,13.602
0.625,-45.947,-102.298,-70.022,-5.508,58.254,-141.021,309.902,-672.937,701.027,87.585,-40.097,13.845
0.635,-46.134,-102.302,-69.898,-5.491,58.447,-141.021,308.364,-673.558,702.374,87.425,-40.159,13.954
0.644,-46.531,-102.331,-69.635,-5.486,58.881,-141.022,305.369,-675.010,704.880,87.141,-40.261,14.174
