t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.129,-102.901,-70.817,-6.001,57.235,-141.015,320.881,-675.379,683.240,89.696,-39.136,12.298
0.011,-45.129,-102.902,-70.818,-6.001,57.236,-141.015,320.884,-675.381,683.233,89.697,-39.136,12.298
0.022,-45.129,-102.902,-70.818,-6.001,57.236,-141.015,320.889,-675.383,683.229,89.697,-39.136,12.298
0.031,-45.128,-102.902,-70.818,-6.001,57.235,-141.015,320.896,-675.381,683.225,89.698,-39.136,12.298
0.042,-45.128,-102.902,-70.818,-6.001,57.236,-141.015,320.899,-675.380,683.224,89.698,-39.136,12.298
0.052,-45.128,-102.902,-70.818,-6.001,57.236,-141.015,320.902,-675.380,683.223,89.698,-39.136,12.298
0.062,-45.127,-102.902,-70.818,-6.001,57.236,-141.015,320.903,-675.375,683.231,89.697,-39.136,12.299
0.071,-45.127,-102.902,-70.818,-6.001,57.236,-141.015,320.903,-675.374,683.231,89.697,-39.136,12.299
0.081,-45.128,-102.902,-70.818,-6.001,57.236,-141.015,320.898,-675.376,683.232,89.697,-39.136,12.299
0.092,-45.128,-102.902,-70.818,-6.001,57.236,-141.015,320.898,-675.376,683.232,89.697,-39.136,12.299
0.101,-45.128,-102.902,-70.817,-6.001,57.236,-141.015,320.895,-675.376,683.236,89.696,-39.137,12.299
0.112,-45.128,-102.902,-70.818,-6.001,57.236,-141.015,320.895,-675.376,683.233,89.697,-39.136,12.299
0.122,-45.128,-102.901,-70.818,-6.001,57.235,-141.015,320.886,-675.374,683.241,89.696,-39.136,12.298
0.131,-45.128,-102.901,-70.818,-6.001,57.235,-141.015,320.884,-675.373,683.246,89.695,-39.136,12.299
0.141,-45.128,-102.900,-70.817,-6.001,57.236,-141.015,320.880,-675.371,683.252,89.695,-39.137,12.299
0.152,-45.129,-102.900,-70.817,-6.000,57.235,-141.015,320.876,-675.371,683.256,89.694,-39.137,12.299
0.161,-45.129,-102.900,-70.817,-6.000,57.235,-141.015,320.873,-675.371,683.258,89.694,-39.138,12.299
0.171,-45.129,-102.900,-70.817,-6.001,57.236,-141.015,320.875,-675.372,683.254,89.695,-39.137,12.299
0.181,-45.129,-102.901,-70.818,-6.001,57.236,-141.014,320.882,-675.376,683.239,89.696,-39.137,12.298
0.191,-45.129,-102.902,-70.818,-6.001,57.236,-141.014,320.889,-675.381,683.228,89.697,-39.136,12.298
0.201,-45.128,-102.902,-70.818,-6.001,57.236,-141.014,320.893,-675.381,683.226,89.697,-39.136,12.298
0.212,-45.128,-102.903,-70.819,-6.001,57.236,-141.014,320.901,-675.386,683.211,89.699,-39.136,12.297
0.221,-45.128,-102.903,-70.819,-6.002,57.236,-141.014,320.909,-675.387,683.200,89.700,-39.135,12.297
0.232,-45.127,-102.903,-70.819,-6.001,57.236,-141.014,320.915,-675.384,683.203,89.700,-39.135,12.298
0.242,-45.127,-102.903,-70.819,-6.001,57.236,-141.015,320.921,-675.385,683.198,89.700,-39.135,12.298
0.252,-45.127,-102.904,-70.819,-6.002,57.236,-141.015,320.929,-675.386,683.188,89.702,-39.134,12.297
0.261,-45.126,-102.904,-70.819,-6.002,57.236,-141.015,320.932,-675.386,683.187,89.702,-39.134,12.298
0.271,-45.126,-102.904,-70.819,-6.002,57.236,-141.015,320.934,-675.385,683.188,89.702,-39.134,12.298
0.281,-45.126,-102.904,-70.819,-6.002,57.236,-141.015,320.936,-675.385,683.184,89.702,-39.134,12.298
0.291,-45.127,-102.904,-70.820,-6.002,57.236,-141.015,320.932,-675.389,683.181,89.702,-39.134,12.297
0.302,-45.127,-102.904,-70.819,-6.002,57.236,-141.014,320.929,-675.389,683.184,89.702,-39.134,12.297
0.312,-45.127,-102.904,-70.819,-6.002,57.236,-141.014,320.927,-675.386,683.190,89.701,-39.135,12.298
0.320,-45.127,-102.904,-70.819,-6.002,57.236,-141.014,320.929,-675.386,683.191,89.701,-39.135,12.298
0.331,-45.127,-102.903,-70.819,-6.002,57.237,-141.014,320.921,-675.381,683.204,89.700,-39.135,12.299
0.341,-45.127,-102.902,-70.818,-6.001,57.237,-141.015,320.921,-675.376,683.215,89.699,-39.135,12.300
0.351,-45.127,-102.902,-70.818,-6.001,57.237,-141.014,320.922,-675.376,683.213,89.699,-39.135,12.300
0.361,-45.127,-102.903,-70.818,-6.001,57.237,-141.015,320.925,-675.377,683.213,89.699,-39.135,12.300
0.371,-45.126,-102.903,-70.819,-6.001,57.238,-141.015,320.934,-675.377,683.205,89.700,-39.135,12.301
0.381,-45.126,-102.903,-70.818,-6.001,57.239,-141.014,320.943,-675.375,683.205,89.700,-39.135,12.302
0.391,-45.125,-102.904,-70.819,-6.002,57.239,-141.015,320.962,-675.375,683.193,89.701,-39.134,12.303
0.401,-45.124,-102.904,-70.818,-6.002,57.241,-141.014,320.985,-675.369,683.190,89.701,-39.134,12.305
0.411,-45.123,-102.904,-70.818,-6.001,57.242,-141.015,320.997,-675.364,683.193,89.701,-39.134,12.307
0.421,-45.123,-102.905,-70.818,-6.001,57.243,-141.015,321.014,-675.361,683.191,89.701,-39.134,12.309
0.431,-45.122,-102.905,-70.818,-6.002,57.245,-141.015,321.031,-675.361,683.181,89.702,-39.134,12.311
0.440,-45.122,-102.905,-70.818,-6.001,57.246,-141.015,321.039,-675.359,683.180,89.702,-39.133,12.312
0.451,-45.121,-102.906,-70.818,-6.002,57.246,-141.015,321.061,-675.358,683.167,89.703,-39.133,12.313
0.461,-45.120,-102.906,-70.819,-6.002,57.247,-141.014,321.074,-675.357,683.159,89.704,-39.133,12.313
0.471,-45.120,-102.907,-70.819,-6.002,57.247,-141.014,321.078,-675.357,683.157,89.704,-39.133,12.314
0.481,-45.119,-102.907,-70.819,-6.002,57.246,-141.014,321.083,-675.361,683.146,89.705,-39.133,12.313
0.491,-45.120,-102.907,-70.819,-6.001,57.246,-141.015,321.073,-675.366,683.145,89.705,-39.132,12.312
0.502,-45.121,-102.907,-70.819,-6.001,57.246,-141.015,321.067,-675.365,683.153,89.704,-39.133,12.312
0.512,-45.122,-102.906,-70.819,-6.001,57.245,-141.015,321.036,-675.367,683.171,89.702,-39.134,12.311
0.521,-45.124,-102.905,-70.818,-6.000,57.244,-141.014,321.005,-675.365,683.195,89.700,-39.136,12.310
0.531,-45.124,-102.904,-70.818,-6.000,57.244,-141.014,320.991,-675.363,683.207,89.698,-39.136,12.310
0.542,-45.125,-102.902,-70.817,-5.999,57.244,-141.014,320.961,-675.355,683.240,89.695,-39.138,12.311
0.551,-45.126,-102.900,-70.817,-5.999,57.243,-141.014,320.942,-675.344,683.270,89.691,-39.140,12.312
0.561,-45.126,-102.899,-70.817,-5.998,57.243,-141.014,320.936,-675.336,683.285,89.690,-39.140,12.313
0.572,-45.126,-102.898,-70.816,-5.996,57.243,-141.014,320.918,-675.329,683.313,89.686,-39.143,12.315
0.581,-45.126,-102.896,-70.816,-5.996,57.243,-141.014,320.904,-675.318,683.340,89.683,-39.144,12.317
0.591,-45.127,-102.896,-70.815,-5.995,57.243,-141.014,320.897,-675.313,683.352,89.682,-39.144,12.317
0.602,-45.126,-102.894,-70.815,-5.995,57.244,-141.014,320.888,-675.301,683.379,89.679,-39.146,12.320
0.611,-45.126,-102.893,-70.815,-5.995,57.243,-141.014,320.882,-675.289,683.396,89.677,-39.147,12.321
0.621,-45.126,-102.893,-70.815,-5.995,57.244,-141.013,320.885,-675.285,683.399,89.677,-39.147,12.321
0.631,-45.124,-102.893,-70.816,-5.995,57.244,-141.013,320.908,-675.285,683.377,89.679,-39.147,12.321
0.641,-45.123,-102.895,-70.817,-5.995,57.244,-141.013,320.932,-675.292,683.347,89.682,-39.145,12.321
0.650,-45.123,-102.896,-70.817,-5.995,57.244,-141.013,320.942,-675.298,683.331,89.684,-39.144,12.320
