t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.125,-102.900,-70.800,-5.959,57.241,-141.007,320.872,-675.266,683.611,89.629,-39.178,12.350
0.014,-45.124,-102.900,-70.800,-5.959,57.241,-141.007,320.878,-675.263,683.608,89.629,-39.178,12.350
0.024,-45.124,-102.900,-70.799,-5.959,57.241,-141.007,320.876,-675.263,683.613,89.629,-39.178,12.350
0.034,-45.124,-102.899,-70.799,-5.959,57.241,-141.007,320.874,-675.262,683.618,89.628,-39.178,12.351
0.044,-45.124,-102.899,-70.800,-5.959,57.241,-141.006,320.875,-675.262,683.614,89.629,-39.179,12.350
0.054,-45.124,-102.899,-70.800,-5.959,57.241,-141.006,320.871,-675.262,683.616,89.628,-39.179,12.350
0.064,-45.125,-102.899,-70.800,-5.959,57.241,-141.006,320.867,-675.264,683.616,89.628,-39.178,12.350
0.074,-45.125,-102.900,-70.800,-5.959,57.241,-141.007,320.861,-675.271,683.612,89.629,-39.178,12.349
0.084,-45.127,-102.900,-70.800,-5.959,57.241,-141.006,320.847,-675.279,683.608,89.629,-39.178,12.348
0.094,-45.127,-102.900,-70.800,-5.959,57.240,-141.006,320.840,-675.284,683.606,89.629,-39.178,12.347
0.104,-45.128,-102.900,-70.800,-5.958,57.240,-141.007,320.834,-675.292,683.600,89.630,-39.178,12.346
0.114,-45.129,-102.900,-70.800,-5.959,57.240,-141.007,320.826,-675.295,683.601,89.630,-39.177,12.345
0.124,-45.129,-102.900,-70.800,-5.959,57.240,-141.006,320.828,-675.295,683.600,89.630,-39.178,12.345
0.134,-45.129,-102.901,-70.800,-5.959,57.240,-141.006,320.828,-675.297,683.596,89.630,-39.178,12.344
0.144,-45.128,-102.901,-70.800,-5.959,57.240,-141.006,320.834,-675.297,683.592,89.631,-39.178,12.345
0.154,-45.129,-102.901,-70.800,-5.959,57.240,-141.006,320.831,-675.297,683.594,89.630,-39.178,12.344
0.164,-45.129,-102.901,-70.800,-5.959,57.239,-141.006,320.833,-675.303,683.581,89.632,-39.177,12.343
0.174,-45.129,-102.902,-70.801,-5.959,57.239,-141.006,320.831,-675.308,683.571,89.633,-39.177,12.341
0.184,-45.129,-102.901,-70.801,-5.959,57.239,-141.006,320.828,-675.305,683.576,89.632,-39.177,12.342
0.194,-45.129,-102.901,-70.800,-5.959,57.238,-141.007,320.820,-675.306,683.582,89.632,-39.177,12.341
0.204,-45.129,-102.900,-70.800,-5.959,57.237,-141.006,320.813,-675.296,683.598,89.630,-39.178,12.342
0.214,-45.129,-102.900,-70.800,-5.959,57.238,-141.006,320.814,-675.292,683.606,89.629,-39.178,12.343
0.224,-45.129,-102.898,-70.799,-5.959,57.238,-141.006,320.803,-675.281,683.632,89.627,-39.179,12.344
0.234,-45.129,-102.897,-70.799,-5.958,57.238,-141.006,320.792,-675.269,683.657,89.624,-39.180,12.346
0.244,-45.129,-102.896,-70.799,-5.958,57.238,-141.006,320.790,-675.268,683.660,89.624,-39.181,12.346
0.254,-45.129,-102.896,-70.799,-5.958,57.238,-141.007,320.778,-675.268,683.666,89.623,-39.181,12.346
0.264,-45.130,-102.896,-70.799,-5.958,57.238,-141.007,320.772,-675.271,683.668,89.623,-39.181,12.346
0.274,-45.130,-102.896,-70.799,-5.958,57.238,-141.007,320.770,-675.270,683.671,89.623,-39.181,12.346
0.284,-45.130,-102.896,-70.799,-5.958,57.238,-141.006,320.777,-675.271,683.665,89.624,-39.181,12.346
0.294,-45.129,-102.897,-70.799,-5.959,57.239,-141.007,320.788,-675.274,683.654,89.625,-39.180,12.346
0.304,-45.129,-102.897,-70.799,-5.958,57.239,-141.007,320.792,-675.277,683.648,89.625,-39.180,12.346
0.314,-45.129,-102.898,-70.799,-5.958,57.239,-141.007,320.804,-675.280,683.638,89.626,-39.179,12.346
0.324,-45.129,-102.899,-70.799,-5.958,57.239,-141.006,320.813,-675.288,683.623,89.627,-39.179,12.345
0.335,-45.128,-102.900,-70.799,-5.958,57.239,-141.006,320.822,-675.290,683.613,89.628,-39.179,12.345
0.344,-45.128,-102.901,-70.799,-5.959,57.239,-141.006,320.834,-675.293,683.599,89.630,-39.178,12.345
0.355,-45.127,-102.902,-70.799,-5.959,57.239,-141.007,320.848,-675.296,683.587,89.631,-39.177,12.345
0.365,-45.127,-102.902,-70.800,-5.959,57.239,-141.007,320.852,-675.300,683.578,89.632,-39.176,12.344
0.374,-45.127,-102.903,-70.800,-5.959,57.239,-141.007,320.858,-675.306,683.565,89.633,-39.176,12.344
0.385,-45.127,-102.903,-70.800,-5.959,57.239,-141.007,320.860,-675.307,683.560,89.634,-39.175,12.343
0.394,-45.127,-102.903,-70.800,-5.959,57.239,-141.007,320.857,-675.308,683.561,89.633,-39.176,12.343
0.404,-45.128,-102.903,-70.800,-5.959,57.239,-141.007,320.849,-675.309,683.565,89.633,-39.176,12.343
0.414,-45.128,-102.902,-70.800,-5.959,57.239,-141.007,320.839,-675.306,683.577,89.632,-39.176,12.343
0.424,-45.129,-102.902,-70.800,-5.959,57.239,-141.007,320.834,-675.304,683.584,89.631,-39.177,12.343
0.435,-45.129,-102.901,-70.800,-5.959,57.239,-141.007,320.822,-675.299,683.598,89.630,-39.177,12.344
0.444,-45.129,-102.900,-70.799,-5.959,57.239,-141.006,320.810,-675.293,683.614,89.628,-39.179,12.344
0.454,-45.129,-102.899,-70.799,-5.958,57.239,-141.007,320.804,-675.291,683.621,89.628,-39.179,12.345
0.464,-45.130,-102.899,-70.799,-5.959,57.239,-141.006,320.799,-675.288,683.627,89.627,-39.179,12.345
0.474,-45.130,-102.898,-70.799,-5.958,57.239,-141.006,320.797,-675.287,683.632,89.627,-39.180,12.345
0.484,-45.129,-102.898,-70.799,-5.958,57.239,-141.006,320.800,-675.286,683.632,89.627,-39.180,12.345
0.494,-45.129,-102.899,-70.799,-5.959,57.239,-141.006,320.803,-675.287,683.625,89.628,-39.179,12.344
0.504,-45.129,-102.899,-70.800,-5.959,57.239,-141.006,320.814,-675.292,683.605,89.630,-39.178,12.343
0.514,-45.129,-102.900,-70.800,-5.959,57.239,-141.006,320.819,-675.297,683.596,89.631,-39.177,12.343
0.524,-45.129,-102.901,-70.800,-5.959,57.239,-141.006,320.823,-675.303,683.585,89.631,-39.177,12.342
0.533,-45.129,-102.902,-70.800,-5.959,57.239,-141.006,320.830,-675.303,683.584,89.631,-39.177,12.343
0.544,-45.128,-102.901,-70.800,-5.959,57.239,-141.006,320.835,-675.300,683.583,89.631,-39.177,12.343
0.554,-45.127,-102.901,-70.800,-5.958,57.239,-141.006,320.843,-675.295,683.591,89.630,-39.178,12.345
0.565,-45.127,-102.901,-70.799,-5.958,57.239,-141.006,320.852,-675.290,683.597,89.630,-39.178,12.346
0.574,-45.127,-102.901,-70.799,-5.959,57.240,-141.006,320.856,-675.287,683.598,89.630,-39.178,12.347
0.584,-45.126,-102.901,-70.798,-5.958,57.241,-141.006,320.871,-675.279,683.608,89.628,-39.178,12.350
0.594,-45.125,-102.901,-70.799,-5.959,57.245,-141.006,320.895,-675.274,683.601,89.630,-39.178,12.353
0.604,-45.123,-102.901,-70.799,-5.960,57.247,-141.006,320.932,-675.265,683.585,89.632,-39.177,12.355
0.615,-45.123,-102.902,-70.799,-5.960,57.248,-141.006,320.946,-675.270,683.576,89.633,-39.176,12.356
0.624,-45.121,-102.903,-70.800,-5.961,57.249,-141.006,320.978,-675.260,683.564,89.635,-39.175,12.358
0.634,-45.121,-102.903,-70.800,-5.962,57.249,-141.006,320.986,-675.266,683.551,89.637,-39.174,12.357
0.644,-45.119,-102.905,-70.802,-5.964,57.249,-141.007,321.021,-675.268,683.510,89.642,-39.172,12.356
0.654,-45.119,-102.906,-70.801,-5.964,57.247,-141.007,321.023,-675.283,683.490,89.644,-39.170,12.353
0.664,-45.119,-102.908,-70.802,-5.964,57.247,-141.007,321.033,-675.294,683.462,89.646,-39.169,12.351
0.674,-45.119,-102.910,-70.803,-5.964,57.245,-141.007,321.047,-675.312,683.424,89.650,-39.167,12.348
0.685,-45.119,-102.911,-70.802,-5.963,57.245,-141.007,321.043,-675.314,683.426,89.649,-39.168,12.347
0.694,-45.119,-102.911,-70.802,-5.963,57.244,-141.007,321.031,-675.317,683.433,89.648,-39.168,12.347
0.704,-45.119,-102.909,-70.802,-5.963,57.244,-141.007,321.022,-675.308,683.449,89.647,-39.168,12.347
0.714,-45.121,-102.908,-70.801,-5.964,57.246,-141.008,321.005,-675.303,683.472,89.645,-39.168,12.349
0.724,-45.121,-102.907,-70.800,-5.965,57.246,-141.008,320.999,-675.301,683.484,89.645,-39.169,12.349
0.734,-45.121,-102.907,-70.800,-5.965,57.247,-141.008,320.997,-675.297,683.494,89.644,-39.169,12.351
0.745,-45.123,-102.906,-70.800,-5.964,57.247,-141.007,320.974,-675.299,683.509,89.642,-39.171,12.350
0.754,-45.124,-102.906,-70.800,-5.964,57.246,-141.007,320.950,-675.303,683.519,89.641,-39.172,12.349
0.765,-45.127,-102.905,-70.800,-5.963,57.243,-141.007,320.886,-675.320,683.532,89.639,-39.173,12.343
0.775,-45.132,-102.904,-70.799,-5.961,57.238,-141.008,320.805,-675.347,683.543,89.637,-39.173,12.335
0.784,-45.136,-102.904,-70.800,-5.961,57.235,-141.008,320.747,-675.370,683.542,89.637,-39.173,12.328
0.795,-45.148,-102.905,-70.800,-5.961,57.225,-141.008,320.561,-675.453,683.529,89.638,-39.172,12.305
0.804,-45.162,-102.905,-70.800,-5.961,57.207,-141.008,320.317,-675.546,683.530,89.638,-39.172,12.273
0.814,-45.172,-102.904,-70.799,-5.961,57.197,-141.009,320.143,-675.604,683.549,89.636,-39.173,12.254
0.824,-45.204,-102.903,-70.795,-5.959,57.163,-141.010,319.595,-675.792,683.617,89.628,-39.176,12.193
0.837,-45.264,-102.898,-70.791,-5.958,57.098,-141.011,318.557,-676.144,683.722,89.618,-39.180,12.075
0.844,-45.309,-102.895,-70.788,-5.959,57.051,-141.012,317.787,-676.404,683.791,89.612,-39.183,11.987
0.854,-45.444,-102.887,-70.783,-5.959,56.920,-141.013,315.547,-677.201,683.935,89.599,-39.188,11.729
0.864,-45.644,-102.886,-70.776,-5.959,56.718,-141.016,312.252,-678.436,684.020,89.591,-39.191,11.333
0.874,-45.765,-102.887,-70.773,-5.959,56.587,-141.017,310.216,-679.197,684.042,89.590,-39.192,11.081
0.885,-46.061,-102.887,-70.770,-5.960,56.267,-141.023,305.259,-681.024,684.054,89.590,-39.189,10.465
0.894,-46.423,-102.889,-70.768,-5.961,55.857,-141.039,299.086,-683.226,684.043,89.593,-39.174,9.690
0.906,-46.625,-102.891,-70.768,-5.962,55.610,-141.051,295.566,-684.443,684.022,89.596,-39.162,9.240
0.916,-47.072,-102.896,-70.768,-5.962,55.051,-141.081,287.689,-687.083,683.944,89.605,-39.133,8.228
0.924,-47.562,-102.903,-70.769,-5.964,54.421,-141.112,278.972,-689.866,683.841,89.618,-39.099,7.100
0.938,-47.823,-102.908,-70.769,-5.966,54.088,-141.127,274.321,-691.313,683.763,89.628,-39.082,6.498
0.947,-48.360,-102.923,-70.769,-5.966,53.397,-141.147,264.763,-694.185,683.572,89.647,-39.056,5.259
0.955,-48.910,-102.938,-70.769,-5.964,52.715,-141.151,255.043,-696.956,683.394,89.662,-39.048,4.017
0.964,-49.228,-102.947,-70.767,-5.964,52.331,-141.150,249.463,-698.492,683.288,89.672,-39.046,3.308
0.976,-49.732,-102.962,-70.765,-5.963,51.753,-141.151,240.748,-700.811,683.123,89.687,-39.041,2.218
