t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.127,-102.896,-70.818,-5.958,57.241,-141.001,320.847,-675.282,683.462,89.644,-39.176,12.338
0.014,-45.127,-102.895,-70.818,-5.958,57.241,-141.001,320.845,-675.279,683.467,89.644,-39.176,12.339
0.024,-45.127,-102.895,-70.818,-5.958,57.241,-141.001,320.849,-675.278,683.467,89.644,-39.176,12.339
0.035,-45.127,-102.896,-70.819,-5.958,57.241,-141.001,320.854,-675.279,683.460,89.644,-39.176,12.338
0.045,-45.126,-102.896,-70.819,-5.958,57.241,-141.001,320.857,-675.279,683.457,89.645,-39.176,12.338
0.055,-45.126,-102.896,-70.818,-5.958,57.241,-141.001,320.856,-675.278,683.462,89.644,-39.176,12.339
0.065,-45.126,-102.896,-70.818,-5.958,57.241,-141.001,320.861,-675.279,683.456,89.645,-39.175,12.339
0.074,-45.126,-102.896,-70.819,-5.958,57.241,-141.001,320.860,-675.280,683.453,89.645,-39.175,12.338
0.085,-45.126,-102.896,-70.818,-5.958,57.241,-141.001,320.859,-675.280,683.458,89.644,-39.176,12.339
0.095,-45.126,-102.896,-70.819,-5.958,57.241,-141.001,320.859,-675.282,683.453,89.645,-39.176,12.338
0.105,-45.127,-102.896,-70.819,-5.958,57.241,-141.001,320.860,-675.284,683.448,89.646,-39.175,12.338
0.114,-45.127,-102.897,-70.819,-5.959,57.241,-141.001,320.861,-675.288,683.441,89.647,-39.175,12.337
0.125,-45.127,-102.897,-70.819,-5.958,57.241,-141.001,320.858,-675.289,683.440,89.646,-39.175,12.337
0.135,-45.127,-102.897,-70.819,-5.958,57.241,-141.001,320.858,-675.291,683.440,89.646,-39.175,12.337
0.145,-45.127,-102.897,-70.819,-5.959,57.241,-141.001,320.858,-675.291,683.439,89.647,-39.175,12.337
0.154,-45.127,-102.897,-70.819,-5.959,57.241,-141.001,320.858,-675.292,683.437,89.647,-39.175,12.336
0.165,-45.127,-102.897,-70.819,-5.959,57.241,-141.001,320.853,-675.293,683.439,89.647,-39.175,12.336
0.175,-45.127,-102.897,-70.819,-5.959,57.241,-141.001,320.860,-675.290,683.437,89.647,-39.175,12.337
