t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.130,-102.896,-70.810,-6.004,57.236,-141.012,320.830,-675.340,683.370,89.685,-39.145,12.305
0.016,-45.126,-102.898,-70.811,-6.004,57.236,-141.012,320.894,-675.332,683.337,89.689,-39.143,12.307
0.025,-45.123,-102.900,-70.812,-6.004,57.237,-141.012,320.933,-675.331,683.311,89.691,-39.142,12.308
0.036,-45.123,-102.900,-70.812,-6.004,57.236,-141.012,320.948,-675.332,683.296,89.692,-39.141,12.308
0.045,-45.121,-102.902,-70.812,-6.004,57.237,-141.012,320.975,-675.332,683.283,89.694,-39.141,12.309
0.056,-45.121,-102.902,-70.812,-6.004,57.237,-141.012,320.976,-675.333,683.280,89.694,-39.141,12.308
0.066,-45.121,-102.902,-70.812,-6.004,57.237,-141.012,320.972,-675.333,683.284,89.694,-39.141,12.308
0.075,-45.122,-102.901,-70.812,-6.004,57.237,-141.012,320.961,-675.333,683.292,89.693,-39.141,12.308
0.086,-45.124,-102.901,-70.812,-6.004,57.237,-141.011,320.936,-675.339,683.298,89.692,-39.142,12.307
0.096,-45.124,-102.900,-70.812,-6.004,57.237,-141.012,320.927,-675.340,683.304,89.692,-39.142,12.307
0.105,-45.126,-102.900,-70.812,-6.004,57.237,-141.011,320.901,-675.345,683.313,89.691,-39.143,12.305
0.115,-45.128,-102.899,-70.812,-6.004,57.237,-141.012,320.874,-675.353,683.318,89.690,-39.142,12.304
0.125,-45.129,-102.899,-70.811,-6.004,57.237,-141.011,320.860,-675.356,683.324,89.690,-39.143,12.303
0.136,-45.130,-102.898,-70.811,-6.004,57.237,-141.011,320.841,-675.352,683.343,89.688,-39.144,12.303
0.146,-45.130,-102.897,-70.811,-6.004,57.237,-141.012,320.834,-675.348,683.353,89.687,-39.144,12.304
0.155,-45.130,-102.897,-70.811,-6.004,57.237,-141.012,320.838,-675.346,683.355,89.687,-39.144,12.304
0.166,-45.129,-102.897,-70.811,-6.004,57.237,-141.012,320.843,-675.341,683.358,89.687,-39.144,12.305
0.176,-45.128,-102.897,-70.811,-6.003,57.237,-141.011,320.862,-675.338,683.352,89.687,-39.144,12.306
0.186,-45.127,-102.898,-70.811,-6.004,57.237,-141.011,320.871,-675.338,683.344,89.688,-39.144,12.306
0.195,-45.126,-102.898,-70.811,-6.004,57.237,-141.012,320.888,-675.337,683.335,89.689,-39.143,12.306
0.206,-45.125,-102.899,-70.811,-6.004,57.237,-141.011,320.904,-675.336,683.325,89.690,-39.143,12.307
0.216,-45.125,-102.899,-70.811,-6.004,57.237,-141.011,320.914,-675.333,683.322,89.690,-39.143,12.307
0.226,-45.124,-102.900,-70.812,-6.004,57.237,-141.012,320.926,-675.333,683.313,89.691,-39.142,12.308
0.236,-45.124,-102.900,-70.811,-6.004,57.237,-141.012,320.927,-675.332,683.316,89.690,-39.142,12.308
0.245,-45.124,-102.900,-70.812,-6.004,57.237,-141.012,320.927,-675.332,683.313,89.691,-39.142,12.308
0.255,-45.124,-102.900,-70.811,-6.004,57.237,-141.011,320.924,-675.335,683.314,89.691,-39.143,12.308
0.266,-45.125,-102.899,-70.812,-6.004,57.237,-141.012,320.908,-675.339,683.316,89.690,-39.142,12.307
0.276,-45.126,-102.899,-70.811,-6.004,57.237,-141.011,320.899,-675.344,683.317,89.690,-39.143,12.306
0.285,-45.128,-102.899,-70.811,-6.003,57.237,-141.012,320.879,-675.349,683.326,89.689,-39.143,12.305
0.296,-45.129,-102.899,-70.811,-6.004,57.237,-141.012,320.864,-675.353,683.327,89.689,-39.143,12.304
0.306,-45.129,-102.898,-70.811,-6.004,57.237,-141.012,320.854,-675.353,683.333,89.689,-39.143,12.303
0.316,-45.130,-102.898,-70.811,-6.004,57.237,-141.012,320.841,-675.353,683.342,89.688,-39.144,12.303
0.326,-45.130,-102.897,-70.811,-6.004,57.236,-141.012,320.836,-675.350,683.351,89.687,-39.144,12.303
0.335,-45.130,-102.897,-70.811,-6.004,57.237,-141.012,320.836,-675.346,683.357,89.687,-39.144,12.304
0.345,-45.130,-102.896,-70.810,-6.003,57.237,-141.012,320.836,-675.342,683.365,89.686,-39.145,12.305
0.355,-45.129,-102.897,-70.811,-6.003,57.237,-141.012,320.848,-675.338,683.361,89.686,-39.145,12.306
0.365,-45.128,-102.897,-70.811,-6.003,57.237,-141.012,320.854,-675.337,683.359,89.686,-39.145,12.306
0.376,-45.127,-102.897,-70.811,-6.003,57.237,-141.012,320.867,-675.332,683.358,89.686,-39.145,12.307
0.385,-45.126,-102.898,-70.811,-6.003,57.237,-141.012,320.883,-675.331,683.346,89.687,-39.144,12.307
0.395,-45.126,-102.898,-70.811,-6.003,57.237,-141.012,320.894,-675.330,683.340,89.688,-39.144,12.308
0.405,-45.125,-102.898,-70.811,-6.003,57.237,-141.012,320.903,-675.330,683.333,89.689,-39.143,12.308
0.416,-45.125,-102.898,-70.811,-6.003,57.237,-141.012,320.911,-675.328,683.332,89.689,-39.143,12.308
0.425,-45.125,-102.899,-70.812,-6.003,57.237,-141.011,320.912,-675.332,683.324,89.690,-39.143,12.308
0.435,-45.125,-102.899,-70.812,-6.004,57.237,-141.012,320.913,-675.333,683.319,89.690,-39.143,12.307
0.445,-45.125,-102.899,-70.812,-6.003,57.237,-141.012,320.911,-675.336,683.319,89.690,-39.143,12.307
0.455,-45.125,-102.899,-70.812,-6.003,57.237,-141.012,320.908,-675.338,683.318,89.690,-39.143,12.307
0.465,-45.126,-102.900,-70.812,-6.003,57.237,-141.012,320.901,-675.344,683.313,89.691,-39.142,12.306
0.476,-45.127,-102.900,-70.812,-6.003,57.237,-141.012,320.891,-675.349,683.313,89.691,-39.142,12.305
0.485,-45.127,-102.900,-70.812,-6.003,57.237,-141.012,320.891,-675.351,683.311,89.691,-39.142,12.305
0.495,-45.128,-102.900,-70.812,-6.003,57.237,-141.012,320.880,-675.354,683.314,89.690,-39.143,12.304
0.505,-45.128,-102.900,-70.812,-6.003,57.237,-141.012,320.877,-675.356,683.313,89.691,-39.142,12.304
0.515,-45.129,-102.900,-70.812,-6.004,57.237,-141.012,320.872,-675.359,683.312,89.691,-39.142,12.303
0.525,-45.129,-102.899,-70.812,-6.003,57.237,-141.012,320.869,-675.356,683.319,89.690,-39.143,12.303
0.536,-45.129,-102.899,-70.811,-6.003,57.237,-141.012,320.867,-675.354,683.324,89.689,-39.143,12.304
0.545,-45.129,-102.899,-70.812,-6.003,57.236,-141.011,320.868,-675.356,683.319,89.690,-39.143,12.303
0.556,-45.128,-102.899,-70.812,-6.003,57.236,-141.011,320.872,-675.353,683.320,89.690,-39.144,12.304
0.565,-45.128,-102.899,-70.812,-6.003,57.237,-141.011,320.874,-675.351,683.322,89.690,-39.144,12.304
0.575,-45.128,-102.899,-70.811,-6.003,57.237,-141.011,320.873,-675.350,683.326,89.689,-39.144,12.304
0.585,-45.128,-102.899,-70.811,-6.003,57.237,-141.012,320.874,-675.349,683.327,89.689,-39.143,12.305
0.595,-45.127,-102.899,-70.812,-6.003,57.236,-141.011,320.879,-675.345,683.328,89.689,-39.143,12.305
0.605,-45.127,-102.899,-70.812,-6.003,57.236,-141.011,320.879,-675.346,683.326,89.689,-39.143,12.305
0.616,-45.127,-102.898,-70.812,-6.003,57.236,-141.011,320.879,-675.343,683.329,89.689,-39.143,12.305
0.625,-45.127,-102.899,-70.812,-6.003,57.236,-141.011,320.884,-675.346,683.320,89.690,-39.143,12.305
0.635,-45.127,-102.899,-70.812,-6.003,57.236,-141.011,320.888,-675.347,683.314,89.690,-39.143,12.305
0.645,-45.127,-102.900,-70.812,-6.003,57.236,-141.011,320.886,-675.351,683.312,89.691,-39.143,12.304
0.655,-45.127,-102.900,-70.812,-6.003,57.236,-141.011,320.887,-675.355,683.305,89.691,-39.142,12.303
0.665,-45.127,-102.900,-70.812,-6.003,57.236,-141.011,320.884,-675.354,683.310,89.691,-39.143,12.304
0.675,-45.128,-102.900,-70.812,-6.003,57.236,-141.011,320.881,-675.355,683.308,89.691,-39.143,12.303
0.685,-45.128,-102.900,-70.812,-6.003,57.236,-141.011,320.876,-675.356,683.309,89.691,-39.142,12.302
0.695,-45.128,-102.900,-70.812,-6.003,57.235,-141.012,320.876,-675.357,683.307,89.691,-39.142,12.302
0.706,-45.128,-102.900,-70.812,-6.003,57.235,-141.011,320.867,-675.362,683.307,89.691,-39.143,12.301
0.715,-45.129,-102.900,-70.812,-6.003,57.234,-141.011,320.867,-675.366,683.296,89.692,-39.142,12.300
0.726,-45.129,-102.900,-70.813,-6.003,57.234,-141.012,320.863,-675.368,683.294,89.692,-39.141,12.299
0.735,-45.129,-102.900,-70.813,-6.003,57.233,-141.012,320.862,-675.370,683.292,89.693,-39.141,12.298
0.745,-45.129,-102.900,-70.813,-6.003,57.233,-141.011,320.856,-675.372,683.293,89.692,-39.142,12.298
0.755,-45.129,-102.900,-70.813,-6.003,57.233,-141.012,320.853,-675.371,683.295,89.692,-39.141,12.298
0.765,-45.129,-102.900,-70.812,-6.003,57.232,-141.012,320.851,-675.367,683.302,89.691,-39.141,12.298
0.776,-45.129,-102.899,-70.812,-6.003,57.232,-141.012,320.843,-675.362,683.314,89.690,-39.142,12.298
0.785,-45.129,-102.899,-70.812,-6.003,57.231,-141.012,320.842,-675.360,683.319,89.690,-39.142,12.298
0.795,-45.129,-102.898,-70.812,-6.003,57.231,-141.012,320.830,-675.359,683.330,89.689,-39.143,12.298
0.805,-45.129,-102.898,-70.812,-6.003,57.229,-141.012,320.817,-675.357,683.337,89.688,-39.143,12.296
0.816,-45.129,-102.898,-70.812,-6.003,57.228,-141.012,320.807,-675.358,683.340,89.688,-39.143,12.295
0.825,-45.130,-102.898,-70.812,-6.002,57.225,-141.012,320.787,-675.363,683.341,89.687,-39.143,12.292
0.835,-45.131,-102.898,-70.812,-6.002,57.221,-141.012,320.759,-675.375,683.336,89.688,-39.143,12.287
0.845,-45.132,-102.898,-70.812,-6.002,57.219,-141.012,320.740,-675.379,683.339,89.688,-39.143,12.284
