t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.866,-675.331,683.421,89.654,-39.158,12.331
0.012,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.869,-675.331,683.420,89.654,-39.158,12.331
0.022,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.333,683.418,89.654,-39.158,12.331
0.031,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.869,-675.331,683.420,89.654,-39.158,12.331
0.042,-45.128,-102.902,-70.812,-5.967,57.241,-141.014,320.871,-675.331,683.419,89.654,-39.158,12.331
0.052,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.872,-675.334,683.413,89.654,-39.158,12.331
0.062,-45.129,-102.902,-70.812,-5.967,57.242,-141.014,320.872,-675.333,683.415,89.654,-39.158,12.331
0.072,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.871,-675.333,683.415,89.654,-39.158,12.331
0.081,-45.129,-102.902,-70.813,-5.967,57.241,-141.014,320.874,-675.336,683.408,89.655,-39.158,12.330
0.091,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.873,-675.335,683.412,89.655,-39.158,12.331
0.102,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.335,683.412,89.655,-39.158,12.330
0.112,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.335,683.415,89.654,-39.158,12.331
0.122,-45.129,-102.902,-70.812,-5.967,57.242,-141.014,320.872,-675.336,683.412,89.655,-39.158,12.331
0.132,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.871,-675.332,683.417,89.654,-39.158,12.331
0.142,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.871,-675.333,683.415,89.654,-39.158,12.331
0.152,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.869,-675.331,683.422,89.654,-39.158,12.331
0.162,-45.128,-102.902,-70.812,-5.967,57.242,-141.014,320.871,-675.329,683.422,89.654,-39.158,12.332
0.171,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.331,683.419,89.654,-39.158,12.331
0.182,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.331,683.419,89.654,-39.158,12.331
0.191,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.332,683.417,89.654,-39.158,12.331
0.202,-45.128,-102.902,-70.812,-5.967,57.241,-141.014,320.871,-675.331,683.417,89.654,-39.158,12.331
0.212,-45.129,-102.902,-70.812,-5.967,57.241,-141.014,320.870,-675.332,683.417,89.654,-39.158,12.331
0.222,-45.129,-102.902,-70.813,-5.967,57.241,-141.014,320.871,-675.334,683.411,89.655,-39.158,12.330
0.232,-45.129,-102.902,-70.813,-5.967,57.241,-141.014,320.866,-675.340,683.403,89.656,-39.157,12.329
0.242,-45.129,-102.903,-70.813,-5.967,57.241,-141.014,320.868,-675.343,683.396,89.656,-39.157,12.328
0.252,-45.130,-102.903,-70.814,-5.967,57.241,-141.014,320.865,-675.349,683.388,89.657,-39.157,12.327
0.262,-45.130,-102.903,-70.814,-5.967,57.241,-141.014,320.860,-675.351,683.389,89.657,-39.157,12.327
0.272,-45.130,-102.903,-70.813,-5.967,57.241,-141.014,320.858,-675.350,683.392,89.657,-39.157,12.327
0.281,-45.130,-102.903,-70.813,-5.967,57.241,-141.014,320.858,-675.347,683.400,89.656,-39.157,12.328
0.291,-45.130,-102.902,-70.813,-5.967,57.241,-141.014,320.854,-675.345,683.408,89.655,-39.158,12.328
0.301,-45.130,-102.902,-70.813,-5.967,57.241,-141.014,320.857,-675.342,683.410,89.655,-39.158,12.329
0.312,-45.130,-102.902,-70.812,-5.967,57.241,-141.014,320.856,-675.341,683.413,89.655,-39.158,12.329
0.321,-45.130,-102.902,-70.813,-5.967,57.241,-141.014,320.855,-675.345,683.405,89.655,-39.157,12.328
0.332,-45.130,-102.903,-70.813,-5.967,57.241,-141.014,320.861,-675.346,683.400,89.656,-39.157,12.328
0.342,-45.130,-102.903,-70.813,-5.967,57.241,-141.014,320.863,-675.347,683.393,89.657,-39.157,12.327
0.352,-45.129,-102.903,-70.814,-5.968,57.241,-141.014,320.877,-675.344,683.385,89.658,-39.156,12.328
0.362,-45.129,-102.903,-70.814,-5.968,57.242,-141.014,320.882,-675.343,683.385,89.658,-39.156,12.329
0.371,-45.128,-102.903,-70.813,-5.968,57.241,-141.014,320.885,-675.337,683.393,89.657,-39.157,12.329
0.381,-45.128,-102.902,-70.813,-5.968,57.241,-141.014,320.883,-675.335,683.400,89.656,-39.157,12.330
0.391,-45.128,-102.902,-70.813,-5.968,57.241,-141.014,320.878,-675.335,683.402,89.656,-39.157,12.330
0.401,-45.128,-102.902,-70.813,-5.968,57.241,-141.014,320.875,-675.335,683.405,89.656,-39.158,12.330
0.412,-45.129,-102.903,-70.814,-5.968,57.241,-141.014,320.872,-675.344,683.389,89.658,-39.156,12.327
0.422,-45.129,-102.903,-70.814,-5.969,57.241,-141.014,320.869,-675.350,683.379,89.659,-39.156,12.326
0.432,-45.130,-102.904,-70.814,-5.969,57.241,-141.014,320.870,-675.364,683.356,89.662,-39.155,12.324
0.442,-45.131,-102.906,-70.816,-5.970,57.241,-141.014,320.879,-675.382,683.319,89.666,-39.153,12.321
0.452,-45.131,-102.907,-70.816,-5.970,57.241,-141.014,320.880,-675.388,683.308,89.667,-39.152,12.320
0.462,-45.131,-102.907,-70.817,-5.970,57.242,-141.014,320.891,-675.393,683.290,89.669,-39.151,12.319
0.472,-45.131,-102.908,-70.817,-5.971,57.242,-141.014,320.902,-675.395,683.281,89.670,-39.150,12.319
0.482,-45.130,-102.908,-70.817,-5.971,57.243,-141.014,320.909,-675.395,683.276,89.670,-39.150,12.320
0.492,-45.130,-102.909,-70.817,-5.971,57.243,-141.014,320.925,-675.398,683.265,89.671,-39.150,12.320
0.502,-45.129,-102.910,-70.817,-5.972,57.243,-141.014,320.949,-675.401,683.242,89.674,-39.148,12.320
0.511,-45.128,-102.912,-70.818,-5.972,57.244,-141.014,320.968,-675.406,683.222,89.676,-39.148,12.320
0.522,-45.126,-102.914,-70.818,-5.972,57.244,-141.014,321.010,-675.407,683.191,89.679,-39.146,12.321
0.532,-45.123,-102.916,-70.819,-5.973,57.244,-141.014,321.061,-675.405,683.159,89.682,-39.144,12.322
0.542,-45.121,-102.916,-70.819,-5.973,57.244,-141.014,321.081,-675.401,683.146,89.684,-39.143,12.322
0.552,-45.117,-102.916,-70.820,-5.973,57.245,-141.014,321.136,-675.382,683.136,89.685,-39.143,12.326
0.562,-45.113,-102.916,-70.820,-5.973,57.245,-141.014,321.183,-675.360,683.134,89.685,-39.143,12.330
0.572,-45.112,-102.916,-70.820,-5.973,57.245,-141.014,321.197,-675.347,683.145,89.684,-39.143,12.333
0.582,-45.111,-102.915,-70.819,-5.973,57.246,-141.014,321.207,-675.335,683.158,89.683,-39.144,12.335
0.592,-45.110,-102.914,-70.819,-5.973,57.245,-141.014,321.203,-675.328,683.170,89.681,-39.144,12.336
0.602,-45.110,-102.914,-70.819,-5.973,57.246,-141.014,321.200,-675.324,683.179,89.681,-39.145,12.336
0.612,-45.111,-102.914,-70.819,-5.973,57.246,-141.014,321.193,-675.326,683.182,89.680,-39.145,12.336
0.621,-45.112,-102.914,-70.819,-5.973,57.246,-141.014,321.185,-675.329,683.181,89.681,-39.145,12.336
0.631,-45.112,-102.914,-70.819,-5.973,57.246,-141.015,321.183,-675.330,683.181,89.681,-39.144,12.335
0.642,-45.113,-102.914,-70.819,-5.973,57.246,-141.014,321.164,-675.339,683.179,89.681,-39.144,12.333
0.652,-45.114,-102.914,-70.819,-5.973,57.246,-141.015,321.151,-675.344,683.184,89.680,-39.145,12.333
0.662,-45.115,-102.914,-70.819,-5.973,57.246,-141.015,321.148,-675.346,683.182,89.680,-39.144,12.333
0.672,-45.115,-102.913,-70.818,-5.973,57.246,-141.015,321.148,-675.341,683.195,89.679,-39.145,12.334
0.682,-45.114,-102.913,-70.818,-5.973,57.246,-141.015,321.150,-675.338,683.198,89.679,-39.145,12.334
0.692,-45.114,-102.913,-70.818,-5.973,57.246,-141.015,321.159,-675.336,683.194,89.679,-39.145,12.335
0.702,-45.113,-102.913,-70.818,-5.974,57.246,-141.015,321.170,-675.335,683.186,89.681,-39.143,12.334
0.712,-45.112,-102.916,-70.819,-5.976,57.246,-141.016,321.199,-675.348,683.141,89.686,-39.140,12.332
0.722,-45.111,-102.916,-70.820,-5.976,57.246,-141.017,321.211,-675.351,683.126,89.688,-39.139,12.332
0.732,-45.110,-102.919,-70.821,-5.979,57.248,-141.017,321.262,-675.360,683.072,89.695,-39.135,12.330
0.742,-45.105,-102.922,-70.821,-5.982,57.248,-141.017,321.338,-675.362,683.017,89.702,-39.131,12.330
0.752,-45.102,-102.925,-70.822,-5.982,57.248,-141.017,321.397,-675.362,682.978,89.706,-39.129,12.332
0.762,-45.093,-102.930,-70.821,-5.985,57.248,-141.019,321.543,-675.351,682.904,89.714,-39.124,12.335
0.772,-45.084,-102.939,-70.821,-5.986,57.246,-141.021,321.698,-675.360,682.795,89.725,-39.116,12.335
0.782,-45.082,-102.943,-70.822,-5.988,57.244,-141.022,321.741,-675.380,682.736,89.732,-39.112,12.331
0.792,-45.086,-102.951,-70.824,-5.995,57.234,-141.030,321.715,-675.478,682.582,89.751,-39.094,12.305
0.802,-45.094,-102.963,-70.830,-6.011,57.206,-141.048,321.591,-675.655,682.314,89.787,-39.058,12.246
0.812,-45.103,-102.973,-70.836,-6.026,57.172,-141.065,321.416,-675.829,682.071,89.821,-39.025,12.181
0.822,-45.127,-102.991,-70.847,-6.054,57.069,-141.094,320.823,-676.220,681.629,89.883,-38.964,12.016
