t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.131,-102.895,-70.833,-5.998,57.235,-141.017,320.838,-675.370,683.158,89.703,-39.130,12.291
0.012,-45.130,-102.895,-70.833,-5.998,57.235,-141.017,320.847,-675.366,683.160,89.703,-39.130,12.292
0.022,-45.129,-102.896,-70.833,-5.998,57.235,-141.017,320.855,-675.368,683.152,89.704,-39.130,12.292
0.031,-45.129,-102.896,-70.834,-5.998,57.235,-141.018,320.857,-675.370,683.145,89.705,-39.129,12.292
0.042,-45.130,-102.897,-70.834,-5.998,57.235,-141.018,320.860,-675.376,683.135,89.706,-39.129,12.291
0.052,-45.130,-102.897,-70.834,-5.998,57.235,-141.018,320.863,-675.379,683.129,89.706,-39.129,12.291
0.062,-45.130,-102.898,-70.834,-5.998,57.235,-141.017,320.865,-675.383,683.118,89.707,-39.128,12.290
0.072,-45.130,-102.898,-70.834,-5.998,57.234,-141.017,320.865,-675.387,683.112,89.708,-39.128,12.289
0.082,-45.130,-102.897,-70.834,-5.998,57.234,-141.017,320.860,-675.383,683.124,89.706,-39.129,12.290
0.091,-45.130,-102.897,-70.834,-5.998,57.234,-141.017,320.850,-675.383,683.130,89.706,-39.129,12.289
0.101,-45.130,-102.896,-70.834,-5.998,57.235,-141.017,320.848,-675.379,683.139,89.705,-39.130,12.290
0.112,-45.131,-102.896,-70.833,-5.998,57.234,-141.017,320.831,-675.379,683.150,89.704,-39.130,12.290
0.121,-45.131,-102.896,-70.834,-5.998,57.234,-141.017,320.827,-675.380,683.148,89.704,-39.130,12.289
0.131,-45.132,-102.896,-70.835,-5.998,57.234,-141.017,320.822,-675.386,683.137,89.706,-39.129,12.287
0.142,-45.133,-102.897,-70.835,-5.999,57.234,-141.017,320.823,-675.396,683.116,89.708,-39.128,12.285
0.151,-45.133,-102.897,-70.835,-5.998,57.234,-141.017,320.820,-675.398,683.115,89.708,-39.128,12.285
0.162,-45.133,-102.897,-70.835,-5.998,57.234,-141.017,320.820,-675.396,683.121,89.707,-39.129,12.286
0.172,-45.133,-102.896,-70.835,-5.998,57.234,-141.017,320.816,-675.390,683.133,89.706,-39.129,12.286
0.181,-45.132,-102.895,-70.835,-5.998,57.234,-141.017,320.815,-675.385,683.141,89.705,-39.130,12.287
0.192,-45.132,-102.895,-70.834,-5.998,57.234,-141.017,320.817,-675.373,683.164,89.703,-39.131,12.290
0.202,-45.131,-102.894,-70.833,-5.998,57.234,-141.017,320.816,-675.371,683.168,89.702,-39.131,12.290
0.211,-45.131,-102.894,-70.833,-5.998,57.234,-141.017,320.820,-675.369,683.168,89.702,-39.131,12.290
0.222,-45.131,-102.895,-70.834,-5.997,57.234,-141.017,320.821,-675.376,683.156,89.703,-39.131,12.289
0.231,-45.131,-102.896,-70.834,-5.998,57.234,-141.017,320.826,-675.380,683.146,89.705,-39.130,12.288
0.242,-45.132,-102.896,-70.835,-5.998,57.234,-141.017,320.827,-675.385,683.133,89.706,-39.129,12.287
0.252,-45.132,-102.897,-70.836,-5.998,57.234,-141.017,320.830,-675.398,683.109,89.708,-39.129,12.285
0.261,-45.133,-102.898,-70.836,-5.998,57.234,-141.017,320.827,-675.408,683.096,89.709,-39.128,12.284
0.272,-45.133,-102.898,-70.836,-5.998,57.234,-141.017,320.824,-675.408,683.099,89.709,-39.128,12.284
0.281,-45.134,-102.897,-70.835,-5.998,57.234,-141.017,320.810,-675.407,683.111,89.708,-39.128,12.284
0.292,-45.135,-102.897,-70.835,-5.998,57.233,-141.017,320.791,-675.408,683.127,89.706,-39.129,12.284
0.301,-45.135,-102.896,-70.834,-5.997,57.233,-141.017,320.784,-675.407,683.134,89.705,-39.130,12.284
