t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.009,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.945,-675.327,683.306,89.705,-39.129,12.299
0.018,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.942,-675.324,683.313,89.704,-39.130,12.300
0.029,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.943,-675.325,683.311,89.704,-39.130,12.299
0.039,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.322,683.312,89.704,-39.130,12.300
0.049,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.949,-675.321,683.312,89.704,-39.130,12.300
0.059,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.949,-675.320,683.314,89.704,-39.130,12.300
0.069,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.951,-675.321,683.312,89.704,-39.130,12.300
0.078,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.949,-675.320,683.313,89.704,-39.130,12.300
0.088,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.950,-675.318,683.317,89.704,-39.130,12.301
0.099,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.950,-675.321,683.313,89.704,-39.130,12.300
0.109,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.948,-675.323,683.311,89.704,-39.130,12.300
0.119,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.945,-675.323,683.314,89.704,-39.130,12.300
0.129,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.325,683.308,89.705,-39.129,12.299
0.139,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.328,683.303,89.705,-39.129,12.299
0.149,-45.122,-102.898,-70.807,-6.022,57.235,-141.017,320.947,-675.326,683.306,89.705,-39.130,12.299
0.159,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.945,-675.331,683.300,89.705,-39.129,12.298
0.169,-45.122,-102.898,-70.807,-6.022,57.235,-141.017,320.944,-675.329,683.305,89.705,-39.130,12.299
0.179,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.328,683.303,89.705,-39.129,12.299
0.189,-45.122,-102.898,-70.807,-6.022,57.235,-141.017,320.946,-675.329,683.303,89.705,-39.129,12.299
0.199,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.328,683.305,89.705,-39.129,12.299
0.209,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.948,-675.326,683.306,89.705,-39.129,12.299
0.218,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.950,-675.324,683.305,89.705,-39.130,12.300
0.228,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.952,-675.325,683.306,89.705,-39.130,12.300
0.239,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.950,-675.323,683.311,89.704,-39.130,12.300
0.249,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.952,-675.322,683.311,89.704,-39.130,12.300
0.259,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.950,-675.318,683.318,89.703,-39.130,12.301
0.269,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.948,-675.318,683.318,89.703,-39.130,12.301
0.279,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.948,-675.319,683.318,89.703,-39.130,12.301
0.289,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.946,-675.320,683.319,89.703,-39.130,12.301
0.299,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.946,-675.318,683.321,89.703,-39.131,12.301
0.309,-45.122,-102.898,-70.807,-6.022,57.235,-141.017,320.945,-675.321,683.318,89.703,-39.130,12.301
0.319,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.945,-675.322,683.314,89.704,-39.130,12.300
0.328,-45.122,-102.898,-70.807,-6.022,57.235,-141.017,320.944,-675.323,683.315,89.704,-39.130,12.300
0.339,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.943,-675.324,683.313,89.704,-39.130,12.300
0.349,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.944,-675.325,683.311,89.704,-39.130,12.300
0.359,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.944,-675.327,683.307,89.704,-39.130,12.299
0.369,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.945,-675.328,683.307,89.704,-39.130,12.300
0.379,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.945,-675.330,683.302,89.705,-39.129,12.299
0.389,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.949,-675.329,683.303,89.705,-39.129,12.299
0.399,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.949,-675.330,683.300,89.705,-39.129,12.299
0.409,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.951,-675.328,683.303,89.705,-39.129,12.299
0.419,-45.122,-102.899,-70.807,-6.022,57.235,-141.018,320.949,-675.327,683.307,89.704,-39.130,12.299
0.428,-45.121,-102.899,-70.807,-6.022,57.235,-141.018,320.953,-675.326,683.305,89.705,-39.129,12.300
0.439,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.953,-675.323,683.309,89.704,-39.130,12.300
0.449,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.952,-675.323,683.307,89.705,-39.129,12.300
0.459,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.949,-675.323,683.309,89.704,-39.130,12.300
0.469,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.950,-675.321,683.312,89.704,-39.130,12.300
0.479,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.949,-675.321,683.313,89.704,-39.130,12.300
0.489,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.949,-675.321,683.312,89.704,-39.130,12.300
0.499,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.950,-675.323,683.309,89.704,-39.130,12.300
0.509,-45.121,-102.898,-70.807,-6.022,57.235,-141.017,320.950,-675.323,683.310,89.704,-39.130,12.300
0.519,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.947,-675.323,683.311,89.704,-39.130,12.300
0.529,-45.122,-102.898,-70.807,-6.022,57.235,-141.018,320.949,-675.325,683.306,89.705,-39.129,12.300
0.538,-45.121,-102.898,-70.807,-6.022,57.235,-141.018,320.953,-675.323,683.307,89.704,-39.130,12.300
0.548,-45.121,-102.899,-70.807,-6.022,57.235,-141.018,320.954,-675.327,683.298,89.706,-39.129,12.299
0.559,-45.121,-102.899,-70.807,-6.022,57.235,-141.017,320.957,-675.330,683.294,89.706,-39.129,12.299
0.569,-45.122,-102.899,-70.808,-6.022,57.235,-141.017,320.955,-675.331,683.293,89.706,-39.129,12.299
0.578,-45.121,-102.899,-70.808,-6.022,57.235,-141.018,320.961,-675.331,683.288,89.707,-39.128,12.299
0.588,-45.121,-102.900,-70.808,-6.022,57.235,-141.017,320.960,-675.334,683.283,89.707,-39.128,12.298
0.599,-45.121,-102.899,-70.808,-6.022,57.235,-141.017,320.962,-675.332,683.284,89.707,-39.129,12.299
0.608,-45.121,-102.899,-70.808,-6.022,57.235,-141.017,320.962,-675.331,683.288,89.707,-39.129,12.299
0.619,-45.122,-102.899,-70.808,-6.022,57.235,-141.017,320.958,-675.334,683.286,89.707,-39.129,12.298
0.629,-45.122,-102.899,-70.808,-6.022,57.235,-141.017,320.955,-675.332,683.290,89.706,-39.129,12.298
0.639,-45.122,-102.899,-70.808,-6.022,57.235,-141.017,320.949,-675.336,683.288,89.707,-39.129,12.298
0.648,-45.123,-102.899,-70.808,-6.022,57.235,-141.018,320.942,-675.338,683.289,89.706,-39.129,12.297
0.659,-45.123,-102.899,-70.808,-6.022,57.235,-141.018,320.941,-675.337,683.292,89.706,-39.129,12.297
0.669,-45.123,-102.898,-70.807,-6.022,57.235,-141.017,320.931,-675.336,683.301,89.705,-39.129,12.297
0.679,-45.124,-102.898,-70.807,-6.022,57.235,-141.018,320.919,-675.339,683.305,89.705,-39.129,12.297
0.689,-45.124,-102.898,-70.807,-6.022,57.235,-141.018,320.915,-675.340,683.308,89.705,-39.129,12.297
0.699,-45.125,-102.898,-70.807,-6.022,57.235,-141.018,320.909,-675.341,683.310,89.704,-39.130,12.296
0.709,-45.125,-102.898,-70.807,-6.022,57.234,-141.017,320.900,-675.344,683.312,89.704,-39.130,12.295
0.718,-45.125,-102.898,-70.807,-6.022,57.235,-141.018,320.900,-675.346,683.307,89.705,-39.129,12.295
