t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.129,-102.895,-70.802,-6.005,57.235,-141.012,320.813,-675.318,683.467,89.677,-39.149,12.309
0.014,-45.129,-102.895,-70.802,-6.006,57.235,-141.011,320.813,-675.318,683.466,89.677,-39.149,12.309
0.023,-45.129,-102.895,-70.802,-6.006,57.235,-141.012,320.814,-675.322,683.459,89.678,-39.149,12.309
0.034,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.815,-675.326,683.453,89.679,-39.148,12.308
0.043,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.817,-675.328,683.449,89.679,-39.148,12.308
0.054,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.822,-675.326,683.447,89.679,-39.148,12.308
0.065,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.824,-675.328,683.445,89.679,-39.148,12.308
0.075,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.827,-675.328,683.442,89.680,-39.148,12.308
0.083,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.829,-675.328,683.440,89.680,-39.147,12.308
0.095,-45.129,-102.896,-70.802,-6.006,57.235,-141.012,320.829,-675.328,683.442,89.680,-39.148,12.308
0.102,-45.128,-102.896,-70.802,-6.006,57.235,-141.012,320.834,-675.326,683.440,89.680,-39.148,12.309
0.114,-45.128,-102.896,-70.802,-6.006,57.235,-141.012,320.837,-675.324,683.440,89.680,-39.148,12.309
0.125,-45.128,-102.896,-70.802,-6.006,57.236,-141.012,320.835,-675.324,683.443,89.680,-39.148,12.309
0.136,-45.128,-102.896,-70.802,-6.006,57.236,-141.012,320.837,-675.322,683.444,89.680,-39.148,12.309
0.143,-45.128,-102.896,-70.803,-6.006,57.236,-141.012,320.836,-675.322,683.443,89.680,-39.148,12.309
0.154,-45.129,-102.896,-70.802,-6.006,57.236,-141.012,320.829,-675.321,683.449,89.679,-39.148,12.309
0.165,-45.129,-102.896,-70.802,-6.006,57.236,-141.012,320.828,-675.323,683.449,89.679,-39.148,12.309
0.174,-45.129,-102.895,-70.802,-6.006,57.236,-141.012,320.822,-675.317,683.460,89.678,-39.149,12.310
0.185,-45.129,-102.895,-70.802,-6.006,57.236,-141.012,320.814,-675.316,683.471,89.677,-39.149,12.310
0.195,-45.129,-102.894,-70.802,-6.006,57.236,-141.012,320.812,-675.314,683.475,89.677,-39.149,12.310
0.203,-45.129,-102.895,-70.802,-6.006,57.236,-141.012,320.817,-675.316,683.467,89.677,-39.149,12.310
0.214,-45.129,-102.895,-70.802,-6.006,57.236,-141.012,320.820,-675.318,683.460,89.678,-39.149,12.310
0.223,-45.129,-102.895,-70.802,-6.006,57.236,-141.012,320.817,-675.319,683.462,89.678,-39.149,12.309
0.234,-45.129,-102.895,-70.802,-6.006,57.235,-141.011,320.819,-675.322,683.453,89.679,-39.149,12.309
0.244,-45.129,-102.896,-70.803,-6.006,57.235,-141.011,320.823,-675.326,683.445,89.679,-39.148,12.308
0.253,-45.129,-102.896,-70.802,-6.006,57.235,-141.011,320.822,-675.325,683.449,89.679,-39.148,12.309
0.265,-45.129,-102.896,-70.802,-6.006,57.236,-141.012,320.826,-675.324,683.449,89.679,-39.148,12.309
0.272,-45.129,-102.896,-70.803,-6.006,57.236,-141.012,320.833,-675.325,683.441,89.680,-39.148,12.309
0.284,-45.128,-102.896,-70.802,-6.006,57.236,-141.011,320.835,-675.324,683.444,89.680,-39.148,12.309
0.295,-45.128,-102.896,-70.803,-6.006,57.236,-141.012,320.840,-675.325,683.436,89.680,-39.148,12.309
0.305,-45.128,-102.897,-70.803,-6.006,57.235,-141.011,320.841,-675.331,683.425,89.681,-39.147,12.308
0.314,-45.128,-102.897,-70.803,-6.006,57.236,-141.012,320.842,-675.331,683.426,89.681,-39.147,12.308
0.324,-45.128,-102.897,-70.803,-6.006,57.236,-141.012,320.843,-675.331,683.427,89.681,-39.147,12.308
0.334,-45.129,-102.897,-70.803,-6.006,57.236,-141.011,320.837,-675.330,683.429,89.681,-39.148,12.308
