t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.007,-45.129,-102.896,-70.814,-5.958,57.236,-141.014,320.794,-675.291,683.508,89.640,-39.166,12.334
0.017,-45.128,-102.896,-70.814,-5.958,57.236,-141.014,320.800,-675.290,683.505,89.640,-39.166,12.334
0.028,-45.129,-102.896,-70.814,-5.958,57.236,-141.014,320.798,-675.290,683.506,89.640,-39.166,12.334
0.037,-45.129,-102.896,-70.814,-5.958,57.236,-141.014,320.801,-675.293,683.503,89.640,-39.166,12.334
0.047,-45.129,-102.896,-70.814,-5.958,57.236,-141.014,320.799,-675.292,683.502,89.640,-39.165,12.334
0.057,-45.128,-102.896,-70.814,-5.958,57.236,-141.013,320.805,-675.292,683.501,89.640,-39.166,12.334
0.067,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.808,-675.294,683.495,89.641,-39.165,12.334
0.077,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.818,-675.294,683.488,89.641,-39.165,12.334
0.087,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.818,-675.294,683.490,89.641,-39.165,12.334
0.097,-45.127,-102.897,-70.814,-5.958,57.236,-141.014,320.822,-675.295,683.485,89.642,-39.164,12.334
0.107,-45.127,-102.897,-70.814,-5.958,57.236,-141.014,320.821,-675.294,683.487,89.642,-39.164,12.334
0.117,-45.128,-102.898,-70.814,-5.958,57.236,-141.014,320.821,-675.296,683.485,89.642,-39.164,12.334
0.127,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.817,-675.297,683.486,89.642,-39.165,12.334
0.137,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.816,-675.295,683.488,89.641,-39.165,12.334
0.146,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.814,-675.294,683.491,89.641,-39.165,12.334
0.157,-45.128,-102.897,-70.814,-5.958,57.236,-141.014,320.810,-675.292,683.498,89.640,-39.165,12.334
0.167,-45.128,-102.896,-70.814,-5.958,57.236,-141.014,320.805,-675.290,683.506,89.640,-39.166,12.335
