t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.131,-102.876,-70.789,-6.027,57.229,-141.018,320.637,-675.212,683.754,89.666,-39.149,12.308
0.014,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.639,-675.214,683.752,89.666,-39.149,12.308
0.024,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.643,-675.214,683.749,89.666,-39.149,12.309
0.035,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.641,-675.216,683.746,89.667,-39.148,12.308
0.045,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.645,-675.216,683.745,89.667,-39.148,12.308
0.054,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.644,-675.217,683.744,89.667,-39.148,12.308
0.064,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.647,-675.215,683.745,89.667,-39.149,12.308
0.074,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.648,-675.216,683.742,89.667,-39.148,12.308
0.085,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.648,-675.216,683.742,89.667,-39.148,12.308
0.094,-45.131,-102.877,-70.789,-6.027,57.230,-141.017,320.649,-675.213,683.746,89.667,-39.148,12.309
0.104,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.648,-675.213,683.746,89.667,-39.148,12.309
0.114,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.647,-675.214,683.744,89.667,-39.148,12.308
0.124,-45.131,-102.877,-70.789,-6.027,57.230,-141.017,320.646,-675.213,683.748,89.667,-39.148,12.309
0.134,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.643,-675.214,683.750,89.666,-39.148,12.309
0.144,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.643,-675.214,683.749,89.666,-39.149,12.309
0.154,-45.131,-102.876,-70.788,-6.027,57.229,-141.017,320.642,-675.210,683.757,89.666,-39.149,12.309
0.164,-45.131,-102.876,-70.789,-6.027,57.230,-141.017,320.642,-675.209,683.757,89.666,-39.149,12.309
0.174,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.637,-675.211,683.758,89.666,-39.149,12.309
0.184,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.638,-675.212,683.756,89.666,-39.149,12.309
0.193,-45.131,-102.876,-70.789,-6.027,57.229,-141.018,320.638,-675.213,683.753,89.666,-39.148,12.308
0.204,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.640,-675.211,683.755,89.666,-39.149,12.309
0.214,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.640,-675.211,683.755,89.666,-39.149,12.309
0.224,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.641,-675.212,683.753,89.666,-39.149,12.309
0.234,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.643,-675.214,683.750,89.666,-39.149,12.309
0.244,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.648,-675.213,683.746,89.667,-39.148,12.309
0.254,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.645,-675.214,683.746,89.667,-39.148,12.308
0.264,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.647,-675.215,683.744,89.667,-39.148,12.308
0.274,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.648,-675.216,683.742,89.667,-39.148,12.308
0.284,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.650,-675.214,683.744,89.667,-39.148,12.308
0.294,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.646,-675.214,683.745,89.667,-39.148,12.308
0.304,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.650,-675.215,683.742,89.667,-39.148,12.308
0.314,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.646,-675.214,683.745,89.667,-39.148,12.308
0.324,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.643,-675.214,683.749,89.666,-39.148,12.309
0.335,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.642,-675.213,683.750,89.666,-39.148,12.309
0.344,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.643,-675.214,683.747,89.667,-39.148,12.308
0.354,-45.131,-102.876,-70.789,-6.027,57.230,-141.018,320.641,-675.211,683.754,89.666,-39.149,12.309
0.364,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.639,-675.210,683.758,89.666,-39.149,12.309
0.374,-45.131,-102.876,-70.789,-6.027,57.229,-141.018,320.637,-675.209,683.760,89.665,-39.149,12.309
0.384,-45.131,-102.876,-70.789,-6.027,57.229,-141.018,320.639,-675.210,683.757,89.666,-39.149,12.309
0.394,-45.131,-102.876,-70.789,-6.027,57.229,-141.017,320.639,-675.211,683.754,89.666,-39.149,12.309
0.404,-45.131,-102.876,-70.789,-6.027,57.229,-141.018,320.640,-675.211,683.754,89.666,-39.149,12.309
0.414,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.643,-675.211,683.752,89.666,-39.148,12.309
0.424,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.643,-675.211,683.752,89.666,-39.148,12.309
0.434,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.645,-675.213,683.749,89.666,-39.148,12.309
0.444,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.648,-675.213,683.746,89.667,-39.148,12.309
0.454,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.645,-675.214,683.748,89.667,-39.148,12.308
0.464,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.647,-675.215,683.744,89.667,-39.148,12.308
0.474,-45.131,-102.877,-70.789,-6.027,57.230,-141.018,320.647,-675.214,683.745,89.667,-39.148,12.309
0.484,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.646,-675.214,683.747,89.667,-39.148,12.309
0.494,-45.131,-102.877,-70.789,-6.027,57.229,-141.017,320.644,-675.215,683.746,89.667,-39.148,12.308
0.504,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.644,-675.215,683.745,89.667,-39.148,12.308
0.514,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.644,-675.215,683.747,89.667,-39.148,12.308
0.524,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.643,-675.214,683.747,89.667,-39.148,12.308
0.534,-45.131,-102.877,-70.789,-6.027,57.229,-141.018,320.639,-675.214,683.752,89.666,-39.148,12.308
