t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.116,-102.895,-70.812,-6.005,57.237,-141.012,320.988,-675.260,683.366,89.687,-39.144,12.318
0.012,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.990,-675.260,683.363,89.687,-39.144,12.318
0.022,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.992,-675.258,683.364,89.687,-39.145,12.318
0.032,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.994,-675.256,683.367,89.687,-39.144,12.319
0.042,-45.116,-102.895,-70.812,-6.005,57.237,-141.012,320.990,-675.254,683.373,89.686,-39.144,12.319
0.053,-45.116,-102.894,-70.812,-6.004,57.237,-141.012,320.991,-675.251,683.376,89.686,-39.145,12.320
0.062,-45.115,-102.894,-70.811,-6.004,57.237,-141.011,320.993,-675.250,683.378,89.686,-39.145,12.320
0.073,-45.115,-102.894,-70.811,-6.004,57.237,-141.011,320.993,-675.248,683.380,89.685,-39.145,12.320
0.082,-45.115,-102.894,-70.811,-6.005,57.237,-141.011,320.994,-675.250,683.377,89.686,-39.145,12.320
0.092,-45.115,-102.895,-70.812,-6.004,57.237,-141.011,320.997,-675.250,683.373,89.686,-39.145,12.320
0.103,-45.115,-102.895,-70.812,-6.004,57.237,-141.011,321.001,-675.253,683.365,89.687,-39.145,12.319
0.112,-45.115,-102.895,-70.812,-6.004,57.237,-141.012,320.997,-675.254,683.367,89.687,-39.144,12.319
0.122,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.998,-675.257,683.362,89.687,-39.144,12.319
0.132,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.998,-675.257,683.363,89.687,-39.145,12.319
0.142,-45.116,-102.895,-70.812,-6.005,57.237,-141.011,320.996,-675.259,683.362,89.687,-39.144,12.318
0.152,-45.116,-102.895,-70.812,-6.005,57.237,-141.011,320.997,-675.260,683.357,89.688,-39.144,12.318
0.163,-45.116,-102.895,-70.812,-6.005,57.237,-141.011,320.992,-675.260,683.362,89.687,-39.144,12.318
0.172,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.991,-675.260,683.364,89.687,-39.145,12.318
0.182,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.991,-675.261,683.362,89.687,-39.145,12.318
0.193,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.992,-675.260,683.362,89.687,-39.144,12.318
0.203,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.992,-675.262,683.360,89.687,-39.144,12.318
0.212,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.995,-675.261,683.358,89.687,-39.145,12.318
0.222,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.996,-675.258,683.362,89.687,-39.144,12.319
0.232,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.999,-675.257,683.361,89.687,-39.144,12.319
0.242,-45.116,-102.895,-70.812,-6.004,57.237,-141.012,320.994,-675.255,683.370,89.686,-39.145,12.319
0.252,-45.115,-102.895,-70.812,-6.004,57.237,-141.012,320.994,-675.251,683.375,89.686,-39.145,12.320
0.262,-45.116,-102.895,-70.812,-6.004,57.237,-141.011,320.993,-675.253,683.372,89.686,-39.145,12.319
0.272,-45.115,-102.895,-70.812,-6.004,57.237,-141.012,320.997,-675.251,683.373,89.686,-39.145,12.320
