t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.126,-102.864,-70.792,-5.976,57.240,-141.012,320.621,-675.044,684.059,89.601,-39.186,12.366
0.013,-45.124,-102.879,-70.794,-5.977,57.240,-141.012,320.741,-675.135,683.861,89.619,-39.177,12.356
0.023,-45.123,-102.891,-70.796,-5.977,57.241,-141.012,320.848,-675.211,683.689,89.635,-39.169,12.348
0.034,-45.123,-102.896,-70.797,-5.977,57.241,-141.012,320.877,-675.251,683.614,89.642,-39.166,12.343
0.043,-45.126,-102.904,-70.800,-5.977,57.240,-141.012,320.898,-675.328,683.478,89.654,-39.160,12.332
0.053,-45.128,-102.906,-70.805,-5.977,57.240,-141.012,320.900,-675.354,683.406,89.662,-39.157,12.326
0.063,-45.128,-102.905,-70.805,-5.977,57.240,-141.012,320.886,-675.350,683.423,89.660,-39.157,12.326
0.073,-45.130,-102.901,-70.802,-5.976,57.240,-141.012,320.835,-675.334,683.493,89.653,-39.161,12.328
0.084,-45.131,-102.898,-70.801,-5.976,57.240,-141.012,320.800,-675.318,683.545,89.648,-39.164,12.331
0.094,-45.131,-102.897,-70.801,-5.976,57.240,-141.012,320.790,-675.307,683.563,89.646,-39.164,12.331
0.103,-45.131,-102.892,-70.800,-5.975,57.240,-141.012,320.762,-675.271,683.639,89.639,-39.168,12.337
0.113,-45.132,-102.888,-70.799,-5.975,57.240,-141.012,320.723,-675.244,683.702,89.633,-39.171,12.340
0.123,-45.132,-102.886,-70.799,-5.975,57.240,-141.012,320.710,-675.235,683.714,89.632,-39.171,12.340
0.133,-45.132,-102.884,-70.799,-5.975,57.240,-141.012,320.693,-675.216,683.749,89.629,-39.172,12.342
0.143,-45.130,-102.881,-70.799,-5.975,57.240,-141.012,320.693,-675.190,683.785,89.626,-39.174,12.346
0.153,-45.130,-102.880,-70.799,-5.975,57.240,-141.012,320.692,-675.181,683.797,89.624,-39.175,12.347
0.163,-45.128,-102.881,-70.799,-5.975,57.240,-141.012,320.718,-675.173,683.787,89.625,-39.174,12.348
0.173,-45.126,-102.881,-70.799,-5.975,57.240,-141.012,320.743,-675.163,683.787,89.626,-39.174,12.350
0.183,-45.125,-102.881,-70.799,-5.975,57.240,-141.012,320.754,-675.162,683.782,89.626,-39.174,12.351
0.192,-45.125,-102.883,-70.799,-5.975,57.240,-141.012,320.760,-675.174,683.763,89.628,-39.173,12.349
0.202,-45.125,-102.885,-70.800,-5.976,57.240,-141.012,320.775,-675.189,683.728,89.632,-39.171,12.347
0.213,-45.125,-102.885,-70.800,-5.976,57.240,-141.012,320.781,-675.194,683.716,89.632,-39.171,12.346
0.223,-45.126,-102.888,-70.801,-5.976,57.240,-141.012,320.797,-675.213,683.675,89.636,-39.169,12.344
0.233,-45.126,-102.890,-70.802,-5.976,57.240,-141.012,320.809,-675.236,683.632,89.641,-39.167,12.340
0.243,-45.127,-102.892,-70.802,-5.976,57.240,-141.012,320.814,-675.249,683.612,89.642,-39.166,12.339
0.253,-45.128,-102.894,-70.802,-5.976,57.240,-141.012,320.817,-675.272,683.585,89.645,-39.165,12.336
0.263,-45.130,-102.895,-70.802,-5.976,57.240,-141.012,320.801,-675.288,683.574,89.646,-39.164,12.334
0.274,-45.131,-102.895,-70.802,-5.976,57.240,-141.012,320.786,-675.293,683.577,89.645,-39.164,12.333
0.283,-45.132,-102.894,-70.801,-5.976,57.240,-141.012,320.764,-675.293,683.594,89.644,-39.165,12.332
0.293,-45.132,-102.893,-70.802,-5.976,57.240,-141.012,320.759,-675.288,683.601,89.643,-39.166,12.333
0.303,-45.132,-102.893,-70.801,-5.976,57.240,-141.012,320.756,-675.284,683.612,89.642,-39.166,12.334
0.313,-45.132,-102.892,-70.801,-5.976,57.240,-141.012,320.751,-675.272,683.632,89.640,-39.167,12.335
0.324,-45.131,-102.891,-70.801,-5.976,57.240,-141.012,320.757,-675.259,683.645,89.639,-39.167,12.337
0.332,-45.130,-102.890,-70.801,-5.976,57.240,-141.012,320.762,-675.253,683.649,89.639,-39.168,12.338
0.343,-45.129,-102.889,-70.801,-5.976,57.240,-141.012,320.763,-675.243,683.663,89.637,-39.169,12.339
0.353,-45.129,-102.888,-70.800,-5.975,57.240,-141.012,320.765,-675.232,683.681,89.635,-39.170,12.342
0.363,-45.128,-102.888,-70.800,-5.976,57.240,-141.012,320.773,-675.227,683.680,89.636,-39.169,12.342
0.374,-45.126,-102.888,-70.800,-5.976,57.240,-141.012,320.796,-675.218,683.678,89.636,-39.169,12.344
0.383,-45.125,-102.889,-70.800,-5.976,57.240,-141.012,320.809,-675.213,683.679,89.636,-39.169,12.345
0.393,-45.125,-102.889,-70.800,-5.976,57.241,-141.012,320.818,-675.214,683.671,89.636,-39.169,12.345
0.403,-45.124,-102.890,-70.801,-5.976,57.241,-141.012,320.829,-675.222,683.649,89.639,-39.168,12.344
0.413,-45.125,-102.891,-70.801,-5.976,57.241,-141.012,320.829,-675.230,683.640,89.640,-39.167,12.343
0.422,-45.125,-102.891,-70.801,-5.976,57.241,-141.012,320.825,-675.237,683.632,89.640,-39.167,12.342
0.433,-45.127,-102.893,-70.802,-5.977,57.241,-141.012,320.824,-675.254,683.605,89.643,-39.165,12.339
0.443,-45.127,-102.894,-70.802,-5.977,57.241,-141.012,320.821,-675.264,683.592,89.645,-39.165,12.337
0.454,-45.127,-102.894,-70.802,-5.977,57.240,-141.012,320.818,-675.266,683.591,89.644,-39.165,12.337
0.463,-45.129,-102.895,-70.802,-5.977,57.241,-141.012,320.812,-675.277,683.582,89.645,-39.165,12.336
0.472,-45.129,-102.895,-70.802,-5.977,57.241,-141.012,320.805,-675.283,683.576,89.646,-39.164,12.334
0.484,-45.130,-102.895,-70.802,-5.977,57.241,-141.012,320.802,-675.286,683.575,89.646,-39.164,12.334
0.494,-45.130,-102.895,-70.802,-5.977,57.241,-141.012,320.796,-675.289,683.573,89.646,-39.164,12.334
0.504,-45.130,-102.895,-70.802,-5.977,57.241,-141.012,320.797,-675.287,683.576,89.646,-39.165,12.334
0.514,-45.129,-102.895,-70.802,-5.977,57.241,-141.012,320.805,-675.282,683.577,89.646,-39.165,12.335
0.524,-45.128,-102.893,-70.802,-5.977,57.242,-141.012,320.818,-675.264,683.597,89.644,-39.165,12.338
0.533,-45.126,-102.893,-70.801,-5.976,57.242,-141.012,320.839,-675.246,683.611,89.642,-39.166,12.342
0.544,-45.125,-102.892,-70.801,-5.976,57.242,-141.012,320.850,-675.235,683.620,89.641,-39.167,12.344
0.553,-45.123,-102.891,-70.801,-5.976,57.243,-141.012,320.869,-675.218,683.636,89.640,-39.167,12.347
0.563,-45.120,-102.891,-70.800,-5.976,57.244,-141.012,320.896,-675.200,683.646,89.639,-39.168,12.351
0.573,-45.119,-102.891,-70.800,-5.976,57.244,-141.012,320.912,-675.193,683.645,89.639,-39.168,12.353
0.584,-45.116,-102.891,-70.800,-5.975,57.245,-141.012,320.954,-675.171,683.652,89.638,-39.168,12.358
0.592,-45.112,-102.891,-70.800,-5.975,57.246,-141.012,321.005,-675.145,683.660,89.637,-39.169,12.364
0.603,-45.109,-102.891,-70.799,-5.975,57.247,-141.012,321.040,-675.130,683.663,89.636,-39.169,12.367
0.613,-45.103,-102.890,-70.799,-5.975,57.250,-141.012,321.113,-675.090,683.680,89.635,-39.170,12.377
0.623,-45.098,-102.890,-70.798,-5.974,57.251,-141.012,321.184,-675.059,683.680,89.634,-39.170,12.384
0.633,-45.096,-102.890,-70.798,-5.974,57.251,-141.012,321.208,-675.048,683.682,89.634,-39.170,12.386
0.642,-45.094,-102.891,-70.798,-5.975,57.252,-141.012,321.241,-675.036,683.677,89.635,-39.170,12.389
0.653,-45.094,-102.891,-70.799,-5.975,57.253,-141.012,321.247,-675.045,683.661,89.636,-39.169,12.388
0.663,-45.095,-102.892,-70.799,-5.975,57.254,-141.012,321.247,-675.051,683.653,89.637,-39.169,12.388
0.674,-45.095,-102.893,-70.800,-5.976,57.255,-141.012,321.256,-675.060,683.629,89.640,-39.167,12.387
0.683,-45.096,-102.894,-70.801,-5.976,57.254,-141.011,321.260,-675.076,683.598,89.643,-39.166,12.384
0.694,-45.095,-102.895,-70.802,-5.976,57.254,-141.011,321.274,-675.078,683.582,89.645,-39.165,12.383
0.703,-45.095,-102.897,-70.802,-5.976,57.254,-141.011,321.287,-675.090,683.553,89.647,-39.164,12.382
0.713,-45.094,-102.899,-70.805,-5.976,57.256,-141.011,321.323,-675.102,683.500,89.652,-39.162,12.381
0.724,-45.094,-102.901,-70.807,-5.976,57.257,-141.011,321.339,-675.120,683.457,89.656,-39.160,12.379
0.734,-45.094,-102.905,-70.810,-5.975,57.258,-141.011,321.376,-675.149,683.376,89.664,-39.156,12.376
0.744,-45.094,-102.910,-70.814,-5.975,57.263,-141.011,321.438,-675.184,683.272,89.673,-39.152,12.375
