t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.131,-102.899,-70.797,-6.002,57.237,-141.014,320.817,-675.342,683.483,89.673,-39.149,12.312
0.015,-45.131,-102.899,-70.797,-6.002,57.237,-141.014,320.815,-675.347,683.478,89.673,-39.148,12.312
0.025,-45.131,-102.900,-70.797,-6.002,57.237,-141.014,320.816,-675.348,683.475,89.673,-39.148,12.311
0.035,-45.131,-102.899,-70.797,-6.002,57.237,-141.014,320.816,-675.347,683.474,89.673,-39.148,12.312
0.045,-45.131,-102.900,-70.797,-6.002,57.237,-141.014,320.821,-675.349,683.469,89.674,-39.148,12.311
0.055,-45.130,-102.900,-70.797,-6.002,57.237,-141.015,320.835,-675.340,683.472,89.674,-39.148,12.313
0.065,-45.129,-102.900,-70.797,-6.002,57.237,-141.014,320.840,-675.342,683.467,89.674,-39.148,12.313
0.076,-45.129,-102.900,-70.798,-6.003,57.237,-141.014,320.850,-675.340,683.460,89.675,-39.147,12.313
0.085,-45.129,-102.901,-70.798,-6.003,57.237,-141.015,320.854,-675.344,683.452,89.676,-39.146,12.312
0.095,-45.129,-102.901,-70.798,-6.003,57.237,-141.015,320.859,-675.344,683.447,89.676,-39.146,12.312
0.105,-45.128,-102.901,-70.798,-6.003,57.237,-141.014,320.866,-675.345,683.437,89.678,-39.146,12.312
0.115,-45.128,-102.902,-70.799,-6.003,57.237,-141.014,320.880,-675.350,683.421,89.679,-39.145,12.312
0.125,-45.127,-102.902,-70.799,-6.003,57.237,-141.014,320.885,-675.350,683.416,89.679,-39.145,12.312
0.136,-45.127,-102.903,-70.799,-6.003,57.237,-141.014,320.892,-675.351,683.409,89.680,-39.145,12.312
0.145,-45.127,-102.904,-70.799,-6.003,57.237,-141.014,320.893,-675.359,683.397,89.681,-39.144,12.311
0.155,-45.128,-102.904,-70.799,-6.003,57.237,-141.014,320.893,-675.365,683.390,89.682,-39.144,12.310
0.166,-45.129,-102.904,-70.800,-6.003,57.237,-141.014,320.884,-675.371,683.385,89.682,-39.144,12.309
0.176,-45.130,-102.905,-70.799,-6.003,57.237,-141.014,320.873,-675.379,683.382,89.683,-39.144,12.307
0.185,-45.130,-102.905,-70.800,-6.003,57.237,-141.014,320.874,-675.383,683.376,89.683,-39.143,12.307
0.195,-45.131,-102.905,-70.800,-6.004,57.237,-141.014,320.868,-675.389,683.368,89.684,-39.143,12.305
0.205,-45.131,-102.905,-70.800,-6.004,57.237,-141.014,320.863,-675.393,683.369,89.684,-39.143,12.305
0.215,-45.131,-102.905,-70.800,-6.004,57.237,-141.015,320.857,-675.392,683.371,89.684,-39.143,12.305
0.225,-45.131,-102.905,-70.800,-6.004,57.237,-141.014,320.857,-675.396,683.366,89.685,-39.143,12.304
0.235,-45.132,-102.905,-70.800,-6.004,57.236,-141.014,320.849,-675.399,683.364,89.685,-39.143,12.303
0.244,-45.132,-102.905,-70.800,-6.004,57.236,-141.014,320.846,-675.400,683.366,89.685,-39.143,12.303
0.255,-45.132,-102.906,-70.800,-6.004,57.236,-141.014,320.851,-675.400,683.362,89.685,-39.143,12.303
0.265,-45.131,-102.906,-70.800,-6.004,57.236,-141.014,320.861,-675.401,683.357,89.685,-39.142,12.303
0.275,-45.131,-102.906,-70.800,-6.003,57.236,-141.014,320.864,-675.396,683.361,89.685,-39.143,12.304
0.285,-45.130,-102.906,-70.800,-6.004,57.237,-141.014,320.880,-675.396,683.352,89.686,-39.142,12.305
0.295,-45.129,-102.906,-70.800,-6.004,57.237,-141.014,320.890,-675.391,683.353,89.685,-39.142,12.306
0.305,-45.129,-102.906,-70.800,-6.004,57.237,-141.015,320.892,-675.388,683.355,89.685,-39.142,12.307
