t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.103,-102.910,-70.813,-5.959,57.236,-140.999,321.197,-675.239,683.339,89.655,-39.172,12.350
0.012,-45.103,-102.910,-70.813,-5.959,57.236,-140.999,321.193,-675.241,683.337,89.655,-39.172,12.350
0.022,-45.103,-102.910,-70.814,-5.959,57.236,-141.000,321.200,-675.245,683.328,89.656,-39.171,12.350
0.031,-45.104,-102.910,-70.813,-5.959,57.236,-140.999,321.197,-675.244,683.332,89.656,-39.172,12.350
0.042,-45.104,-102.910,-70.814,-5.959,57.236,-141.000,321.194,-675.246,683.330,89.656,-39.171,12.349
0.051,-45.104,-102.910,-70.813,-5.959,57.236,-140.999,321.181,-675.245,683.340,89.655,-39.172,12.349
0.061,-45.105,-102.909,-70.813,-5.959,57.236,-140.999,321.174,-675.245,683.346,89.654,-39.173,12.350
0.071,-45.105,-102.909,-70.814,-5.959,57.236,-140.999,321.173,-675.245,683.342,89.654,-39.173,12.349
0.081,-45.104,-102.909,-70.814,-5.958,57.236,-140.999,321.180,-675.242,683.343,89.654,-39.173,12.350
0.091,-45.104,-102.909,-70.814,-5.958,57.236,-140.999,321.180,-675.241,683.342,89.654,-39.173,12.350
0.101,-45.104,-102.909,-70.814,-5.958,57.236,-140.999,321.185,-675.240,683.340,89.654,-39.173,12.350
0.111,-45.104,-102.909,-70.815,-5.957,57.236,-140.999,321.180,-675.239,683.338,89.654,-39.173,12.350
0.121,-45.104,-102.909,-70.816,-5.957,57.236,-140.999,321.183,-675.240,683.332,89.654,-39.173,12.350
0.131,-45.104,-102.909,-70.816,-5.957,57.236,-140.999,321.186,-675.240,683.327,89.655,-39.173,12.350
0.141,-45.104,-102.909,-70.817,-5.955,57.236,-140.999,321.187,-675.241,683.322,89.654,-39.173,12.351
0.151,-45.103,-102.909,-70.818,-5.955,57.237,-140.999,321.195,-675.236,683.319,89.654,-39.173,12.352
0.161,-45.103,-102.909,-70.818,-5.955,57.237,-140.999,321.196,-675.237,683.312,89.655,-39.173,12.351
0.171,-45.103,-102.909,-70.820,-5.955,57.237,-140.999,321.204,-675.234,683.302,89.656,-39.172,12.351
0.182,-45.102,-102.908,-70.821,-5.955,57.237,-140.999,321.209,-675.234,683.287,89.657,-39.172,12.351
0.191,-45.102,-102.908,-70.822,-5.955,57.237,-140.999,321.210,-675.235,683.281,89.658,-39.172,12.350
0.201,-45.102,-102.908,-70.822,-5.955,57.237,-140.999,321.217,-675.233,683.276,89.659,-39.171,12.351
0.212,-45.102,-102.908,-70.822,-5.954,57.238,-140.999,321.225,-675.229,683.278,89.658,-39.171,12.352
0.222,-45.101,-102.908,-70.822,-5.954,57.238,-140.999,321.230,-675.224,683.283,89.658,-39.172,12.353
0.232,-45.100,-102.908,-70.822,-5.954,57.238,-140.998,321.239,-675.219,683.283,89.658,-39.172,12.354
0.241,-45.099,-102.908,-70.822,-5.953,57.239,-140.998,321.253,-675.208,683.291,89.656,-39.173,12.357
0.251,-45.098,-102.907,-70.822,-5.953,57.239,-140.998,321.260,-675.201,683.297,89.655,-39.174,12.358
0.261,-45.097,-102.908,-70.823,-5.952,57.240,-140.998,321.281,-675.197,683.286,89.656,-39.174,12.360
