t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.828,-675.391,683.380,89.698,-39.133,12.289
0.016,-45.131,-102.902,-70.794,-6.025,57.230,-141.017,320.825,-675.388,683.385,89.698,-39.133,12.289
0.026,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.822,-675.388,683.387,89.698,-39.133,12.289
0.036,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.820,-675.383,683.395,89.697,-39.134,12.290
0.047,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.817,-675.384,683.394,89.697,-39.133,12.289
0.056,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.815,-675.381,683.402,89.696,-39.134,12.290
0.066,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.816,-675.383,683.398,89.697,-39.134,12.290
0.076,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.816,-675.379,683.402,89.696,-39.134,12.290
0.086,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.817,-675.379,683.404,89.696,-39.134,12.291
0.097,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.819,-675.378,683.405,89.696,-39.134,12.291
0.106,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.822,-675.381,683.397,89.697,-39.133,12.290
0.116,-45.130,-102.901,-70.794,-6.025,57.230,-141.017,320.825,-675.381,683.394,89.697,-39.133,12.290
0.126,-45.131,-102.901,-70.794,-6.025,57.230,-141.018,320.823,-675.383,683.392,89.697,-39.133,12.290
0.136,-45.131,-102.902,-70.794,-6.025,57.230,-141.017,320.822,-675.385,683.391,89.697,-39.133,12.290
0.146,-45.131,-102.902,-70.794,-6.025,57.230,-141.017,320.827,-675.387,683.386,89.698,-39.133,12.290
0.156,-45.131,-102.902,-70.794,-6.025,57.230,-141.017,320.829,-675.388,683.383,89.698,-39.133,12.290
0.166,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.830,-675.390,683.379,89.699,-39.133,12.289
0.176,-45.131,-102.902,-70.794,-6.025,57.230,-141.018,320.824,-675.392,683.380,89.699,-39.132,12.289
0.186,-45.131,-102.902,-70.795,-6.024,57.230,-141.017,320.826,-675.389,683.382,89.698,-39.133,12.289
0.196,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.826,-675.392,683.379,89.699,-39.133,12.289
0.206,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.822,-675.392,683.381,89.698,-39.133,12.289
0.216,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.824,-675.389,683.384,89.698,-39.133,12.289
0.226,-45.131,-102.902,-70.794,-6.024,57.230,-141.017,320.822,-675.387,683.392,89.697,-39.134,12.290
0.236,-45.131,-102.902,-70.795,-6.025,57.230,-141.017,320.822,-675.388,683.387,89.698,-39.133,12.289
0.246,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.819,-675.385,683.394,89.697,-39.134,12.290
0.256,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.816,-675.385,683.395,89.697,-39.134,12.290
0.266,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.819,-675.382,683.397,89.697,-39.134,12.290
0.276,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.819,-675.382,683.399,89.697,-39.133,12.290
0.285,-45.131,-102.901,-70.794,-6.025,57.230,-141.018,320.823,-675.382,683.397,89.697,-39.133,12.291
0.296,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.822,-675.380,683.398,89.697,-39.134,12.291
0.306,-45.131,-102.901,-70.794,-6.025,57.230,-141.017,320.822,-675.380,683.399,89.697,-39.134,12.291
