t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.004,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.826,-675.289,683.549,89.645,-39.175,12.334
0.013,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.823,-675.290,683.549,89.645,-39.174,12.334
0.023,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.825,-675.289,683.549,89.645,-39.174,12.333
0.034,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.826,-675.289,683.545,89.646,-39.174,12.333
0.044,-45.128,-102.897,-70.804,-5.972,57.238,-141.002,320.826,-675.290,683.546,89.645,-39.174,12.333
0.053,-45.128,-102.897,-70.804,-5.972,57.238,-141.002,320.827,-675.290,683.544,89.646,-39.174,12.333
0.063,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.827,-675.287,683.549,89.645,-39.174,12.334
0.073,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.824,-675.286,683.552,89.645,-39.175,12.334
0.083,-45.128,-102.897,-70.804,-5.972,57.238,-141.002,320.826,-675.286,683.551,89.645,-39.175,12.334
0.093,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.824,-675.284,683.557,89.644,-39.175,12.334
0.102,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.822,-675.285,683.557,89.644,-39.175,12.334
0.114,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.823,-675.286,683.554,89.645,-39.175,12.334
0.123,-45.127,-102.896,-70.804,-5.973,57.238,-141.002,320.825,-675.282,683.556,89.645,-39.175,12.334
0.133,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.824,-675.284,683.556,89.645,-39.174,12.334
0.143,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.826,-675.286,683.551,89.645,-39.175,12.334
0.153,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.825,-675.288,683.547,89.646,-39.174,12.334
0.163,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.823,-675.286,683.552,89.645,-39.175,12.334
0.173,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.824,-675.288,683.549,89.645,-39.174,12.334
0.183,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.823,-675.286,683.554,89.645,-39.174,12.334
0.192,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.822,-675.289,683.549,89.645,-39.174,12.333
0.203,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.822,-675.290,683.549,89.645,-39.174,12.333
0.213,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.829,-675.289,683.547,89.646,-39.174,12.334
0.223,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.825,-675.290,683.545,89.646,-39.174,12.333
0.233,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.827,-675.289,683.545,89.646,-39.174,12.333
0.242,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.830,-675.290,683.542,89.646,-39.174,12.333
0.252,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.828,-675.288,683.547,89.646,-39.174,12.334
0.263,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.828,-675.288,683.546,89.646,-39.174,12.334
0.273,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.828,-675.288,683.549,89.645,-39.174,12.334
0.282,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.824,-675.289,683.547,89.646,-39.174,12.333
0.293,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.828,-675.288,683.547,89.646,-39.174,12.334
0.303,-45.128,-102.897,-70.804,-5.973,57.238,-141.002,320.824,-675.288,683.551,89.645,-39.174,12.334
0.313,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.823,-675.286,683.554,89.645,-39.174,12.334
0.323,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.822,-675.285,683.554,89.645,-39.174,12.334
0.332,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.822,-675.286,683.554,89.645,-39.174,12.334
0.343,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.821,-675.285,683.557,89.644,-39.175,12.334
0.352,-45.128,-102.896,-70.804,-5.973,57.238,-141.002,320.818,-675.285,683.558,89.645,-39.175,12.334
0.363,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.818,-675.285,683.559,89.644,-39.175,12.334
0.373,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.817,-675.287,683.557,89.644,-39.175,12.334
0.382,-45.128,-102.896,-70.804,-5.972,57.238,-141.002,320.817,-675.287,683.557,89.644,-39.175,12.334
