t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.120,-102.907,-70.800,-5.957,57.242,-141.003,320.978,-675.291,683.523,89.635,-39.179,12.351
0.013,-45.121,-102.907,-70.800,-5.957,57.242,-141.002,320.978,-675.292,683.522,89.635,-39.179,12.352
0.024,-45.121,-102.907,-70.800,-5.957,57.242,-141.002,320.977,-675.292,683.521,89.635,-39.179,12.352
0.034,-45.121,-102.907,-70.799,-5.957,57.242,-141.003,320.972,-675.291,683.529,89.635,-39.179,12.352
0.043,-45.121,-102.907,-70.799,-5.957,57.242,-141.003,320.973,-675.290,683.529,89.635,-39.179,12.352
0.053,-45.121,-102.906,-70.799,-5.957,57.242,-141.002,320.970,-675.286,683.536,89.634,-39.180,12.352
0.063,-45.120,-102.906,-70.799,-5.957,57.242,-141.003,320.971,-675.281,683.543,89.633,-39.180,12.353
0.073,-45.120,-102.906,-70.799,-5.957,57.242,-141.003,320.968,-675.282,683.543,89.633,-39.180,12.353
0.082,-45.120,-102.906,-70.799,-5.957,57.242,-141.003,320.966,-675.279,683.549,89.633,-39.180,12.353
0.093,-45.120,-102.905,-70.799,-5.956,57.242,-141.003,320.967,-675.275,683.555,89.632,-39.180,12.354
0.103,-45.120,-102.905,-70.799,-5.957,57.242,-141.003,320.966,-675.276,683.554,89.632,-39.180,12.354
0.113,-45.120,-102.905,-70.799,-5.957,57.242,-141.003,320.965,-675.272,683.558,89.632,-39.180,12.354
0.123,-45.120,-102.905,-70.799,-5.956,57.242,-141.003,320.962,-675.273,683.559,89.632,-39.180,12.354
0.133,-45.120,-102.905,-70.799,-5.956,57.242,-141.003,320.962,-675.272,683.561,89.631,-39.181,12.354
0.143,-45.120,-102.905,-70.799,-5.956,57.242,-141.003,320.962,-675.273,683.563,89.631,-39.181,12.354
0.152,-45.120,-102.905,-70.799,-5.956,57.241,-141.003,320.958,-675.274,683.564,89.631,-39.181,12.354
0.163,-45.120,-102.905,-70.799,-5.956,57.242,-141.003,320.959,-675.274,683.563,89.631,-39.181,12.354
0.173,-45.121,-102.905,-70.799,-5.956,57.241,-141.003,320.956,-675.278,683.559,89.632,-39.181,12.353
