t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.130,-102.905,-70.804,-5.959,57.242,-141.009,320.857,-675.338,683.494,89.640,-39.170,12.339
0.013,-45.130,-102.905,-70.805,-5.959,57.242,-141.010,320.864,-675.341,683.482,89.642,-39.169,12.338
0.023,-45.129,-102.906,-70.805,-5.959,57.242,-141.009,320.868,-675.342,683.476,89.642,-39.169,12.338
0.032,-45.129,-102.906,-70.805,-5.959,57.242,-141.009,320.871,-675.345,683.469,89.643,-39.168,12.338
0.043,-45.129,-102.906,-70.805,-5.960,57.242,-141.009,320.879,-675.345,683.464,89.643,-39.168,12.338
0.053,-45.129,-102.907,-70.805,-5.960,57.242,-141.009,320.881,-675.348,683.459,89.644,-39.168,12.337
0.063,-45.129,-102.907,-70.806,-5.960,57.242,-141.009,320.880,-675.351,683.453,89.644,-39.168,12.337
0.072,-45.129,-102.908,-70.806,-5.960,57.242,-141.009,320.886,-675.355,683.446,89.645,-39.167,12.336
0.083,-45.129,-102.907,-70.806,-5.960,57.241,-141.009,320.882,-675.355,683.446,89.645,-39.167,12.336
0.093,-45.130,-102.907,-70.806,-5.960,57.241,-141.009,320.878,-675.357,683.446,89.645,-39.167,12.335
0.103,-45.130,-102.907,-70.806,-5.960,57.241,-141.009,320.870,-675.356,683.453,89.644,-39.168,12.335
0.113,-45.130,-102.907,-70.805,-5.960,57.241,-141.009,320.864,-675.357,683.459,89.644,-39.168,12.335
0.123,-45.131,-102.906,-70.805,-5.959,57.241,-141.009,320.854,-675.353,683.471,89.643,-39.168,12.336
0.134,-45.131,-102.906,-70.805,-5.959,57.241,-141.009,320.845,-675.351,683.480,89.642,-39.169,12.336
0.144,-45.131,-102.905,-70.805,-5.959,57.241,-141.010,320.840,-675.347,683.489,89.641,-39.169,12.336
0.153,-45.131,-102.905,-70.805,-5.959,57.241,-141.010,320.835,-675.346,683.492,89.641,-39.168,12.336
0.163,-45.131,-102.904,-70.805,-5.959,57.241,-141.010,320.835,-675.345,683.494,89.640,-39.168,12.336
0.173,-45.131,-102.904,-70.805,-5.959,57.241,-141.010,320.835,-675.345,683.493,89.641,-39.168,12.336
0.182,-45.131,-102.904,-70.805,-5.959,57.241,-141.010,320.837,-675.341,683.496,89.640,-39.168,12.337
0.192,-45.131,-102.904,-70.805,-5.959,57.241,-141.010,320.840,-675.337,683.501,89.640,-39.169,12.337
0.203,-45.130,-102.904,-70.804,-5.959,57.241,-141.011,320.844,-675.335,683.504,89.639,-39.169,12.338
0.213,-45.130,-102.904,-70.804,-5.959,57.241,-141.010,320.852,-675.334,683.500,89.640,-39.169,12.338
0.223,-45.129,-102.904,-70.805,-5.959,57.241,-141.010,320.861,-675.333,683.494,89.640,-39.168,12.339
0.233,-45.129,-102.905,-70.804,-5.959,57.241,-141.010,320.865,-675.333,683.494,89.640,-39.168,12.339
0.243,-45.128,-102.905,-70.805,-5.959,57.241,-141.011,320.873,-675.332,683.488,89.641,-39.168,12.339
0.254,-45.128,-102.906,-70.805,-5.959,57.241,-141.011,320.885,-675.334,683.477,89.642,-39.167,12.339
0.263,-45.127,-102.906,-70.805,-5.959,57.241,-141.011,320.898,-675.333,683.468,89.643,-39.167,12.339
0.273,-45.127,-102.906,-70.805,-5.959,57.241,-141.010,320.903,-675.332,683.469,89.642,-39.167,12.340
0.283,-45.126,-102.906,-70.805,-5.959,57.242,-141.011,320.912,-675.328,683.469,89.642,-39.167,12.341
0.293,-45.126,-102.906,-70.805,-5.959,57.241,-141.011,320.908,-675.325,683.475,89.642,-39.167,12.341
0.305,-45.126,-102.905,-70.805,-5.959,57.241,-141.011,320.905,-675.319,683.488,89.641,-39.168,12.342
0.313,-45.125,-102.904,-70.804,-5.959,57.242,-141.011,320.906,-675.308,683.504,89.639,-39.168,12.344
0.323,-45.125,-102.904,-70.804,-5.959,57.241,-141.011,320.907,-675.305,683.506,89.639,-39.169,12.344
0.333,-45.124,-102.903,-70.804,-5.959,57.242,-141.011,320.912,-675.295,683.517,89.638,-39.169,12.346
0.343,-45.124,-102.903,-70.804,-5.959,57.242,-141.011,320.912,-675.289,683.523,89.638,-39.170,12.346
0.353,-45.123,-102.902,-70.804,-5.959,57.242,-141.011,320.916,-675.286,683.525,89.637,-39.170,12.347
0.363,-45.123,-102.902,-70.804,-5.959,57.242,-141.011,320.921,-675.277,683.535,89.636,-39.170,12.349
0.373,-45.122,-102.901,-70.804,-5.959,57.242,-141.011,320.923,-675.263,683.555,89.635,-39.171,12.351
0.383,-45.121,-102.900,-70.804,-5.959,57.242,-141.011,320.926,-675.260,683.557,89.634,-39.171,12.351
0.393,-45.121,-102.900,-70.803,-5.959,57.242,-141.011,320.929,-675.249,683.576,89.632,-39.172,12.353
0.403,-45.120,-102.899,-70.802,-5.958,57.242,-141.010,320.930,-675.240,683.589,89.631,-39.173,12.354
0.414,-45.120,-102.899,-70.802,-5.958,57.242,-141.011,320.927,-675.240,683.595,89.630,-39.173,12.355
0.423,-45.119,-102.898,-70.800,-5.956,57.243,-141.011,320.932,-675.224,683.633,89.625,-39.176,12.360
0.432,-45.117,-102.895,-70.798,-5.955,57.243,-141.011,320.935,-675.183,683.703,89.618,-39.179,12.367
0.442,-45.116,-102.893,-70.796,-5.955,57.243,-141.011,320.936,-675.162,683.738,89.614,-39.181,12.371
0.453,-45.112,-102.886,-70.794,-5.954,57.243,-141.011,320.933,-675.088,683.851,89.603,-39.186,12.382
0.463,-45.108,-102.880,-70.788,-5.953,57.242,-141.011,320.919,-675.016,683.995,89.589,-39.193,12.394
0.472,-45.106,-102.877,-70.784,-5.953,57.242,-141.010,320.919,-674.978,684.072,89.582,-39.197,12.400
0.483,-45.098,-102.871,-70.772,-5.953,57.241,-141.010,320.945,-674.876,684.279,89.561,-39.208,12.419
0.494,-45.092,-102.864,-70.757,-5.953,57.240,-141.010,320.940,-674.772,684.523,89.538,-39.219,12.440
0.502,-45.092,-102.857,-70.756,-5.953,57.240,-141.010,320.899,-674.720,684.621,89.529,-39.224,12.446
0.513,-45.090,-102.840,-70.759,-5.953,57.241,-141.010,320.813,-674.596,684.798,89.514,-39.232,12.458
0.523,-45.087,-102.824,-70.758,-5.953,57.240,-141.010,320.731,-674.473,685.012,89.494,-39.241,12.472
0.532,-45.086,-102.816,-70.757,-5.953,57.240,-141.010,320.685,-674.418,685.112,89.485,-39.245,12.478
0.542,-45.085,-102.800,-70.758,-5.954,57.240,-141.010,320.599,-674.305,685.289,89.471,-39.252,12.489
0.553,-45.085,-102.785,-70.760,-5.955,57.239,-141.010,320.501,-674.206,685.451,89.457,-39.259,12.497
0.563,-45.085,-102.778,-70.761,-5.955,57.238,-141.011,320.449,-674.165,685.526,89.451,-39.262,12.500
0.573,-45.084,-102.774,-70.762,-5.955,57.237,-141.011,320.425,-674.135,685.568,89.448,-39.263,12.501
0.583,-45.084,-102.776,-70.764,-5.956,57.236,-141.011,320.436,-674.148,685.526,89.452,-39.261,12.497
0.593,-45.085,-102.777,-70.765,-5.957,57.235,-141.011,320.434,-674.164,685.492,89.456,-39.259,12.493
0.603,-45.086,-102.781,-70.769,-5.959,57.234,-141.011,320.448,-674.210,685.392,89.467,-39.253,12.484
0.613,-45.087,-102.788,-70.776,-5.960,57.234,-141.012,320.496,-674.279,685.219,89.484,-39.244,12.471
0.622,-45.089,-102.792,-70.780,-5.962,57.233,-141.012,320.510,-674.318,685.136,89.493,-39.240,12.464
0.633,-45.090,-102.799,-70.783,-5.962,57.234,-141.012,320.548,-674.375,685.018,89.505,-39.234,12.456
0.644,-45.089,-102.804,-70.784,-5.963,57.234,-141.012,320.596,-674.412,684.932,89.513,-39.230,12.452
0.653,-45.089,-102.806,-70.786,-5.963,57.235,-141.013,320.617,-674.420,684.899,89.516,-39.228,12.451
0.663,-45.089,-102.807,-70.788,-5.964,57.235,-141.013,320.633,-674.435,684.858,89.520,-39.225,12.449
0.673,-45.089,-102.810,-70.788,-5.964,57.236,-141.013,320.655,-674.457,684.816,89.525,-39.223,12.447
0.683,-45.088,-102.812,-70.788,-5.965,57.237,-141.014,320.685,-674.468,684.785,89.528,-39.221,12.447
0.693,-45.087,-102.819,-70.787,-5.965,57.240,-141.014,320.754,-674.500,684.718,89.534,-39.218,12.447
