t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.008,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.115,-675.228,683.272,89.710,-39.134,12.313
0.019,-45.107,-102.894,-70.814,-6.023,57.237,-141.011,321.116,-675.227,683.274,89.709,-39.134,12.313
0.028,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.116,-675.228,683.272,89.710,-39.134,12.313
0.039,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.117,-675.226,683.274,89.709,-39.134,12.313
0.048,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.117,-675.226,683.273,89.709,-39.134,12.313
0.059,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.118,-675.223,683.277,89.709,-39.134,12.314
0.069,-45.107,-102.894,-70.814,-6.023,57.237,-141.011,321.118,-675.223,683.279,89.709,-39.134,12.314
0.079,-45.107,-102.894,-70.814,-6.023,57.237,-141.011,321.116,-675.224,683.279,89.709,-39.134,12.314
0.088,-45.107,-102.894,-70.815,-6.023,57.237,-141.010,321.117,-675.225,683.275,89.709,-39.134,12.313
0.099,-45.107,-102.894,-70.814,-6.023,57.237,-141.011,321.113,-675.226,683.279,89.708,-39.134,12.313
0.108,-45.107,-102.894,-70.815,-6.023,57.237,-141.011,321.116,-675.228,683.272,89.709,-39.134,12.313
0.119,-45.107,-102.895,-70.815,-6.023,57.237,-141.011,321.120,-675.230,683.267,89.710,-39.134,12.313
0.129,-45.107,-102.895,-70.815,-6.023,57.237,-141.010,321.125,-675.233,683.257,89.711,-39.134,12.312
0.139,-45.107,-102.895,-70.815,-6.023,57.237,-141.010,321.126,-675.233,683.255,89.711,-39.133,12.313
0.149,-45.107,-102.896,-70.815,-6.023,57.237,-141.011,321.132,-675.238,683.246,89.712,-39.133,12.312
0.159,-45.107,-102.896,-70.815,-6.023,57.237,-141.010,321.137,-675.238,683.241,89.712,-39.133,12.312
0.169,-45.106,-102.896,-70.815,-6.023,57.237,-141.010,321.137,-675.236,683.245,89.712,-39.133,12.312
0.179,-45.106,-102.896,-70.816,-6.023,57.237,-141.011,321.141,-675.237,683.240,89.712,-39.132,12.312
0.189,-45.106,-102.896,-70.816,-6.023,57.237,-141.010,321.141,-675.236,683.239,89.712,-39.133,12.312
0.199,-45.106,-102.896,-70.816,-6.023,57.237,-141.010,321.140,-675.237,683.239,89.713,-39.133,12.312
0.208,-45.106,-102.896,-70.815,-6.023,57.237,-141.010,321.139,-675.235,683.244,89.712,-39.133,12.312
0.219,-45.106,-102.896,-70.815,-6.023,57.237,-141.011,321.135,-675.234,683.249,89.711,-39.133,12.312
0.229,-45.106,-102.896,-70.815,-6.023,57.237,-141.011,321.135,-675.233,683.249,89.711,-39.133,12.312
0.239,-45.106,-102.895,-70.815,-6.023,57.237,-141.010,321.132,-675.228,683.258,89.710,-39.134,12.313
0.249,-45.106,-102.895,-70.815,-6.023,57.237,-141.011,321.127,-675.226,683.267,89.710,-39.134,12.314
0.259,-45.106,-102.895,-70.815,-6.023,57.237,-141.011,321.127,-675.226,683.266,89.710,-39.134,12.313
0.269,-45.106,-102.895,-70.814,-6.022,57.237,-141.010,321.124,-675.224,683.276,89.708,-39.135,12.314
0.279,-45.107,-102.894,-70.814,-6.022,57.237,-141.010,321.121,-675.224,683.277,89.708,-39.135,12.314
0.289,-45.107,-102.894,-70.814,-6.022,57.237,-141.010,321.120,-675.222,683.280,89.708,-39.135,12.314
0.299,-45.107,-102.894,-70.815,-6.022,57.237,-141.010,321.121,-675.224,683.276,89.708,-39.135,12.314
0.309,-45.107,-102.895,-70.815,-6.022,57.237,-141.010,321.123,-675.229,683.268,89.709,-39.135,12.313
0.319,-45.107,-102.895,-70.815,-6.022,57.237,-141.010,321.128,-675.229,683.262,89.710,-39.134,12.313
0.329,-45.107,-102.895,-70.815,-6.022,57.237,-141.010,321.130,-675.232,683.255,89.711,-39.134,12.313
0.338,-45.107,-102.896,-70.816,-6.022,57.237,-141.011,321.132,-675.234,683.250,89.711,-39.133,12.313
0.348,-45.107,-102.896,-70.815,-6.023,57.237,-141.011,321.132,-675.236,683.248,89.711,-39.133,12.312
0.359,-45.106,-102.896,-70.815,-6.022,57.237,-141.010,321.135,-675.234,683.250,89.711,-39.133,12.313
0.369,-45.106,-102.895,-70.815,-6.023,57.237,-141.010,321.132,-675.232,683.256,89.711,-39.134,12.313
0.379,-45.106,-102.895,-70.815,-6.022,57.237,-141.010,321.131,-675.230,683.259,89.710,-39.134,12.313
0.389,-45.106,-102.895,-70.815,-6.023,57.237,-141.011,321.129,-675.228,683.263,89.710,-39.134,12.313
0.398,-45.106,-102.895,-70.814,-6.023,57.237,-141.011,321.128,-675.224,683.272,89.709,-39.134,12.314
0.409,-45.106,-102.894,-70.815,-6.023,57.237,-141.011,321.124,-675.221,683.275,89.709,-39.134,12.314
0.418,-45.107,-102.893,-70.815,-6.023,57.237,-141.011,321.115,-675.217,683.286,89.708,-39.134,12.314
0.429,-45.107,-102.893,-70.815,-6.023,57.237,-141.010,321.112,-675.216,683.290,89.708,-39.135,12.315
0.439,-45.107,-102.892,-70.814,-6.023,57.237,-141.010,321.107,-675.212,683.299,89.707,-39.135,12.315
0.448,-45.107,-102.891,-70.814,-6.023,57.237,-141.011,321.096,-675.207,683.314,89.706,-39.136,12.315
0.458,-45.107,-102.891,-70.814,-6.023,57.237,-141.011,321.093,-675.201,683.324,89.705,-39.136,12.316
0.469,-45.107,-102.891,-70.814,-6.023,57.237,-141.010,321.088,-675.202,683.327,89.704,-39.137,12.316
0.479,-45.107,-102.891,-70.814,-6.023,57.237,-141.011,321.093,-675.201,683.325,89.705,-39.136,12.316
0.488,-45.107,-102.891,-70.814,-6.023,57.237,-141.011,321.097,-675.206,683.313,89.706,-39.136,12.315
0.499,-45.107,-102.891,-70.814,-6.023,57.237,-141.011,321.099,-675.207,683.311,89.706,-39.135,12.316
0.509,-45.107,-102.892,-70.815,-6.023,57.237,-141.011,321.111,-675.212,683.294,89.708,-39.135,12.315
0.518,-45.106,-102.893,-70.815,-6.023,57.237,-141.011,321.120,-675.215,683.283,89.709,-39.134,12.315
0.529,-45.106,-102.893,-70.815,-6.024,57.237,-141.011,321.126,-675.218,683.272,89.710,-39.134,12.314
0.539,-45.106,-102.894,-70.816,-6.024,57.237,-141.011,321.133,-675.221,683.261,89.712,-39.133,12.313
0.549,-45.106,-102.895,-70.816,-6.025,57.237,-141.011,321.144,-675.226,683.246,89.713,-39.132,12.313
0.558,-45.106,-102.895,-70.816,-6.025,57.237,-141.010,321.146,-675.228,683.241,89.714,-39.132,12.312
0.569,-45.106,-102.895,-70.816,-6.025,57.237,-141.011,321.145,-675.231,683.235,89.715,-39.131,12.311
0.579,-45.106,-102.896,-70.817,-6.026,57.237,-141.011,321.151,-675.234,683.223,89.716,-39.130,12.310
0.588,-45.105,-102.896,-70.817,-6.026,57.237,-141.011,321.156,-675.234,683.218,89.717,-39.130,12.310
0.599,-45.105,-102.896,-70.817,-6.026,57.238,-141.011,321.165,-675.234,683.212,89.718,-39.129,12.311
0.608,-45.105,-102.896,-70.817,-6.027,57.238,-141.011,321.170,-675.237,683.201,89.719,-39.129,12.310
0.618,-45.105,-102.897,-70.818,-6.027,57.238,-141.011,321.175,-675.241,683.191,89.720,-39.128,12.309
0.629,-45.105,-102.897,-70.818,-6.028,57.238,-141.011,321.178,-675.244,683.182,89.722,-39.127,12.309
0.639,-45.105,-102.897,-70.818,-6.028,57.238,-141.011,321.179,-675.246,683.177,89.722,-39.127,12.308
0.649,-45.105,-102.898,-70.818,-6.028,57.238,-141.011,321.181,-675.247,683.175,89.722,-39.127,12.308
0.659,-45.105,-102.898,-70.818,-6.029,57.238,-141.011,321.186,-675.249,683.170,89.723,-39.127,12.308
0.668,-45.105,-102.898,-70.818,-6.029,57.238,-141.011,321.190,-675.254,683.156,89.725,-39.126,12.306
0.679,-45.104,-102.899,-70.819,-6.030,57.238,-141.011,321.198,-675.254,683.147,89.726,-39.125,12.306
0.689,-45.104,-102.900,-70.820,-6.031,57.238,-141.012,321.205,-675.262,683.126,89.729,-39.123,12.305
0.699,-45.104,-102.900,-70.820,-6.032,57.238,-141.012,321.213,-675.272,683.102,89.732,-39.122,12.303
0.708,-45.104,-102.901,-70.821,-6.033,57.238,-141.012,321.224,-675.275,683.086,89.734,-39.121,12.302
0.719,-45.104,-102.902,-70.822,-6.034,57.239,-141.012,321.234,-675.284,683.062,89.737,-39.119,12.300
0.728,-45.104,-102.903,-70.822,-6.035,57.239,-141.011,321.239,-675.291,683.045,89.739,-39.119,12.299
