t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.006,-45.126,-102.905,-70.805,-6.026,57.237,-141.013,320.952,-675.391,683.237,89.713,-39.130,12.292
0.017,-45.126,-102.904,-70.805,-6.026,57.237,-141.013,320.945,-675.387,683.247,89.712,-39.131,12.292
0.026,-45.126,-102.903,-70.804,-6.026,57.237,-141.013,320.936,-675.383,683.260,89.711,-39.131,12.293
0.037,-45.127,-102.903,-70.804,-6.026,57.237,-141.013,320.925,-675.380,683.271,89.710,-39.131,12.293
0.046,-45.127,-102.902,-70.804,-6.026,57.236,-141.013,320.921,-675.381,683.274,89.710,-39.131,12.292
0.057,-45.128,-102.902,-70.804,-6.026,57.236,-141.013,320.906,-675.381,683.281,89.709,-39.132,12.292
0.066,-45.129,-102.902,-70.804,-6.026,57.236,-141.013,320.891,-675.389,683.279,89.710,-39.131,12.290
0.077,-45.129,-102.902,-70.804,-6.026,57.236,-141.013,320.887,-675.393,683.277,89.709,-39.132,12.289
0.087,-45.130,-102.902,-70.804,-6.026,57.235,-141.013,320.877,-675.400,683.270,89.710,-39.132,12.288
0.096,-45.130,-102.903,-70.805,-6.026,57.236,-141.013,320.886,-675.402,683.260,89.711,-39.131,12.287
0.106,-45.130,-102.903,-70.805,-6.026,57.236,-141.013,320.886,-675.404,683.256,89.712,-39.131,12.287
0.116,-45.130,-102.904,-70.806,-6.027,57.236,-141.013,320.896,-675.408,683.239,89.714,-39.129,12.286
0.126,-45.129,-102.905,-70.806,-6.027,57.236,-141.013,320.907,-675.415,683.218,89.716,-39.128,12.285
0.136,-45.129,-102.905,-70.807,-6.027,57.236,-141.013,320.912,-675.419,683.206,89.717,-39.128,12.285
0.147,-45.129,-102.906,-70.808,-6.028,57.236,-141.013,320.927,-675.426,683.182,89.720,-39.126,12.283
0.156,-45.128,-102.908,-70.809,-6.028,57.237,-141.013,320.960,-675.435,683.139,89.724,-39.124,12.283
0.166,-45.127,-102.909,-70.809,-6.028,57.237,-141.013,320.976,-675.435,683.130,89.725,-39.124,12.283
0.176,-45.126,-102.911,-70.810,-6.029,57.237,-141.013,321.006,-675.441,683.094,89.729,-39.122,12.282
0.186,-45.125,-102.912,-70.810,-6.029,57.237,-141.013,321.029,-675.444,683.078,89.730,-39.121,12.283
0.196,-45.124,-102.912,-70.811,-6.029,57.238,-141.013,321.039,-675.445,683.069,89.731,-39.121,12.283
0.206,-45.124,-102.913,-70.810,-6.029,57.237,-141.013,321.044,-675.448,683.062,89.732,-39.120,12.282
0.216,-45.124,-102.913,-70.811,-6.030,57.238,-141.013,321.045,-675.450,683.057,89.733,-39.120,12.282
0.227,-45.124,-102.913,-70.811,-6.031,57.238,-141.013,321.044,-675.449,683.056,89.734,-39.120,12.282
0.237,-45.124,-102.913,-70.811,-6.031,57.238,-141.013,321.041,-675.449,683.057,89.734,-39.119,12.281
0.246,-45.126,-102.914,-70.812,-6.031,57.238,-141.013,321.033,-675.466,683.029,89.737,-39.118,12.278
0.256,-45.127,-102.915,-70.813,-6.032,57.238,-141.014,321.023,-675.484,683.006,89.739,-39.116,12.275
0.267,-45.131,-102.917,-70.815,-6.032,57.237,-141.014,321.003,-675.523,682.952,89.745,-39.113,12.267
0.277,-45.133,-102.919,-70.816,-6.032,57.236,-141.014,320.983,-675.555,682.916,89.748,-39.112,12.262
0.286,-45.135,-102.920,-70.816,-6.032,57.236,-141.013,320.970,-675.566,682.908,89.748,-39.112,12.260
0.297,-45.135,-102.920,-70.816,-6.031,57.236,-141.013,320.955,-675.567,682.923,89.746,-39.113,12.261
0.306,-45.136,-102.918,-70.814,-6.031,57.236,-141.013,320.944,-675.558,682.950,89.743,-39.115,12.262
0.316,-45.136,-102.918,-70.814,-6.030,57.236,-141.014,320.937,-675.558,682.955,89.742,-39.115,12.262
0.327,-45.137,-102.918,-70.814,-6.030,57.236,-141.014,320.922,-675.564,682.958,89.742,-39.114,12.261
0.337,-45.140,-102.918,-70.815,-6.031,57.236,-141.014,320.893,-675.581,682.949,89.744,-39.114,12.258
0.347,-45.141,-102.918,-70.815,-6.031,57.236,-141.014,320.885,-675.588,682.944,89.744,-39.114,12.257
0.357,-45.141,-102.919,-70.815,-6.031,57.236,-141.014,320.886,-675.591,682.935,89.745,-39.113,12.256
0.367,-45.139,-102.919,-70.816,-6.031,57.237,-141.014,320.908,-675.582,682.930,89.746,-39.113,12.257
0.376,-45.138,-102.918,-70.816,-6.031,57.237,-141.014,320.919,-675.571,682.938,89.745,-39.113,12.259
0.386,-45.135,-102.917,-70.815,-6.031,57.237,-141.014,320.945,-675.551,682.952,89.743,-39.114,12.263
0.396,-45.135,-102.917,-70.815,-6.030,57.237,-141.014,320.957,-675.545,682.953,89.743,-39.114,12.265
0.406,-45.134,-102.918,-70.815,-6.031,57.237,-141.014,320.963,-675.544,682.950,89.744,-39.114,12.265
0.417,-45.134,-102.918,-70.816,-6.031,57.237,-141.014,320.968,-675.549,682.937,89.745,-39.113,12.264
0.427,-45.134,-102.919,-70.816,-6.031,57.237,-141.014,320.979,-675.555,682.918,89.747,-39.113,12.263
0.437,-45.134,-102.920,-70.817,-6.031,57.237,-141.014,320.987,-675.561,682.901,89.748,-39.112,12.262
0.446,-45.133,-102.921,-70.819,-6.031,57.237,-141.014,321.009,-675.566,682.865,89.752,-39.109,12.261
0.456,-45.133,-102.924,-70.822,-6.031,57.237,-141.014,321.033,-675.591,682.799,89.758,-39.106,12.257
0.467,-45.133,-102.927,-70.823,-6.031,57.237,-141.014,321.049,-675.612,682.758,89.762,-39.105,12.254
0.476,-45.134,-102.933,-70.824,-6.031,57.237,-141.014,321.080,-675.663,682.661,89.771,-39.100,12.247
0.486,-45.136,-102.946,-70.825,-6.031,57.237,-141.014,321.144,-675.763,682.497,89.786,-39.093,12.236
0.496,-45.137,-102.954,-70.825,-6.031,57.237,-141.014,321.186,-675.821,682.398,89.794,-39.089,12.230
0.506,-45.138,-102.966,-70.826,-6.031,57.237,-141.014,321.257,-675.914,682.228,89.809,-39.081,12.219
0.515,-45.139,-102.978,-70.831,-6.032,57.237,-141.013,321.338,-675.998,682.042,89.827,-39.073,12.208
0.526,-45.139,-102.984,-70.834,-6.032,57.237,-141.014,321.385,-676.045,681.926,89.838,-39.067,12.201
0.536,-45.138,-102.997,-70.848,-6.032,57.237,-141.014,321.498,-676.156,681.613,89.868,-39.053,12.182
0.546,-45.139,-103.014,-70.872,-6.032,57.237,-141.013,321.647,-676.309,681.146,89.912,-39.031,12.154
0.556,-45.138,-103.025,-70.891,-6.032,57.237,-141.014,321.748,-676.407,680.818,89.943,-39.015,12.134
0.566,-45.138,-103.043,-70.939,-6.032,57.237,-141.013,321.952,-676.605,680.073,90.016,-38.979,12.089
0.575,-45.138,-103.065,-70.993,-6.032,57.236,-141.013,322.175,-676.831,679.238,90.097,-38.939,12.038
0.587,-45.138,-103.077,-71.024,-6.032,57.236,-141.012,322.299,-676.965,678.748,90.144,-38.915,12.007
0.597,-45.137,-103.109,-71.086,-6.032,57.236,-141.011,322.620,-677.263,677.697,90.245,-38.865,11.945
0.606,-45.137,-103.141,-71.160,-6.031,57.236,-141.011,322.930,-677.588,676.520,90.358,-38.809,11.873
0.616,-45.137,-103.158,-71.198,-6.031,57.235,-141.011,323.109,-677.759,675.897,90.418,-38.779,11.836
0.627,-45.135,-103.188,-71.284,-6.031,57.236,-141.010,323.456,-678.077,674.610,90.542,-38.716,11.760
0.636,-45.135,-103.223,-71.373,-6.031,57.235,-141.007,323.816,-678.439,673.227,90.675,-38.651,11.677
0.646,-45.136,-103.241,-71.423,-6.029,57.235,-141.006,323.989,-678.633,672.483,90.745,-38.617,11.631
0.657,-45.137,-103.286,-71.528,-6.028,57.235,-141.004,324.429,-679.086,670.806,90.905,-38.537,11.531
0.666,-45.139,-103.333,-71.636,-6.026,57.234,-141.003,324.855,-679.563,669.069,91.069,-38.453,11.426
0.676,-45.140,-103.357,-71.694,-6.025,57.233,-141.002,325.079,-679.806,668.160,91.155,-38.410,11.371
0.686,-45.141,-103.409,-71.819,-6.023,57.233,-141.001,325.583,-680.320,666.184,91.341,-38.314,11.255
0.696,-45.141,-103.462,-71.956,-6.023,57.233,-141.000,326.113,-680.856,664.053,91.542,-38.209,11.130
0.706,-45.142,-103.488,-72.031,-6.022,57.233,-141.000,326.364,-681.128,662.939,91.648,-38.154,11.063
0.717,-45.143,-103.539,-72.193,-6.021,57.233,-140.999,326.895,-681.681,660.570,91.871,-38.038,10.924
0.726,-45.145,-103.587,-72.368,-6.019,57.233,-140.997,327.409,-682.222,658.101,92.104,-37.915,10.779
0.736,-45.145,-103.608,-72.455,-6.018,57.233,-140.996,327.654,-682.473,656.901,92.217,-37.856,10.710
0.746,-45.146,-103.649,-72.635,-6.016,57.234,-140.995,328.124,-682.962,654.477,92.445,-37.735,10.570
0.756,-45.145,-103.684,-72.808,-6.014,57.234,-140.994,328.564,-683.390,652.197,92.659,-37.620,10.440
0.766,-45.145,-103.699,-72.895,-6.014,57.234,-140.993,328.774,-683.595,651.063,92.766,-37.562,10.375
0.776,-45.144,-103.736,-73.063,-6.007,57.234,-140.991,329.211,-684.013,648.820,92.972,-37.453,10.250
0.786,-45.143,-103.776,-73.234,-5.999,57.234,-140.987,329.659,-684.453,646.512,93.183,-37.340,10.123
0.796,-45.143,-103.795,-73.320,-5.994,57.235,-140.986,329.879,-684.662,645.373,93.285,-37.285,10.062
0.805,-45.143,-103.839,-73.510,-5.980,57.235,-140.984,330.355,-685.143,642.824,93.513,-37.161,9.924
0.816,-45.144,-103.882,-73.668,-5.970,57.235,-140.982,330.772,-685.574,640.629,93.709,-37.054,9.805
0.826,-45.144,-103.908,-73.757,-5.966,57.235,-140.980,331.021,-685.831,639.354,93.823,-36.991,9.736
0.837,-45.145,-103.964,-73.923,-5.962,57.235,-140.977,331.529,-686.351,636.873,94.046,-36.869,9.601
0.846,-45.147,-104.015,-74.081,-5.954,57.235,-140.975,331.962,-686.833,634.568,94.250,-36.755,9.476
0.856,-45.147,-104.040,-74.150,-5.950,57.234,-140.974,332.180,-687.052,633.517,94.343,-36.704,9.420
0.867,-45.148,-104.094,-74.283,-5.942,57.235,-140.971,332.632,-687.512,631.424,94.525,-36.602,9.311
0.876,-45.149,-104.153,-74.400,-5.937,57.235,-140.969,333.083,-687.987,629.434,94.699,-36.505,9.206
0.886,-45.150,-104.175,-74.456,-5.935,57.235,-140.968,333.258,-688.171,628.573,94.774,-36.462,9.161
0.896,-45.151,-104.208,-74.554,-5.932,57.236,-140.967,333.529,-688.464,627.108,94.903,-36.388,9.083
0.906,-45.151,-104.233,-74.638,-5.928,57.237,-140.964,333.765,-688.690,625.894,95.010,-36.329,9.021
0.916,-45.151,-104.244,-74.681,-5.927,57.239,-140.962,333.867,-688.789,625.308,95.063,-36.301,8.991
0.926,-45.150,-104.264,-74.758,-5.925,57.241,-140.957,334.087,-688.968,624.217,95.160,-36.251,8.938
0.936,-45.148,-104.278,-74.831,-5.922,57.244,-140.949,334.265,-689.103,623.261,95.245,-36.209,8.891
0.947,-45.147,-104.285,-74.865,-5.921,57.244,-140.945,334.355,-689.165,622.808,95.285,-36.190,8.868
0.956,-45.146,-104.304,-74.932,-5.922,57.248,-140.938,334.558,-689.324,621.850,95.372,-36.146,8.822
0.966,-45.146,-104.332,-74.998,-5.921,57.256,-140.933,334.809,-689.543,620.783,95.466,-36.097,8.773
0.977,-45.147,-104.347,-75.032,-5.921,57.259,-140.932,334.932,-689.660,620.227,95.515,-36.070,8.747
0.986,-45.147,-104.368,-75.100,-5.919,57.261,-140.931,335.122,-689.843,619.222,95.603,-36.019,8.697
0.997,-45.148,-104.383,-75.176,-5.917,57.261,-140.930,335.261,-689.997,618.220,95.692,-35.968,8.643
1.006,-45.147,-104.387,-75.217,-5.916,57.261,-140.929,335.325,-690.050,617.725,95.736,-35.943,8.618
1.016,-45.147,-104.389,-75.300,-5.912,57.261,-140.928,335.404,-690.123,616.821,95.816,-35.896,8.571
1.026,-45.148,-104.387,-75.376,-5.903,57.261,-140.925,335.434,-690.168,616.064,95.881,-35.860,8.532
1.036,-45.148,-104.385,-75.412,-5.897,57.261,-140.923,335.450,-690.182,615.719,95.909,-35.845,8.516
1.046,-45.148,-104.385,-75.476,-5.873,57.260,-140.918,335.476,-690.212,615.159,95.947,-35.828,8.492
1.056,-45.150,-104.384,-75.507,-5.846,57.259,-140.913,335.439,-690.224,614.904,95.952,-35.830,8.485
1.066,-45.151,-104.384,-75.516,-5.828,57.258,-140.911,335.413,-690.224,614.880,95.943,-35.837,8.488
1.076,-45.153,-104.383,-75.521,-5.785,57.257,-140.910,335.358,-690.205,615.002,95.905,-35.861,8.508
1.086,-45.157,-104.380,-75.515,-5.728,57.257,-140.910,335.248,-690.155,615.335,95.839,-35.900,8.543
1.096,-45.159,-104.376,-75.512,-5.690,57.257,-140.910,335.174,-690.113,615.557,95.795,-35.927,8.567
1.106,-45.162,-104.370,-75.507,-5.577,57.258,-140.910,335.004,-690.005,616.136,95.671,-36.001,8.637
1.116,-45.166,-104.364,-75.503,-5.410,57.258,-140.910,334.796,-689.858,616.912,95.494,-36.105,8.738
1.126,-45.168,-104.363,-75.499,-5.321,57.258,-140.910,334.691,-689.786,617.317,95.401,-36.160,8.791
1.137,-45.173,-104.362,-75.494,-5.124,57.258,-140.909,334.461,-689.652,618.155,95.197,-36.280,8.906
1.146,-45.182,-104.362,-75.495,-4.891,57.258,-140.909,334.171,-689.519,619.053,94.963,-36.416,9.035
1.156,-45.187,-104.363,-75.496,-4.772,57.258,-140.909,334.014,-689.458,619.500,94.845,-36.484,9.100
1.166,-45.198,-104.366,-75.498,-4.506,57.259,-140.909,333.688,-689.319,620.478,94.582,-36.636,9.247
1.176,-45.205,-104.369,-75.502,-4.226,57.259,-140.909,333.398,-689.145,621.490,94.304,-36.795,9.407
1.186,-45.206,-104.372,-75.503,-4.076,57.259,-140.909,333.274,-689.037,622.036,94.155,-36.880,9.496
1.196,-45.206,-104.375,-75.504,-3.772,57.259,-140.908,333.030,-688.797,623.167,93.848,-37.053,9.679
1.206,-45.205,-104.378,-75.505,-3.470,57.259,-140.909,332.803,-688.543,624.295,93.542,-37.224,9.866
1.216,-45.203,-104.378,-75.505,-3.318,57.260,-140.909,332.691,-688.403,624.879,93.386,-37.310,9.962
1.226,-45.200,-104.379,-75.505,-3.020,57.260,-140.909,332.470,-688.120,626.025,93.079,-37.479,10.152
1.237,-45.197,-104.381,-75.506,-2.727,57.260,-140.910,332.271,-687.870,627.035,92.802,-37.630,10.324
1.247,-45.196,-104.383,-75.507,-2.587,57.260,-140.910,332.147,-687.729,627.629,92.635,-37.720,10.427
