t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.003,-45.128,-102.910,-70.812,-6.018,57.236,-141.019,320.961,-675.444,683.124,89.718,-39.121,12.285
0.013,-45.128,-102.910,-70.812,-6.018,57.236,-141.019,320.956,-675.445,683.124,89.718,-39.121,12.285
0.024,-45.129,-102.910,-70.812,-6.018,57.236,-141.020,320.949,-675.448,683.126,89.718,-39.120,12.285
0.033,-45.129,-102.910,-70.812,-6.018,57.236,-141.019,320.946,-675.451,683.125,89.718,-39.121,12.284
0.043,-45.130,-102.910,-70.812,-6.018,57.236,-141.019,320.944,-675.455,683.119,89.719,-39.121,12.283
0.053,-45.129,-102.911,-70.812,-6.018,57.236,-141.019,320.947,-675.455,683.117,89.719,-39.121,12.284
0.064,-45.130,-102.911,-70.812,-6.018,57.236,-141.019,320.949,-675.460,683.109,89.720,-39.120,12.283
0.074,-45.129,-102.912,-70.812,-6.018,57.236,-141.019,320.958,-675.462,683.099,89.721,-39.120,12.283
0.084,-45.129,-102.912,-70.812,-6.018,57.236,-141.020,320.961,-675.465,683.093,89.721,-39.119,12.283
0.094,-45.129,-102.913,-70.813,-6.019,57.236,-141.020,320.973,-675.464,683.085,89.722,-39.118,12.283
0.103,-45.128,-102.913,-70.813,-6.018,57.236,-141.020,320.980,-675.465,683.081,89.722,-39.119,12.283
0.113,-45.128,-102.913,-70.813,-6.018,57.236,-141.019,320.985,-675.464,683.078,89.723,-39.119,12.283
0.123,-45.127,-102.913,-70.813,-6.018,57.236,-141.019,320.993,-675.462,683.073,89.723,-39.119,12.283
0.134,-45.127,-102.913,-70.813,-6.018,57.236,-141.019,320.994,-675.458,683.082,89.722,-39.119,12.284
0.144,-45.127,-102.912,-70.812,-6.018,57.236,-141.019,320.993,-675.454,683.088,89.722,-39.119,12.285
0.153,-45.127,-102.912,-70.812,-6.019,57.236,-141.019,320.991,-675.447,683.100,89.721,-39.120,12.286
0.163,-45.127,-102.911,-70.812,-6.018,57.236,-141.019,320.976,-675.445,683.114,89.720,-39.120,12.286
0.173,-45.127,-102.910,-70.812,-6.018,57.236,-141.020,320.969,-675.441,683.126,89.718,-39.120,12.287
