t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.121,-102.895,-70.804,-6.002,57.235,-141.012,320.909,-675.276,683.452,89.676,-39.149,12.318
0.010,-45.121,-102.895,-70.804,-6.002,57.235,-141.013,320.909,-675.275,683.454,89.676,-39.149,12.318
0.020,-45.122,-102.895,-70.804,-6.002,57.235,-141.013,320.898,-675.279,683.455,89.676,-39.148,12.317
0.030,-45.123,-102.895,-70.804,-6.002,57.235,-141.013,320.890,-675.284,683.454,89.676,-39.148,12.316
0.040,-45.123,-102.895,-70.804,-6.002,57.235,-141.013,320.884,-675.285,683.456,89.676,-39.149,12.316
0.050,-45.124,-102.895,-70.804,-6.003,57.235,-141.013,320.878,-675.290,683.452,89.677,-39.148,12.315
0.060,-45.124,-102.896,-70.804,-6.002,57.235,-141.013,320.875,-675.295,683.449,89.677,-39.148,12.314
0.070,-45.124,-102.896,-70.804,-6.002,57.235,-141.013,320.875,-675.296,683.445,89.677,-39.148,12.314
0.080,-45.124,-102.896,-70.804,-6.003,57.235,-141.013,320.878,-675.299,683.440,89.678,-39.147,12.314
0.091,-45.124,-102.896,-70.804,-6.002,57.235,-141.013,320.881,-675.299,683.438,89.678,-39.148,12.314
0.100,-45.124,-102.896,-70.804,-6.003,57.235,-141.013,320.883,-675.298,683.437,89.678,-39.148,12.314
0.111,-45.123,-102.896,-70.804,-6.003,57.234,-141.013,320.889,-675.296,683.437,89.678,-39.148,12.314
0.120,-45.122,-102.896,-70.804,-6.003,57.235,-141.013,320.902,-675.291,683.435,89.678,-39.147,12.315
0.129,-45.122,-102.896,-70.804,-6.002,57.235,-141.013,320.906,-675.288,683.439,89.678,-39.148,12.316
0.141,-45.121,-102.896,-70.804,-6.003,57.235,-141.013,320.914,-675.283,683.439,89.678,-39.148,12.317
0.151,-45.121,-102.896,-70.804,-6.002,57.235,-141.013,320.919,-675.279,683.440,89.678,-39.148,12.318
0.161,-45.121,-102.896,-70.804,-6.003,57.235,-141.012,320.919,-675.279,683.441,89.678,-39.148,12.317
0.170,-45.121,-102.895,-70.804,-6.002,57.235,-141.013,320.914,-675.275,683.449,89.677,-39.148,12.318
0.180,-45.121,-102.895,-70.804,-6.002,57.235,-141.013,320.910,-675.273,683.455,89.676,-39.148,12.318
0.191,-45.121,-102.895,-70.804,-6.002,57.235,-141.013,320.910,-675.273,683.454,89.676,-39.148,12.318
