t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.002,-45.121,-102.892,-70.801,-6.000,57.236,-141.015,320.888,-675.243,683.534,89.667,-39.151,12.325
0.012,-45.121,-102.892,-70.801,-6.000,57.236,-141.015,320.891,-675.247,683.526,89.668,-39.150,12.324
0.022,-45.121,-102.893,-70.801,-6.000,57.236,-141.015,320.893,-675.248,683.522,89.668,-39.150,12.324
0.033,-45.121,-102.893,-70.801,-6.000,57.236,-141.015,320.896,-675.248,683.520,89.669,-39.150,12.324
0.042,-45.121,-102.893,-70.801,-6.000,57.236,-141.015,320.896,-675.248,683.520,89.669,-39.150,12.324
0.052,-45.121,-102.893,-70.801,-6.000,57.236,-141.015,320.896,-675.248,683.523,89.668,-39.150,12.325
0.062,-45.120,-102.893,-70.801,-6.000,57.236,-141.015,320.901,-675.246,683.522,89.668,-39.150,12.325
0.072,-45.120,-102.893,-70.801,-6.000,57.236,-141.015,320.901,-675.246,683.522,89.668,-39.150,12.325
0.082,-45.120,-102.893,-70.801,-6.000,57.236,-141.015,320.905,-675.248,683.517,89.669,-39.150,12.325
0.091,-45.120,-102.893,-70.802,-6.000,57.236,-141.015,320.904,-675.252,683.508,89.670,-39.150,12.324
0.102,-45.120,-102.894,-70.802,-6.001,57.236,-141.015,320.909,-675.256,683.499,89.671,-39.149,12.323
0.112,-45.121,-102.894,-70.802,-6.001,57.236,-141.015,320.909,-675.260,683.492,89.672,-39.148,12.323
0.122,-45.120,-102.895,-70.802,-6.000,57.236,-141.015,320.916,-675.264,683.481,89.672,-39.148,12.322
0.132,-45.121,-102.895,-70.802,-6.001,57.237,-141.015,320.918,-675.267,683.475,89.673,-39.148,12.322
0.142,-45.121,-102.896,-70.803,-6.001,57.237,-141.015,320.922,-675.270,683.469,89.674,-39.147,12.322
0.152,-45.121,-102.896,-70.803,-6.001,57.237,-141.015,320.921,-675.270,683.469,89.674,-39.148,12.322
0.162,-45.120,-102.896,-70.803,-6.001,57.236,-141.015,320.924,-675.271,683.464,89.674,-39.147,12.321
0.172,-45.121,-102.896,-70.803,-6.001,57.237,-141.015,320.923,-675.272,683.464,89.674,-39.147,12.321
0.182,-45.120,-102.896,-70.803,-6.001,57.237,-141.015,320.926,-675.269,683.466,89.674,-39.147,12.322
0.192,-45.120,-102.896,-70.802,-6.001,57.237,-141.015,320.926,-675.269,683.468,89.674,-39.148,12.322
0.202,-45.120,-102.896,-70.803,-6.001,57.237,-141.015,320.933,-675.266,683.465,89.674,-39.147,12.322
0.212,-45.119,-102.896,-70.802,-6.001,57.237,-141.015,320.936,-675.263,683.470,89.674,-39.147,12.323
0.222,-45.119,-102.895,-70.802,-6.001,57.237,-141.015,320.935,-675.259,683.476,89.673,-39.148,12.324
0.232,-45.119,-102.895,-70.802,-6.001,57.237,-141.015,320.938,-675.255,683.480,89.673,-39.148,12.324
0.242,-45.118,-102.895,-70.802,-6.001,57.237,-141.015,320.943,-675.250,683.484,89.672,-39.148,12.325
0.252,-45.118,-102.895,-70.802,-6.001,57.237,-141.015,320.941,-675.252,683.484,89.672,-39.148,12.325
0.262,-45.118,-102.895,-70.802,-6.001,57.237,-141.015,320.945,-675.247,683.486,89.672,-39.148,12.326
0.272,-45.118,-102.894,-70.802,-6.001,57.237,-141.015,320.944,-675.244,683.494,89.671,-39.149,12.326
0.283,-45.117,-102.894,-70.802,-6.000,57.237,-141.015,320.949,-675.242,683.492,89.671,-39.149,12.327
0.292,-45.118,-102.894,-70.802,-6.001,57.237,-141.015,320.946,-675.242,683.499,89.671,-39.149,12.327
0.302,-45.118,-102.894,-70.802,-6.001,57.237,-141.015,320.942,-675.244,683.497,89.671,-39.149,12.326
0.312,-45.118,-102.894,-70.802,-6.001,57.237,-141.015,320.941,-675.246,683.494,89.671,-39.149,12.326
0.321,-45.119,-102.895,-70.802,-6.001,57.237,-141.015,320.938,-675.250,683.491,89.672,-39.148,12.326
0.332,-45.119,-102.895,-70.802,-6.001,57.237,-141.015,320.934,-675.253,683.490,89.672,-39.148,12.325
0.342,-45.120,-102.895,-70.802,-6.001,57.238,-141.015,320.929,-675.256,683.491,89.672,-39.148,12.325
0.352,-45.120,-102.895,-70.802,-6.001,57.238,-141.015,320.932,-675.261,683.480,89.673,-39.148,12.324
