t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.005,-45.119,-102.940,-70.813,-6.022,57.241,-141.014,321.295,-675.596,682.727,89.756,-39.107,12.275
0.015,-45.120,-102.940,-70.813,-6.022,57.241,-141.014,321.289,-675.601,682.724,89.757,-39.107,12.274
0.025,-45.121,-102.941,-70.814,-6.022,57.240,-141.014,321.276,-675.610,682.719,89.757,-39.107,12.272
0.034,-45.122,-102.941,-70.814,-6.022,57.240,-141.014,321.264,-675.615,682.719,89.757,-39.107,12.272
0.046,-45.122,-102.940,-70.814,-6.022,57.240,-141.014,321.258,-675.616,682.721,89.757,-39.107,12.271
0.055,-45.123,-102.940,-70.813,-6.022,57.239,-141.014,321.239,-675.618,682.731,89.756,-39.107,12.270
0.066,-45.124,-102.939,-70.813,-6.022,57.239,-141.014,321.221,-675.617,682.743,89.755,-39.108,12.270
0.075,-45.124,-102.939,-70.813,-6.022,57.239,-141.014,321.214,-675.617,682.749,89.754,-39.109,12.270
0.085,-45.125,-102.938,-70.813,-6.022,57.239,-141.014,321.201,-675.613,682.760,89.753,-39.109,12.269
0.095,-45.125,-102.937,-70.813,-6.022,57.238,-141.014,321.188,-675.611,682.769,89.753,-39.109,12.268
0.105,-45.125,-102.937,-70.813,-6.021,57.237,-141.014,321.182,-675.609,682.777,89.752,-39.110,12.269
0.115,-45.125,-102.936,-70.813,-6.021,57.237,-141.014,321.172,-675.603,682.790,89.750,-39.110,12.269
0.125,-45.126,-102.935,-70.812,-6.022,57.237,-141.014,321.163,-675.600,682.801,89.750,-39.111,12.269
0.135,-45.125,-102.935,-70.813,-6.022,57.237,-141.014,321.165,-675.600,682.798,89.750,-39.110,12.269
0.145,-45.125,-102.935,-70.813,-6.022,57.236,-141.014,321.165,-675.598,682.797,89.750,-39.110,12.268
0.155,-45.125,-102.936,-70.813,-6.023,57.236,-141.014,321.175,-675.605,682.779,89.752,-39.109,12.267
0.165,-45.125,-102.936,-70.814,-6.022,57.237,-141.015,321.184,-675.607,682.768,89.753,-39.108,12.267
0.175,-45.125,-102.938,-70.814,-6.023,57.236,-141.015,321.191,-675.618,682.746,89.756,-39.107,12.265
0.185,-45.125,-102.939,-70.816,-6.024,57.237,-141.014,321.206,-675.629,682.711,89.760,-39.105,12.263
0.195,-45.125,-102.940,-70.816,-6.026,57.237,-141.014,321.215,-675.638,682.684,89.764,-39.103,12.261
0.205,-45.125,-102.942,-70.818,-6.026,57.237,-141.014,321.239,-675.659,682.628,89.769,-39.101,12.258
0.215,-45.125,-102.947,-70.819,-6.026,57.237,-141.014,321.265,-675.688,682.574,89.774,-39.099,12.255
0.225,-45.125,-102.948,-70.819,-6.026,57.237,-141.014,321.275,-675.700,682.555,89.775,-39.098,12.254
0.235,-45.125,-102.954,-70.819,-6.025,57.238,-141.014,321.317,-675.732,682.490,89.781,-39.095,12.252
0.245,-45.124,-102.955,-70.818,-6.025,57.239,-141.013,321.337,-675.739,682.474,89.782,-39.096,12.252
0.255,-45.124,-102.955,-70.818,-6.025,57.239,-141.014,321.338,-675.737,682.479,89.781,-39.095,12.252
0.265,-45.123,-102.955,-70.818,-6.025,57.239,-141.014,321.354,-675.730,682.482,89.781,-39.095,12.254
0.276,-45.122,-102.955,-70.818,-6.025,57.240,-141.013,321.361,-675.725,682.487,89.781,-39.096,12.256
0.286,-45.122,-102.954,-70.817,-6.025,57.240,-141.014,321.356,-675.721,682.496,89.780,-39.096,12.256
0.295,-45.122,-102.954,-70.817,-6.024,57.240,-141.014,321.355,-675.712,682.514,89.777,-39.097,12.258
0.306,-45.121,-102.953,-70.816,-6.024,57.241,-141.013,321.365,-675.701,682.527,89.776,-39.098,12.261
0.316,-45.121,-102.952,-70.816,-6.024,57.242,-141.014,321.368,-675.695,682.534,89.776,-39.098,12.262
0.325,-45.120,-102.952,-70.816,-6.024,57.242,-141.013,321.374,-675.681,682.554,89.773,-39.100,12.265
0.335,-45.118,-102.950,-70.815,-6.024,57.242,-141.013,321.386,-675.663,682.572,89.772,-39.101,12.268
0.345,-45.118,-102.950,-70.815,-6.024,57.242,-141.013,321.389,-675.660,682.576,89.771,-39.101,12.269
0.355,-45.117,-102.950,-70.815,-6.023,57.244,-141.013,321.396,-675.654,682.583,89.770,-39.101,12.271
0.365,-45.117,-102.950,-70.815,-6.024,57.244,-141.014,321.406,-675.654,682.576,89.771,-39.100,12.271
0.375,-45.117,-102.950,-70.816,-6.023,57.245,-141.014,321.414,-675.654,682.570,89.772,-39.100,12.272
0.385,-45.116,-102.952,-70.816,-6.024,57.245,-141.013,321.437,-675.656,682.548,89.774,-39.100,12.272
0.395,-45.114,-102.953,-70.817,-6.024,57.246,-141.013,321.467,-675.661,682.520,89.777,-39.098,12.272
0.405,-45.113,-102.954,-70.817,-6.024,57.246,-141.013,321.486,-675.659,682.510,89.777,-39.098,12.273
0.415,-45.112,-102.954,-70.817,-6.024,57.247,-141.013,321.508,-675.654,682.507,89.778,-39.098,12.275
0.425,-45.111,-102.955,-70.816,-6.023,57.248,-141.013,321.521,-675.652,682.507,89.777,-39.098,12.277
0.435,-45.111,-102.955,-70.816,-6.023,57.249,-141.013,321.526,-675.650,682.509,89.777,-39.098,12.278
0.445,-45.111,-102.955,-70.816,-6.024,57.249,-141.013,321.529,-675.649,682.512,89.777,-39.098,12.279
0.454,-45.111,-102.955,-70.816,-6.024,57.250,-141.013,321.535,-675.648,682.512,89.777,-39.098,12.279
0.465,-45.111,-102.955,-70.816,-6.024,57.253,-141.013,321.557,-675.648,682.497,89.779,-39.097,12.281
0.475,-45.108,-102.957,-70.817,-6.024,57.259,-141.014,321.630,-675.641,682.466,89.782,-39.095,12.288
0.484,-45.105,-102.958,-70.816,-6.023,57.265,-141.012,321.695,-675.626,682.466,89.781,-39.097,12.298
0.495,-45.104,-102.958,-70.817,-6.023,57.267,-141.013,321.716,-675.616,682.464,89.781,-39.096,12.301
0.505,-45.099,-102.958,-70.816,-6.023,57.271,-141.013,321.783,-675.581,682.480,89.779,-39.097,12.310
0.515,-45.092,-102.955,-70.815,-6.022,57.273,-141.012,321.862,-675.518,682.522,89.775,-39.099,12.322
0.525,-45.089,-102.954,-70.815,-6.022,57.271,-141.012,321.884,-675.499,682.535,89.773,-39.101,12.325
0.535,-45.088,-102.954,-70.817,-6.022,57.266,-141.012,321.872,-675.503,682.511,89.776,-39.099,12.319
0.546,-45.091,-102.954,-70.819,-6.023,57.262,-141.012,321.828,-675.523,682.491,89.779,-39.098,12.311
