t,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
0.001,-45.142,-103.092,-71.124,-6.171,57.237,-141.011,322.650,-677.376,676.978,90.417,-38.779,11.833
0.010,-45.142,-103.092,-71.124,-6.171,57.237,-141.011,322.655,-677.378,676.973,90.418,-38.779,11.833
0.020,-45.142,-103.092,-71.124,-6.171,57.237,-141.010,322.659,-677.380,676.966,90.418,-38.779,11.833
0.029,-45.142,-103.093,-71.124,-6.171,57.237,-141.011,322.661,-677.383,676.963,90.419,-38.778,11.833
0.040,-45.142,-103.093,-71.124,-6.171,57.237,-141.011,322.660,-677.383,676.962,90.419,-38.778,11.833
0.050,-45.142,-103.093,-71.124,-6.171,57.237,-141.011,322.664,-677.383,676.959,90.419,-38.778,11.833
0.060,-45.141,-103.093,-71.124,-6.171,57.237,-141.011,322.665,-677.382,676.959,90.419,-38.778,11.833
0.070,-45.142,-103.093,-71.124,-6.172,57.237,-141.011,322.663,-677.383,676.958,90.419,-38.778,11.832
0.080,-45.141,-103.093,-71.124,-6.172,57.237,-141.011,322.666,-677.383,676.958,90.419,-38.778,11.833
0.089,-45.141,-103.093,-71.124,-6.171,57.237,-141.011,322.666,-677.380,676.962,90.419,-38.778,11.833
0.100,-45.141,-103.092,-71.124,-6.171,57.237,-141.011,322.666,-677.376,676.967,90.418,-38.778,11.834
0.110,-45.141,-103.092,-71.124,-6.171,57.237,-141.011,322.668,-677.374,676.971,90.418,-38.779,11.834
0.120,-45.141,-103.092,-71.124,-6.171,57.237,-141.010,322.665,-677.371,676.977,90.417,-38.780,11.835
0.130,-45.141,-103.092,-71.124,-6.171,57.237,-141.011,322.664,-677.371,676.975,90.417,-38.779,11.834
0.140,-45.141,-103.092,-71.123,-6.171,57.237,-141.010,322.659,-677.370,676.983,90.417,-38.780,11.834
0.150,-45.141,-103.092,-71.124,-6.172,57.237,-141.011,322.660,-677.370,676.979,90.418,-38.779,11.834
0.160,-45.141,-103.092,-71.124,-6.172,57.237,-141.011,322.659,-677.370,676.980,90.417,-38.779,11.834
0.170,-45.141,-103.092,-71.124,-6.172,57.237,-141.011,322.661,-677.372,676.974,90.418,-38.779,11.834
0.180,-45.142,-103.092,-71.124,-6.172,57.237,-141.010,322.657,-677.377,676.971,90.418,-38.779,11.833
0.190,-45.142,-103.092,-71.124,-6.171,57.237,-141.011,322.659,-677.378,676.968,90.418,-38.779,11.833
0.199,-45.142,-103.092,-71.124,-6.172,57.237,-141.011,322.652,-677.381,676.971,90.418,-38.779,11.833
0.210,-45.142,-103.092,-71.124,-6.172,57.237,-141.010,322.654,-677.380,676.969,90.418,-38.779,11.833
0.220,-45.142,-103.093,-71.124,-6.172,57.237,-141.010,322.654,-677.384,676.965,90.419,-38.779,11.832
0.230,-45.142,-103.093,-71.124,-6.172,57.237,-141.011,322.659,-677.382,676.964,90.419,-38.778,11.832
0.240,-45.142,-103.093,-71.124,-6.172,57.237,-141.011,322.658,-677.388,676.956,90.420,-38.778,11.831
0.250,-45.142,-103.094,-71.124,-6.172,57.237,-141.011,322.662,-677.391,676.947,90.421,-38.777,11.831
0.259,-45.142,-103.094,-71.125,-6.173,57.238,-141.011,322.671,-677.396,676.933,90.422,-38.776,11.831
0.270,-45.142,-103.095,-71.125,-6.173,57.237,-141.011,322.681,-677.400,676.918,90.424,-38.776,11.830
0.279,-45.141,-103.095,-71.125,-6.173,57.238,-141.011,322.691,-677.399,676.909,90.425,-38.775,11.830
0.289,-45.141,-103.096,-71.125,-6.174,57.237,-141.011,322.697,-677.403,676.899,90.426,-38.774,11.829
0.300,-45.140,-103.097,-71.126,-6.174,57.238,-141.010,322.710,-677.405,676.886,90.428,-38.774,11.829
0.309,-45.140,-103.097,-71.126,-6.175,57.237,-141.011,322.712,-677.406,676.883,90.428,-38.774,11.828
0.320,-45.140,-103.098,-71.126,-6.175,57.238,-141.011,322.727,-677.409,676.867,90.430,-38.773,11.828
0.330,-45.140,-103.098,-71.126,-6.176,57.238,-141.010,322.726,-677.414,676.859,90.432,-38.772,11.827
0.340,-45.140,-103.098,-71.126,-6.176,57.238,-141.010,322.732,-677.417,676.849,90.433,-38.772,11.826
0.350,-45.140,-103.100,-71.126,-6.178,57.238,-141.011,322.745,-677.428,676.827,90.436,-38.770,11.825
0.360,-45.140,-103.102,-71.127,-6.182,57.239,-141.011,322.761,-677.451,676.777,90.443,-38.766,11.820
0.370,-45.141,-103.103,-71.127,-6.183,57.239,-141.010,322.768,-677.461,676.755,90.446,-38.765,11.818
